Run,Detector,Yield,Yield err,Area,Area err,Time,Fit Status,a,b,sig1,X2NDF,Linear,Offset,Q_int
run0159,det_h0-0,0.0357958,0.000301043,15822.7,133.069,850.647,1,1.00463,-3.26926,12.9622,3.01714,0.00232367,5.6476,442026
run0159,det_h0-1,0.0282953,0.000281277,12507.3,124.332,850.647,0,1.00103,-1.45418,13.4376,1.18145,0.0458037,-49.7524,442026
run0159,det_h0-2,0.0112251,0.000192887,4961.78,85.2613,850.647,1,1.00219,-1.33043,13.6658,1.66091,0.0742259,-91.6007,442026
run0159,det_h0-3,0.0312515,0.000294502,13814,130.178,850.647,1,0.997905,-0.112355,13.9111,1.67984,-0.0874861,131.086,442026
run0159,det_h0-4,0.0347862,0.000317612,15376.4,140.393,850.647,0,1.00137,-1.77283,13.8619,1.29512,0.0323425,-27.7236,442026
run0159,det_h0-5,0.0359512,0.000313647,15891.4,138.64,850.647,1,1.00093,-2.58316,14,2.16709,0.0954136,-111.073,442026
run0159,det_h0-6,0.0373612,0.000327424,16514.6,144.73,850.647,0,0.998653,-1.31288,12.905,1.14543,0.0446373,-39.3526,442026
run0159,det_h0-7,0.0315486,0.000303525,13945.3,134.166,850.647,1,1.00136,-0.738673,13.7938,1.41961,-0.00358616,20.9257,442026
run0159,det_h1-0,0.034203,0.000305297,15118.6,134.949,850.647,1,1.00196,-1.48432,13.108,1.91156,-0.0342225,60.9447,442026
run0159,det_h1-1,0.0335287,0.000294244,14820.5,130.063,850.647,1,1.00813,-2.94574,12.7132,4.03852,-0.000636307,11.9652,442026
run0159,det_h1-2,0.0110333,0.000188564,4876.99,83.3503,850.647,1,1.00432,1.24505,14,2.43703,0.181508,-231.351,442026
run0159,det_h1-3,0.0220013,0.000254451,9725.16,112.474,850.647,1,1.00826,2.52583,14,2.8375,0.111912,-130,442026
run0159,det_h1-4,0.03627,0.000312499,16032.3,138.133,850.647,1,1.00527,-1.67632,13.3859,1.67684,0.0298007,-27.9855,442026
run0160,det_h0-0,0.0327675,0.000237768,22141.3,160.662,1433.01,1,1.00496,-2.78357,12.6083,2.10593,0.0338709,-27.5424,675710
run0160,det_h0-1,0.0284462,0.000224109,19221.4,151.433,1433.01,1,1.00085,-1.47542,13.5159,2.01328,-0.00937257,28.7847,675710
run0160,det_h0-2,0.012316,0.00015335,8322.03,103.62,1433.01,1,1.00105,-0.22471,13.7389,1.80585,-0.0224339,40.6436,675710
run0160,det_h0-3,0.0289523,0.000235589,19563.3,159.19,1433.01,1,1.0039,-2.10736,13.6212,2.18286,0.066222,-65.4125,675710
run0160,det_h0-4,0.0320809,0.000237936,21677.4,160.776,1433.01,1,1.00306,-2.12054,14,1.63652,0.00852876,12.4153,675710
run0160,det_h0-5,0.0335918,0.000243967,22698.3,164.851,1433.01,1,1.00073,-1.06622,14,2.74757,0.0364502,-21.4493,675710
run0160,det_h0-6,0.0349427,0.000256885,23611.1,173.58,1433.01,1,0.99993,-0.684898,12.9141,1.71392,0.104594,-110.354,675710
run0160,det_h0-7,0.0296836,0.00024165,20057.5,163.285,1433.01,1,1.00357,-0.480369,13.9249,1.9192,-0.00692824,36.8871,675710
run0160,det_h1-0,0.0302349,0.000237345,20430,160.376,1433.01,1,1.00577,-2.88286,12.8153,1.52731,0.0883172,-93.4718,675710
run0160,det_h1-1,0.0302569,0.000232795,20444.9,157.302,1433.01,1,1.00986,-2.71655,12.2606,1.6368,0.0834488,-89.143,675710
run0160,det_h1-2,0.0115498,0.000151254,7804.29,102.204,1433.01,1,1.00245,1.65625,14,3.10166,0.121663,-146.393,675710
run0160,det_h1-3,0.0222738,0.000206762,15050.6,139.711,1433.01,1,1.00813,2.40202,14,2.85605,0.0334986,-10.9426,675710
run0160,det_h1-4,0.0339294,0.000246697,22926.4,166.696,1433.01,1,1.00796,-2.48318,13.2671,1.63137,0.0873801,-97.6426,675710
run0161,det_h0-0,0.0338913,0.000221705,26692.9,174.616,1874.39,1,1.00286,-2.20918,12.513,2.08955,-0.0173042,42.4402,787604
run0161,det_h0-1,0.0275493,0.000208787,21697.9,164.442,1874.39,0,1.0008,-1.35989,13.4102,1.39172,0.0871223,-96.2409,787604
run0161,det_h0-2,0.0122547,0.000136267,9651.87,107.324,1874.39,1,1.00209,-0.75093,14,3.07785,-0.0408906,67.2865,787604
run0161,det_h0-3,0.0291006,0.000217859,22919.8,171.586,1874.39,1,1.00169,-0.359193,13.7446,1.57616,0.00449436,20.9496,787604
run0161,det_h0-4,0.0320599,0.000218226,25250.5,171.876,1874.39,1,1.00256,-1.88011,14,2.74735,0.00179418,22.6571,787604
run0161,det_h0-5,0.0333444,0.000220115,26262.1,173.363,1874.39,1,0.9995,-0.749688,14,4.55585,-0.0627177,109.121,787604
run0161,det_h0-6,0.0334627,0.000232394,26355.3,183.034,1874.39,1,0.999973,-0.759353,12.8841,2.22178,0.0916141,-88.8387,787604
run0161,det_h0-7,0.0291736,0.000222565,22977.2,175.293,1874.39,1,1.00425,-0.798172,13.8155,1.87141,0.0563003,-44.3861,787604
run0161,det_h1-0,0.0301508,0.000219098,23746.9,172.562,1874.39,1,1.00482,-2.20604,13.0505,1.80747,0.0281167,-9.47235,787604
run0161,det_h1-1,0.0299009,0.000215915,23550.1,170.055,1874.39,0,1.01032,-2.92545,12.2225,1.36315,0.174203,-206.747,787604
run0161,det_h1-2,0.0115352,0.000140498,9085.14,110.657,1874.39,1,1.00092,2.43002,14,2.84719,0.0862126,-94.4236,787604
run0161,det_h1-3,0.0229357,0.000190056,18064.2,149.689,1874.39,1,1.00661,3.09657,14,3.75352,-0.037397,83.6401,787604
run0161,det_h1-4,0.0349396,0.000228638,27518.6,180.077,1874.39,1,1.00639,-1.92448,13.5315,2.31712,0.0309847,-21.5408,787604
run0162,det_h0-0,0.031726,0.00022051,23899.8,166.114,1943.46,1,1.00343,-2.56628,12.6638,2.14541,0.00291867,14.4736,753317
run0162,det_h0-1,0.0262243,0.000208562,19755.2,157.114,1943.46,1,1.00141,-1.59572,13.192,2.40875,0.125129,-147.978,753317
run0162,det_h0-2,0.0111668,0.000142486,8412.16,107.337,1943.46,1,1.00243,-0.649808,13.2339,2.92722,0.0325999,-29.8941,753317
run0162,det_h0-3,0.0262881,0.000215894,19803.3,162.636,1943.46,1,1.00179,-0.622166,13.459,1.96986,0.115006,-127.941,753317
run0162,det_h0-4,0.0306102,0.000219339,23059.2,165.232,1943.46,1,1.00261,-1.9696,14,1.92101,-0.00714372,34.3433,753317
run0162,det_h0-5,0.0313544,0.000226498,23619.8,170.625,1943.46,1,1.00109,-1.33302,14,2.00727,0.109073,-115.907,753317
run0162,det_h0-6,0.0335482,0.000235098,25272.4,177.104,1943.46,1,0.998664,-0.268068,12.9434,1.51129,-0.0239245,63.0543,753317
run0162,det_h0-7,0.0293912,0.000212861,22140.9,160.352,1943.46,1,1.00126,0.393907,14,2.00911,-0.12071,186.389,753317
run0162,det_h1-0,0.0297936,0.000217081,22444,163.531,1943.46,1,1.00348,-1.96724,13.1834,2.89065,-0.116945,180.849,753317
run0162,det_h1-1,0.0292314,0.000215737,22020.5,162.519,1943.46,1,1.0085,-2.32251,12.2116,2.25545,0.038555,-27.4003,753317
run0162,det_h1-2,0.0107778,0.000139767,8119.1,105.289,1943.46,1,1.00162,2.14246,14,2.6369,0.0898466,-100.394,753317
run0162,det_h1-3,0.0218166,0.000186361,16434.8,140.389,1943.46,1,1.0063,3.91437,14,5.36941,-0.163749,249.414,753317
run0162,det_h1-4,0.0330264,0.00022661,24879.3,170.709,1943.46,1,1.00595,-1.8285,13.6588,2.42812,0.00863833,5.42152,753317
run0165,det_h0-0,0.0345927,0.000317522,15979.7,146.676,1006.76,0,1.0034,-2.01209,12.4774,1.02357,0.0195307,4.13211,461939
run0165,det_h0-1,0.0207672,0.000255148,9593.18,117.863,1006.76,1,1.00138,-1.68435,13.2744,1.45814,0.0627818,-64.7838,461939
run0165,det_h0-2,0.014635,0.000199926,6760.46,92.3538,1006.76,1,1.00254,-1.16051,14,3.08624,-0.0318004,55.8514,461939
run0165,det_h0-3,0.0364481,0.000328905,16836.8,151.934,1006.76,1,1.00124,-0.284977,13.5272,1.43328,-0.00529592,35.2633,461939
run0165,det_h0-4,0.0360726,0.000333559,16663.3,154.084,1006.76,0,1.00189,-0.86311,13.809,1.27703,0.0380236,-21.7937,461939
run0165,det_h0-5,0.0307512,0.000289848,14205.2,133.892,1006.76,1,0.999075,0.0615077,14,1.6607,-0.00248455,27.5411,461939
run0165,det_h0-6,0.0265253,0.000276816,12253.1,127.872,1006.76,1,0.99673,0.769205,13.5004,1.59276,-0.122812,187.862,461939
run0165,det_h0-7,0.0283734,0.000278126,13106.8,128.477,1006.76,0,1.00227,-0.13573,14,1.39264,-0.0273889,59.3074,461939
run0165,det_h1-0,0.0320337,0.000306588,14797.6,141.625,1006.76,0,1.00416,-1.78851,12.8762,1.37661,0.0240014,-5.78174,461939
run0165,det_h1-1,0.0288233,0.000286691,13314.6,132.434,1006.76,1,1.00844,-2.02725,12.1248,1.52076,0.0287307,-13.6559,461939
run0165,det_h1-2,0.00913022,0.000168163,4217.6,77.681,1006.76,1,1.00023,2.5982,14,2.21024,-0.00126308,16.4398,461939
run0165,det_h1-3,0.0231451,0.000255864,10691.6,118.194,1006.76,1,1.00819,3.82455,14,2.41128,-0.0756421,129.569,461939
run0165,det_h1-4,0.0315972,0.000310574,14596,143.466,1006.76,1,1.00566,-1.69664,13.2849,1.54938,-0.0525841,101.543,461939
run0167,det_h0-0,0.0323919,0.000283921,15193.6,133.175,441.133,0,0,0,12.5805,1.15342,0.0479611,-52.5559,469056
run0167,det_h0-1,0.0266475,0.00025845,12499.2,121.227,441.133,1,0,0,13.5483,1.79839,0.0163417,-13.2131,469056
run0167,det_h0-2,0.011163,0.00017869,5236.08,83.8158,441.133,0,0,0,13.6811,1.25859,0.0315218,-35.2448,469056
run0167,det_h0-3,0.0298699,0.000282109,14010.6,132.325,441.133,1,0,0,13.7374,1.50561,-0.000353011,15.0371,469056
run0167,det_h0-4,0.0331134,0.000289019,15532,135.566,441.133,0,0,0,14,1.02147,0.0239678,-16.2045,469056
run0167,det_h0-5,0.032666,0.000283154,15322.2,132.815,441.133,1,0,0,14,2.60471,0.00413625,8.04816,469056
run0167,det_h0-6,0.0340934,0.000294693,15991.7,138.228,441.133,0,0,0,13.0192,1.34006,-0.0489833,81.8887,469056
run0167,det_h0-7,0.0301708,0.000274595,14151.8,128.8,441.133,0,0,0,14,1.24528,-0.0407243,69.3992,469056
run0167,det_h1-0,0.0327166,0.000288723,15345.9,135.427,441.133,0,0,0,13.1772,1.39163,0.0127933,-3.87944,469056
run0167,det_h1-1,0.0316943,0.000281428,14866.4,132.006,441.133,1,0,0,12.4766,1.40311,-0.0166527,36.1682,469056
run0167,det_h1-2,0.011303,0.000171357,5301.74,80.3762,441.133,1,0,0,14,2.4196,-0.0375828,59.9771,469056
run0167,det_h1-3,0.0219807,0.000240279,10310.2,112.704,441.133,1,0,0,14,2.15795,-0.0397357,72.0544,469056
run0167,det_h1-4,0.0337106,0.000290857,15812.2,136.428,441.133,1,0,0,13.5429,1.64234,-0.00243725,14.9368,469056
run0168,det_h0-0,0.0434023,0.000438432,11012.3,111.242,236.839,0,0,0,12.6696,1.24606,0.030536,-35.281,253727
