,Run,Detector,Yield,Yield err,Area,Area err,Time,Fit Status,a,b,sig1,X2NDF,Linear,Offset,Q_int,Ea,runnum
0,run0160,det_h0-0,0.00635142,0.00013275399999999998,4291.72,89.7035,1433.01,0,1.00626,-3.4391300000000005,9.859,4.90787,-0.00753127,31.4453,675710.0,5425.6,160
1,run0160,det_h0-1,0.00656816,0.000127977,4438.17,86.4756,1433.01,0,1.0016,-1.742,10.0762,8.02554,0.0247809,-10.9112,675710.0,5425.6,160
2,run0160,det_h0-2,0.00156272,6.41676e-05,1055.95,43.3587,1433.01,0,0.999325,-0.275972,9.0,4.36334,-0.0140851,14.2473,675710.0,5425.6,160
3,run0160,det_h0-3,0.00453729,0.000120128,3065.89,81.172,1433.01,0,1.00525,-1.0744200000000002,10.3743,3.82061,0.0434036,-12.9598,675710.0,5425.6,160
4,run0160,det_h0-4,0.00505236,0.000131666,3413.93,88.9679,1433.01,0,1.00366,-1.49685,11.0388,4.10165,0.153027,-109.06200000000001,675710.0,5425.6,160
5,run0160,det_h0-5,0.00503135,0.00015154,3399.73,102.397,1433.01,0,1.00181,-1.73947,11.9535,4.124619999999999,0.0793543,-39.4611,675710.0,5425.6,160
6,run0160,det_h0-6,0.00558954,0.000130722,3776.91,88.3305,1433.01,0,1.0035,-1.34564,9.87336,4.84386,0.00461692,36.2707,675710.0,5425.6,160
7,run0160,det_h0-7,0.00467979,0.000124865,3162.18,84.3722,1433.01,0,1.0055,-0.990467,11.0145,5.61483,-0.0543882,67.7096,675710.0,5425.6,160
8,run0160,det_h1-0,0.00484982,0.00011722,3277.07,79.2069,1433.01,0,1.00666,-2.54242,10.1751,5.4532099999999994,-0.0046067,24.3673,675710.0,5425.6,160
9,run0160,det_h1-1,0.00452017,0.000115985,3054.32,78.372,1433.01,0,1.00985,-1.9079099999999998,9.813419999999999,4.54225,0.13006099999999998,-87.9166,675710.0,5425.6,160
10,run0160,det_h1-2,0.00171372,6.90609e-05,1157.98,46.6651,1433.01,0,0.992309,3.0636099999999997,9.186110000000001,6.1504199999999996,0.012910499999999998,-6.97698,675710.0,5425.6,160
11,run0160,det_h1-3,0.00581617,0.000157366,3930.04,106.334,1433.01,0,1.00978,2.17374,12.3108,5.04669,-0.0198271,28.1096,675710.0,5425.6,160
12,run0160,det_h1-4,0.006760899999999999,0.000139694,4568.41,94.3927,1433.01,0,1.0107,-2.95939,10.3676,5.07878,-0.026143299999999998,46.8769,675710.0,5425.6,160
13,run0161,det_h0-0,0.00650436,0.00012190000000000001,5122.86,96.009,1874.39,0,1.0038200000000002,-2.47234,10.6371,8.13166,0.11230699999999999,-79.3142,787604.0,5414.9,161
14,run0161,det_h0-1,0.00650496,0.000114553,5123.33,90.2221,1874.39,0,1.00148,-1.59966,10.1485,5.95181,0.052601199999999994,-36.1441,787604.0,5414.9,161
15,run0161,det_h0-2,0.000435491,3.7555900000000004e-05,342.995,29.5792,1874.39,0,1.0004,-0.8456100000000001,11.5286,11.2671,0.0166101,-12.5811,787604.0,5414.9,161
16,run0161,det_h0-3,0.00430048,0.00010032,3387.08,79.0124,1874.39,0,1.0036200000000002,0.00154135,10.1216,6.3455,0.123216,-90.3135,787604.0,5414.9,161
