Run,Detector,Yield,Yield err,Area,Area err,Time,Fit Status,a,b,sig1,X2NDF,Linear,Offset,Q_int
run0160,det_h0-0,0.000204789,3.77782e-05,138.378,25.5271,1433.01,0,1.00626,-3.43913,9.43158,1.63775,-0.0371379,66.4512,675710
run0160,det_h0-1,0.000106418,2.58322e-05,71.9079,17.4551,1433.01,0,1.0016,-1.742,7,1.60932,-0.0258837,47.1873,675710
run0160,det_h0-2,0.0001445,3.26259e-05,97.6401,22.0456,1433.01,1,0.999325,-0.275972,12.4215,1.21794,-0.00494955,10.5825,675710
run0160,det_h0-3,0.000123957,2.94005e-05,83.759,19.8662,1433.01,0,1.00525,-1.07442,7.84388,1.80475,-0.0234352,43.7266,675710
run0160,det_h0-4,0.000189115,3.74973e-05,127.787,25.3373,1433.01,0,1.00366,-1.49685,14,1.72118,-0.0242742,45.3807,675710
run0160,det_h0-5,8.85925e-05,3.95471e-05,59.8628,26.7224,1433.01,1,1.00181,-1.73947,13.7876,1.37173,-0.0280004,53.3822,675710
run0160,det_h0-6,0.000264729,4.4846e-05,178.88,30.3029,1433.01,1,1.0035,-1.34564,10.2817,1.07584,-0.031822,60.1035,675710
run0160,det_h0-7,0.00021086,3.81738e-05,142.48,25.7944,1433.01,0,1.0055,-0.990467,14,1.54341,-0.0228211,43.2188,675710
run0160,det_h1-0,0.00011347,4.15958e-05,76.6727,28.1067,1433.01,1,1.00666,-2.54242,12.5059,1.34627,0.00409731,-0.80853,675710
run0160,det_h1-1,0.000239741,3.63812e-05,161.996,24.5832,1433.01,0,1.00985,-1.90791,10.8076,1.74845,-0.00637949,15.056,675710
run0160,det_h1-2,5.14269e-05,2.18046e-05,34.7496,14.7336,1433.01,0,0.992309,3.06361,7.60399,1.71466,-0.00285345,8.01267,675710
run0160,det_h1-3,0.000130311,3.94992e-05,88.0526,26.69,1433.01,0,1.00978,2.17374,11.7461,1.78656,0.0049659,-2.18333,675710
run0160,det_h1-4,0.000204772,3.8445e-05,138.366,25.9777,1433.01,0,1.0107,-2.95939,14,2.20714,-0.0325267,59.1746,675710
run0161,det_h0-0,0.00020353,3.91167e-05,160.301,30.8085,1874.39,1,1.00382,-2.47234,11.9976,1.20444,-0.0290039,54.281,787604
run0161,det_h0-1,0.000225994,3.54221e-05,177.994,27.8986,1874.39,0,1.00148,-1.59966,10.2989,1.44839,-0.0440431,78.2788,787604
run0161,det_h0-2,0.000162217,2.65795e-05,127.763,20.9341,1874.39,1,1.0004,-0.84561,14,1.17858,0.00995124,-13.0103,787604
run0161,det_h0-3,0.000105961,2.20813e-05,83.4552,17.3913,1874.39,0,1.00362,0.00154135,7,1.74524,-0.0359266,64.7925,787604
run0161,det_h0-4,0.000160003,3.53806e-05,126.019,27.8659,1874.39,0,1.00318,-1.26485,14,1.88277,-0.0275595,52.1332,787604
run0161,det_h0-5,0.000137814,3.54807e-05,108.543,27.9447,1874.39,0,1.00099,-1.14942,14,1.88886,-0.0262624,50.8856,787604
run0161,det_h0-6,0.000133183,4.09951e-05,104.895,32.2879,1874.39,0,1.00348,-1.39876,11.3485,1.50056,-0.0315279,61.0777,787604
run0161,det_h0-7,0.000220777,3.37074e-05,173.885,26.5481,1874.39,0,1.00644,-1.39599,14,1.99144,-0.0111277,24.4172,787604
run0161,det_h1-0,9.32785e-05,2.20534e-05,73.4665,17.3693,1874.39,0,1.00576,-1.87924,7,2.44225,-0.0160136,32.3779,787604
run0161,det_h1-1,0.000190565,3.56626e-05,150.089,28.088,1874.39,1,1.01021,-2.08244,10.9677,1.30609,-0.0179526,36.0548,787604
run0161,det_h1-2,3.01267e-05,1.65762e-05,23.7279,13.0555,1874.39,0,0.990846,3.81744,7,2.20686,0.00094072,2.45516,787604
run0161,det_h1-3,9.95066e-05,3.39202e-05,78.3718,26.7157,1874.39,1,1.00867,2.41687,13.9801,1.39972,-0.0313203,58.4917,787604
run0161,det_h1-4,0.000210841,3.56586e-05,166.059,28.0849,1874.39,0,1.0092,-2.72223,14,1.44429,-0.0440716,79.2901,787604
run0162,det_h0-0,0.000307663,3.79025e-05,231.768,28.5526,1943.46,0,1.00435,-2.81861,14,1.61277,-0.0210591,40.843,753317
run0162,det_h0-1,0.000301627,3.90737e-05,227.221,29.4349,1943.46,0,1.00187,-1.76016,11.0826,2.24395,0.00840659,-8.49912,753317
run0162,det_h0-2,8.40327e-05,1.82492e-05,63.3032,13.7474,1943.46,0,1.00031,-0.125462,7,1.66365,-0.00782355,16.2763,753317
run0162,det_h0-3,0.000323876,3.60928e-05,243.981,27.1893,1943.46,0,1.00372,-0.261372,14,1.95596,-0.0101127,21.9368,753317
run0162,det_h0-4,0.000154681,3.08868e-05,116.524,23.2676,1943.46,0,1.00342,-1.41518,7.00002,2.05686,0.00573177,-3.12843,753317
run0162,det_h0-5,0.000336872,3.95722e-05,253.771,29.8104,1943.46,0,1.00224,-1.61127,13.9955,1.53811,-0.0469716,83.5927,753317
run0162,det_h0-6,0.000241816,4.11624e-05,182.164,31.0083,1943.46,0,1.00217,-0.905991,10.4074,1.48683,-0.0294022,56.6934,753317
run0162,det_h0-7,0.000349979,3.79137e-05,263.645,28.561,1943.46,0,1.00343,-0.201385,14,2.18937,-0.00372599,11.4175,753317
run0162,det_h1-0,0.00025902,3.57476e-05,195.125,26.9293,1943.46,0,1.00445,-1.65274,14,1.74997,-0.0339408,61.4765,753317
run0162,det_h1-1,0.000286695,3.85697e-05,215.972,29.0552,1943.46,0,1.00843,-1.49452,10.6151,1.83907,-0.0251352,46.6443,753317
run0162,det_h1-2,9.93474e-05,3.82104e-05,74.8401,28.7845,1943.46,0,0.991589,3.51347,8.63367,1.54213,-0.00779729,16.7231,753317
run0162,det_h1-3,0.000132353,4.28279e-05,99.704,32.263,1943.46,0,1.00812,3.31951,12.8237,1.54883,-0.0334781,61.4761,753317
run0162,det_h1-4,0.00036212,3.82376e-05,272.791,28.8051,1943.46,0,1.00875,-2.62141,14,2.60405,-0.00647266,16.6551,753317
run0167,det_h0-0,0.000299797,4.83582e-05,140.622,22.6827,441.133,1,0,0,11.1643,1.31627,-0.0125585,23.8137,469056
run0167,det_h0-1,0.000155028,2.95204e-05,72.7166,13.8467,441.133,0,0,0,7,1.43546,-0.0114023,21.885,469056
run0167,det_h0-2,8.3699e-05,3.3467e-05,39.2595,15.6979,441.133,1,0,0,14,0.962571,-0.00991673,18.4183,469056
run0167,det_h0-3,0.000156566,2.94688e-05,73.4384,13.8225,441.133,0,0,0,7,1.63388,-0.0232596,41.3668,469056
run0167,det_h0-4,0.000336418,4.68362e-05,157.799,21.9688,441.133,1,0,0,14,1.21705,-0.00607585,13.2202,469056
run0167,det_h0-5,0.00032077,4.81059e-05,150.459,22.5644,441.133,1,0,0,14,1.34039,-0.00679215,14.7062,469056
run0167,det_h0-6,0.000416291,5.70488e-05,195.264,26.7591,441.133,1,0,0,12.14,1.07308,-0.00890263,18.2757,469056
run0167,det_h0-7,0.000149986,3.03702e-05,70.3518,14.2453,441.133,1,0,0,7,1.18139,-0.00747476,15.8188,469056
run0167,det_h1-0,0.000277768,4.89021e-05,130.289,22.9378,441.133,1,0,0,11.2675,1.07289,-0.00941783,19.022,469056
run0167,det_h1-1,0.000354661,4.90394e-05,166.356,23.0022,441.133,1,0,0,11.4668,1.119,-0.0189628,34.2574,469056
run0167,det_h1-2,0.000109776,3.5007e-05,51.4909,16.4203,441.133,1,0,0,14,1.00832,0.00711119,-9.31266,469056
run0167,det_h1-3,0.00022195,4.31599e-05,104.107,20.2444,441.133,0,0,0,14,1.45214,-0.0134391,25.1926,469056
run0167,det_h1-4,0.000352933,4.52058e-05,165.546,21.2041,441.133,0,0,0,14,1.49983,-0.0114903,21.6648,469056
run0172,det_h0-0,0.000213335,6.88132e-05,55.0119,17.7447,233.152,1,0,0,11.7612,0.894608,-0.00743823,14.4593,257867
run0172,det_h0-1,0.000243042,8.53242e-05,62.6724,22.0023,233.152,1,0,0,13.5309,0.731098,0.00119525,0.379742,257867
run0172,det_h0-2,3.88999e-05,3.21541e-05,10.031,8.29149,233.152,1,0,0,7,0.666591,-0.000522906,2.496,257867
run0172,det_h0-3,0.00021085,8.73769e-05,54.3712,22.5316,233.152,1,0,0,11.9881,0.781775,-0.00669701,13.3041,257867
run0172,det_h0-4,0.000150244,6.08627e-05,38.7431,15.6945,233.152,1,0,0,14,1.08995,-0.00749689,14.4638,257867
run0172,det_h0-5,0.000145478,4.4226e-05,37.5141,11.4044,233.152,1,0,0,7,0.912556,-0.000230079,3.12663,257867
run0172,det_h0-6,0.000223807,6.33774e-05,57.7124,16.3429,233.152,1,0,0,9.48322,1.00696,-0.00694044,13.7281,257867
run0172,det_h0-7,9.24415e-05,5.57068e-05,23.8376,14.3649,233.152,1,0,0,14,0.993309,-0.00173171,4.86782,257867
run0172,det_h1-0,0.000200896,4.57943e-05,51.8043,11.8088,233.152,1,0,0,7,0.777401,-0.00103815,4.12331,257867
run0172,det_h1-1,0.000230723,7.19679e-05,59.4957,18.5582,233.152,1,0,0,11.236,0.714858,-0.00702634,13.8494,257867
run0172,det_h1-2,0.000102112,3.90995e-05,26.3312,10.0825,233.152,1,0,0,7,0.672838,-0.00191152,4.73964,257867
run0172,det_h1-3,0.00011649,5.69076e-05,30.0389,14.6746,233.152,1,0,0,10.1602,1.00763,-0.00140169,4.48274,257867
run0172,det_h1-4,0.000162289,6.05593e-05,41.8491,15.6162,233.152,1,0,0,14,1.02507,-0.00572911,11.5759,257867
run0173,det_h0-0,0.000125552,6.82843e-05,25.7747,14.0182,189.258,1,0,0,10.0177,0.934334,-0.00159861,4.70769,205291
run0173,det_h0-1,0.000149051,4.87053e-05,30.5988,9.99876,189.258,1,0,0,7,0.743718,-0.00774119,14.5112,205291
run0173,det_h0-2,6.47097e-05,6.0332e-05,13.2843,12.3856,189.258,0,0,0,14,0.573936,-0.000683977,2.60982,205291
run0173,det_h0-3,9.53906e-05,4.56967e-05,19.5828,9.38112,189.258,1,0,0,7,0.851815,-0.00581491,11.3985,205291
run0173,det_h0-4,6.83289e-05,4.63521e-05,14.0273,9.51567,189.258,1,0,0,7,0.897196,-0.00183958,5.26373,205291
run0173,det_h0-5,0.000162193,7.15376e-05,33.2967,14.686,189.258,1,0,0,14,0.989952,0.00262722,-2.39016,205291
run0173,det_h0-6,0.000287931,0.000102784,59.1096,21.1006,189.258,1,0,0,12.3999,0.798523,-0.00633053,12.3146,205291
run0173,det_h0-7,7.5162e-05,6.56905e-05,15.4301,13.4857,189.258,1,0,0,13.3623,0.845823,-0.000322274,2.40941,205291
run0173,det_h1-0,0.000107352,5.81331e-05,22.0384,11.9342,189.258,1,0,0,8.31029,0.871442,0.00206292,-1.32154,205291
run0173,det_h1-1,0.000203973,5.26569e-05,41.8739,10.81,189.258,1,0,0,7,0.848827,-0.000374485,2.55423,205291
run0173,det_h1-2,9.48578e-05,5.06641e-05,19.4735,10.4009,189.258,0,0,0,7.96396,0.430763,-0.00108024,3.28122,205291
run0173,det_h1-3,0.000149017,8.20129e-05,30.5919,16.8365,189.258,1,0,0,13.4414,0.810192,-0.0128285,22.9012,205291
run0173,det_h1-4,0.000242275,0.000133293,49.7369,27.3639,189.258,1,0,0,13.854,0.630646,-0.00563174,11.212,205291
run0174,det_h0-0,9.94885e-05,8.77734e-05,15.0596,13.2863,139.253,1,0,0,13.6493,0.609362,-0.00323183,6.95857,151370
run0174,det_h0-1,0.000221708,9.01478e-05,33.56,13.6457,139.253,0,0,0,14,0.551344,-0.00157252,4.04915,151370
run0174,det_h0-2,4.93523e-05,8.4834e-05,7.47046,12.8413,139.253,0,0,0,14,0.479842,0.00108835,-0.261179,151370
run0174,det_h0-3,0.000140435,8.60159e-05,21.2577,13.0202,139.253,0,0,0,14,0.575325,0.00170367,-1.19114,151370
run0174,det_h0-4,6.99341e-05,8.3482e-05,10.5859,12.6367,139.253,1,0,0,14,0.629575,-0.00156776,4.11962,151370
run0174,det_h0-5,6.45192e-05,5.72764e-05,9.76628,8.66993,139.253,1,0,0,7,0.606414,-0.00281411,6.38338,151370
run0174,det_h0-6,0.000246063,9.09234e-05,37.2466,13.7631,139.253,1,0,0,14,0.607258,-0.00191488,4.69382,151370
run0174,det_h0-7,9.81353e-05,5.64596e-05,14.8547,8.5463,139.253,0,0,0,7,0.563035,-0.00168575,4.41386,151370
run0174,det_h1-0,0.000121012,9.05957e-05,18.3176,13.7135,139.253,1,0,0,14,0.741088,0.000363331,0.971253,151370
run0174,det_h1-1,0.000124481,8.3468e-05,18.8427,12.6346,139.253,0,0,0,9.19814,0.562585,-0.000208153,2.00871,151370
run0174,det_h1-2,0.000150176,9.32947e-05,22.7321,14.122,139.253,0,0,0,14,0.372324,-0.00314841,6.42472,151370
run0174,det_h1-3,1.7227e-05,9.54095e-05,2.60765,14.4421,139.253,0,0,0,14,0.499917,-0.000731037,2.79063,151370
