Run,Detector,Yield,Yield err,Area,Area err,Time,Fit Status,a,b,sig1,sig2,X2NDF,Linear,Offset,Q_int
run0159,det_h0-0,0.00740539,0.000177042,3273.38,78.257,850.647,1,1.00252,0,9.78712,7.37681,3.92842,-0.00624053,7.37681,442026
run0159,det_h0-1,0.0103671,0.000236607,4582.54,104.586,850.647,1,1.00042,0,13,11.6042,4.45649,-0.127947,11.6042,442026
run0159,det_h0-2,0.00341966,0.000137943,1511.58,60.9744,850.647,1,1.00126,0,10.9168,11,4.03546,-0.0803872,11,442026
run0159,det_h0-3,0.00556654,0.000161448,2460.56,71.3642,850.647,1,0.998499,0,10.0631,7.35207,2.88408,-0.0408462,7.35207,442026
run0159,det_h0-4,0.00702041,0.0001762,3103.2,77.8848,850.647,1,1.00023,0,11.047,7.3706,2.98375,-0.0519476,7.3706,442026
run0159,det_h0-5,0.00801254,0.000187992,3541.75,83.0975,850.647,1,0.997749,0,11.2844,7.39452,2.14514,0.00623895,7.39452,442026
run0159,det_h0-6,0.00770698,0.000183282,3406.69,81.0156,850.647,1,0.997875,0,10.025,7.41407,1.80676,-0.0577139,7.41407,442026
run0159,det_h0-7,0.00704243,0.000212737,3112.94,94.0353,850.647,1,1.00157,0,13,11,2.57942,-0.0905969,11,442026
run0159,det_h1-0,0.00671451,0.00024547,2967.99,108.504,850.647,1,1.00123,0,11.005,11,2.04262,-0.0656873,11,442026
run0159,det_h1-1,0.00717144,0.000297456,3169.96,131.483,850.647,1,1.00632,0,11.0999,11.6052,2.89321,-0.089636,11.6052,442026
run0159,det_h1-2,0.00469273,0.000166542,2074.31,73.6161,850.647,1,1.00239,0,13,11,3.9686,-0.104982,11,442026
run0159,det_h1-3,0.0096615,0.000224412,4270.63,99.196,850.647,1,1.00832,0,13,11,3.36123,-0.148374,11,442026
run0159,det_h1-4,0.0106678,0.000241101,4715.44,106.573,850.647,1,1.00442,0,13,11.6308,3.42767,-0.0358044,11.6308,442026
run0160,det_h0-0,0.0086042,0.000161681,5813.94,109.25,1433.01,1,1.00357,0,9.54469,11.888,3.26122,-0.0527078,11.888,675710
run0160,det_h0-1,0.0118633,0.0001937,8016.18,130.885,1433.01,1,1.00036,0,13,11.855,4.90612,-0.102518,11.855,675710
run0160,det_h0-2,0.00364567,0.000113982,2463.42,77.0185,1433.01,1,1.00092,0,11.045,11,5.59687,-0.0720826,11,675710
run0160,det_h0-3,0.00725917,0.000141387,4905.1,95.5369,1433.01,1,1.00361,0,10.593,7.54586,2.57283,-0.0760947,7.54586,675710
run0160,det_h0-4,0.00922962,0.00018608,6236.55,125.736,1433.01,1,1.00242,0,13,11.8311,3.84804,-0.042615,11.8311,675710
run0160,det_h0-5,0.00892943,0.00022603,6033.7,152.73,1433.01,1,0.999554,0,12.5184,11.872,2.44903,-0.05987,11.872,675710
run0160,det_h0-6,0.00870258,0.000184602,5880.42,124.737,1433.01,1,0.999797,0,10.0183,11.9405,3.02419,-0.0987228,11.9405,675710
run0160,det_h0-7,0.00792457,0.000177892,5354.71,120.204,1433.01,1,1.0042,0,13,11.8023,4.04397,-0.183999,11.8023,675710
run0160,det_h1-0,0.00751855,0.000146968,5080.36,99.3079,1433.01,1,1.00377,0,11.9522,7.54518,3.32962,-0.152694,7.54518,675710
run0160,det_h1-1,0.00899991,0.000182809,6081.33,123.526,1433.01,1,1.00804,0,13,11.8209,4.10767,-0.0481913,11.8209,675710
run0160,det_h1-2,0.00469436,0.000131498,3172.03,88.8547,1433.01,1,1.00264,0,13,11,5.06686,-0.179489,11,675710
run0160,det_h1-3,0.00983172,0.000157169,6643.39,106.2,1433.01,1,1.00744,0,13,7.55518,5.51331,-0.263126,7.55518,675710
run0160,det_h1-4,0.0112947,0.000199993,7631.93,135.137,1433.01,1,1.00617,0,13,11.9116,4.72289,-0.147876,11.9116,675710
run0161,det_h0-0,0.00344664,0.000123425,2714.58,97.2103,1874.39,1,1.00169,0,13,7.64333,5.34094,-0.00594145,7.64333,787604
run0161,det_h0-1,0.00611661,0.00019844,4817.46,156.292,1874.39,1,1.00069,0,12.1288,11.8294,3.6866,-0.140144,11.8294,787604
run0161,det_h0-2,0.00154597,8.84725e-05,1217.61,69.6813,1874.39,1,1.00175,0,10.6221,11,3.3795,-0.0964176,11,787604
run0161,det_h0-3,0.00380824,0.000107042,2999.38,84.3068,1874.39,1,1.00154,0,10.0906,7.54701,2.64226,0.0205736,7.54701,787604
run0161,det_h0-4,0.00444581,0.000115142,3501.54,90.6861,1874.39,1,1.0013,0,10.8884,7.57337,3.01532,-0.126681,7.57337,787604
run0161,det_h0-5,0.00448957,0.000125146,3536,98.5658,1874.39,1,0.998938,0,13,7.61584,3.44564,0.0783569,7.61584,787604
run0161,det_h0-6,0.00482967,0.00011935,3803.87,94.0007,1874.39,1,1.00016,0,10.2014,7.66173,3.77296,-0.0142347,7.66173,787604
run0161,det_h0-7,0.00383456,0.000158314,3020.11,124.689,1874.39,1,1.00366,0,11.7025,11.8102,3.0656,-0.06319,11.8102,787604
run0161,det_h1-0,0.00429921,0.000114931,3386.08,90.5199,1874.39,1,1.00342,0,11.5863,7.54844,2.93286,-0.0129428,7.54844,787604
run0161,det_h1-1,0.00435495,0.000110594,3429.97,87.1047,1874.39,1,1.00833,0,10.0514,7.57009,3.7894,-0.100361,7.57009,787604
run0161,det_h1-2,0.0027736,0.00010934,2184.5,86.1168,1874.39,1,1.00221,0,13,11,3.44842,-0.133822,11,787604
run0161,det_h1-3,0.00592608,0.000145803,4667.41,114.835,1874.39,1,1.00857,0,13,11.797,3.57896,-0.161961,11.797,787604
run0161,det_h1-4,0.00560936,0.00012351,4417.96,97.2774,1874.39,1,1.00509,0,10.5988,7.64986,3.56093,-0.0833279,7.64986,787604
run0162,det_h0-0,0.00232745,0.000116382,1753.31,87.6727,1943.46,1,1.00188,0,13,7.55052,4.49696,-0.0755223,7.55052,753317
run0162,det_h0-1,0.00375518,0.000108257,2828.84,81.5521,1943.46,1,1.00081,0,10.5666,7.49847,3.76061,-0.108075,7.49847,753317
run0162,det_h0-2,0.00132984,9.5788e-05,1001.79,72.1587,1943.46,1,1.00149,0,13,11,4.83529,-0.0329424,11,753317
run0162,det_h0-3,0.00270277,0.000104096,2036.04,78.4172,1943.46,1,1.00182,0,10.9192,7.47965,2.83083,-0.0739814,7.47965,753317
run0162,det_h0-4,0.00309247,0.000107151,2329.61,80.7183,1943.46,1,1.00137,0,10.74,7.50903,2.69267,-0.0974317,7.50903,753317
run0162,det_h0-5,0.00275358,0.000115899,2074.32,87.3087,1943.46,1,0.998835,0,13,7.54583,3.23205,0.0626772,7.54583,753317
run0162,det_h0-6,0.00286779,0.000115297,2160.36,86.8551,1943.46,1,0.998556,0,11.4641,7.59673,2.95594,-0.0285838,7.59673,753317
run0162,det_h0-7,0.00243329,0.000101502,1833.04,76.4633,1943.46,1,1.00182,0,10.7898,7.49472,2.51158,-0.0211494,7.49472,753317
run0162,det_h1-0,0.00281229,0.000102391,2118.55,77.1329,1943.46,1,1.00232,0,10.1775,7.50512,3.24102,-0.00707615,7.50512,753317
