Run,Detector,Yield,Yield err,Area,Area err,Time,Fit Status,a,b,sig1,X2NDF,Linear,Offset,Q_int
run0160,det_h0-0,0.00926687,0.000117108,6261.72,79.131,1433.01,0,1.00537,-3.19411,9.30943,2.3517,9.30943,-0.0611493,675710
run0160,det_h0-1,0.0100194,0.00012177,6770.19,82.2812,1433.01,0,1.00104,-1.54305,10.0709,3.92527,10.0709,-0.0810025,675710
run0160,det_h0-2,0.00394894,7.64469e-05,2668.34,51.656,1433.01,0,1.00144,-0.799657,10.3464,3.91482,10.3464,-0.072876,675710
run0160,det_h0-3,0.00706402,0.000102246,4773.23,69.0886,1433.01,0,1.00332,-1.43577,10.1739,2.55376,10.1739,-0.0551792,675710
run0160,det_h0-4,0.00791634,0.000108239,5349.15,73.1379,1433.01,0,1.00285,-2.05134,10.6105,2.64735,10.6105,-0.0139804,675710
run0160,det_h0-5,0.00886361,0.000114532,5989.23,77.3901,1433.01,0,1.00038,-1.36275,12.5667,2.615,12.5667,-0.0571951,675710
run0160,det_h0-6,0.00850533,0.000112193,5747.14,75.8099,1433.01,0,0.999992,-0.706906,9.70141,3.05232,9.70141,-0.0871823,675710
run0160,det_h0-7,0.00690794,0.00010111,4667.76,68.321,1433.01,0,1.00332,-0.394057,10.4434,3.45285,10.4434,-0.156017,675710
run0160,det_h1-0,0.0067495,9.99438e-05,4560.71,67.533,1433.01,0,1.00569,-2.85758,10.0683,2.54179,10.0683,-0.144109,675710
run0160,det_h1-1,0.0074983,0.000105342,5066.68,71.1806,1433.01,0,1.00992,-2.73705,9.40991,2.57337,9.40991,-0.0397956,675710
run0160,det_h1-2,0.00415134,7.83816e-05,2805.1,52.9632,1433.01,0,1.00235,1.69169,13,4.56097,13,-0.159268,675710
run0160,det_h1-3,0.00891095,0.000114837,6021.22,77.5965,1433.01,0,1.00796,2.76962,13,3.0398,13,-0.129337,675710
run0160,det_h1-4,0.00957805,0.000119058,6471.98,80.4486,1433.01,0,1.0079,-2.16499,9.92793,2.68637,9.92793,-0.107119,675710
run0161,det_h0-0,0.00461185,7.65215e-05,3632.31,60.2687,1874.39,0,1.00292,-2.22791,9.16733,2.93482,9.16733,-0.0630295,787604
run0161,det_h0-1,0.00516413,8.09738e-05,4067.29,63.7753,1874.39,0,1.00092,-1.40074,10.5904,3.2449,10.5904,-0.0795929,787604
run0161,det_h0-2,0.00167803,4.61579e-05,1321.63,36.3542,1874.39,0,1.00252,-1.36985,10.6774,3.44258,10.6774,-0.111026,787604
run0161,det_h0-3,0.00401117,7.13644e-05,3159.21,56.2069,1874.39,0,1.00169,-0.359215,10.3133,2.85985,10.3133,0.0275288,787604
run0161,det_h0-4,0.00424519,7.34166e-05,3343.53,57.8232,1874.39,0,1.00238,-1.81907,10.6177,2.7006,10.6177,-0.106497,787604
run0161,det_h0-5,0.00477299,7.78469e-05,3759.23,61.3125,1874.39,0,0.999565,-0.773007,13,3.51748,13,0.0451187,787604
