Run,Detector,Yield,Yield err,Area,Area err,Time,Fit Status,a,b,sig1,X2NDF,Linear,Offset,Q_int
run0160,det_h0-0,1.30869e-13,1.87914e-05,8.84293e-08,12.6975,1433.01,0,1.00626,-3.43913,13.0852,1.88436,0.0114487,-22.892,675710
run0160,det_h0-1,6.52537e-05,3.23571e-05,44.0926,21.864,1433.01,0,1.0016,-1.742,7,1.46194,0.00840476,-16.8679,675710
run0160,det_h0-2,5.42874e-05,2.46798e-05,36.6825,16.6764,1433.01,1,0.999325,-0.275972,7,0.986357,0.00749554,-14.8189,675710
run0160,det_h0-3,1.88116e-05,3.24335e-05,12.7112,21.9156,1433.01,0,1.00525,-1.07442,14,1.87112,0.00994976,-19.3103,675710
run0160,det_h0-4,0.000111077,2.01506e-05,75.056,13.6159,1433.01,0,1.00366,-1.49685,7,1.44153,-0.0120087,28.6255,675710
run0160,det_h0-5,9.21238e-05,2.91627e-05,62.249,19.7055,1433.01,0,1.00181,-1.73947,14,2.18851,0.00634714,-11.8503,675710
run0160,det_h0-6,0.000219734,3.83818e-05,148.476,25.935,1433.01,0,1.0035,-1.34564,12.1709,2.57575,-0.00475905,12.6212,675710
run0160,det_h0-7,0.000122405,3.48197e-05,82.7103,23.528,1433.01,0,1.0055,-0.990467,14,1.49518,0.0149407,-30.2418,675710
run0160,det_h1-0,5.35247e-05,1.71207e-05,36.1672,11.5686,1433.01,0,1.00666,-2.54242,7,1.49207,-0.00249528,7.42089,675710
run0160,det_h1-1,6.27083e-05,4.60888e-05,42.3726,31.1426,1433.01,0,1.00985,-1.90791,14,2.23229,-0.0101403,24.3094,675710
run0160,det_h1-2,6.62765e-05,4.84186e-05,44.7837,32.7169,1433.01,1,0.992309,3.06361,8.93049,1.1291,-0.00540758,13.4735,675710
run0160,det_h1-3,2.51764e-05,2.09036e-05,17.0119,14.1248,1433.01,1,1.00978,2.17374,7.99975,1.17129,0.0119904,-24.3862,675710
run0160,det_h1-4,0.00018596,3.00072e-05,125.655,20.2762,1433.01,0,1.0107,-2.95939,10.0782,1.6425,-0.00704147,17.6061,675710
run0161,det_h0-0,4.30005e-13,0.000100925,3.38674e-07,79.489,1874.39,0,1.00382,-2.47234,13.4568,3.3618,0.0100858,-19.8834,787604
run0161,det_h0-1,2.81449e-05,3.00041e-05,22.167,23.6314,1874.39,0,1.00148,-1.59966,14,2.6768,-0.00603959,15.5501,787604
run0161,det_h0-2,3.02364e-14,4.05259e-05,2.38143e-08,31.9184,1874.39,1,1.0004,-0.84561,13.9333,0.675513,0.0116092,-24.1549,787604
run0161,det_h0-3,8.23783e-05,2.51004e-05,64.8815,19.7692,1874.39,0,1.00362,0.00154135,14,1.90415,-0.00980179,23.2327,787604
run0161,det_h0-4,5.8318e-05,2.61074e-05,45.9315,20.5623,1874.39,0,1.00318,-1.26485,14,2.17859,0.00151241,-1.09656,787604
run0161,det_h0-5,7.0481e-17,1.6443e-05,5.55112e-11,12.9506,1874.39,0,1.00099,-1.14942,9.41965,2.14891,0.0108481,-21.0844,787604
run0161,det_h0-6,0.000116816,2.54822e-05,92.005,20.0699,1874.39,0,1.00348,-1.39876,11.2029,3.00001,-0.00458091,11.8297,787604
run0161,det_h0-7,1.82145e-05,1.67616e-05,14.3458,13.2015,1874.39,0,1.00644,-1.39599,7.21838,1.83565,0.00627804,-11.868,787604
run0161,det_h1-0,9.71605e-05,2.67208e-05,76.524,21.0454,1874.39,0,1.00576,-1.87924,14,1.6852,-0.00146187,4.49602,787604
run0161,det_h1-1,3.56374e-05,3.55289e-05,28.0681,27.9827,1874.39,0,1.01021,-2.08244,13.1538,1.91702,-0.00153213,5.17077,787604
run0161,det_h1-2,3.64826e-05,2.07478e-05,28.7338,16.341,1874.39,1,0.990846,3.81744,7,1.26879,-0.00407759,10.8957,787604
run0161,det_h1-3,4.35608e-06,7.05782e-05,3.43087,55.5876,1874.39,0,1.00867,2.41687,13.9999,1.85005,0.00273253,-3.33624,787604
run0161,det_h1-4,3.43274e-05,2.21457e-05,27.0364,17.442,1874.39,0,1.0092,-2.72223,10.5556,2.1942,0.00500101,-8.57068,787604
run0162,det_h0-0,6.11005e-05,1.9444e-05,46.0281,14.6475,1943.46,0,1.00435,-2.81861,7,2.28781,-0.00843694,20.5881,753317
run0162,det_h0-1,1.83834e-05,2.32242e-05,13.8485,17.4952,1943.46,0,1.00187,-1.76016,8.50728,2.22525,0.0025501,-3.49023,753317
run0162,det_h0-2,4.6279e-05,2.24053e-05,34.8628,16.8783,1943.46,1,1.00031,-0.125462,7,0.983335,-0.00295636,7.8979,753317
run0162,det_h0-3,3.89916e-05,2.58835e-05,29.373,19.4985,1943.46,1,1.00372,-0.261372,14,1.00077,-0.0031377,8.51189,753317
run0162,det_h0-4,7.14948e-05,2.3964e-05,53.8582,18.0525,1943.46,1,1.00342,-1.41518,7,1.36965,0.0100626,-20.1286,753317
run0162,det_h0-5,0,2.93199e-06,0,2.20872,1943.46,0,1.00224,-1.61127,7.20591,2.20232,0.00756287,-14.5497,753317
run0162,det_h0-6,0.000194176,3.85979e-05,146.276,29.0764,1943.46,0,1.00217,-0.905991,11.7532,1.93483,-0.00505202,13.033,753317
run0162,det_h0-7,1.92526e-05,1.95568e-05,14.5033,14.7324,1943.46,0,1.00343,-0.201385,9.81987,1.79415,0.00107697,-0.36901,753317
run0162,det_h1-0,3.62468e-05,2.1249e-05,27.3054,16.0073,1943.46,0,1.00445,-1.65274,7,1.51373,0.0102847,-20.3383,753317
run0162,det_h1-1,3.66169e-05,2.73419e-05,27.5841,20.5971,1943.46,0,1.00843,-1.49452,7,2.81156,-0.00716112,18.231,753317
run0162,det_h1-2,3.02125e-15,2.99928e-05,2.27596e-09,22.5941,1943.46,1,0.991589,3.51347,13.9998,1.08693,0.00110168,-0.449584,753317
run0162,det_h1-3,5.07717e-14,0.000890402,3.82472e-08,670.755,1943.46,0,1.00812,3.31951,13.4755,2.05022,0.0112305,-22.2728,753317
run0162,det_h1-4,0.000131982,3.90857e-05,99.4243,29.4439,1943.46,0,1.00875,-2.62141,10.5547,3.26957,-0.00406444,11.0278,753317
run0167,det_h0-0,9.7798e-05,2.41405e-05,45.8727,11.3233,441.133,1,0,0,7,1.15282,-0.0099301,23.7089,469056
run0167,det_h0-1,8.46339e-05,3.52018e-05,39.698,16.5116,441.133,1,0,0,13.9986,1.29045,0.00321342,-5.44066,469056
run0167,det_h0-2,0.000138497,3.72775e-05,64.9627,17.4852,441.133,1,0,0,7.26575,0.78387,-0.00465394,11.9422,469056
run0167,det_h0-3,0.000116629,3.50516e-05,54.7054,16.4412,441.133,1,0,0,14,1.12987,-0.00618794,15.5238,469056
run0167,det_h0-4,0.00013062,2.8858e-05,61.2681,13.536,441.133,1,0,0,7.19724,1.03587,-0.00453388,11.8809,469056
run0167,det_h0-5,4.91474e-05,3.85738e-05,23.0529,18.0933,441.133,0,0,0,14,1.57547,0.0155069,-31.781,469056
run0167,det_h0-6,0.000248356,4.2606e-05,116.493,19.9846,441.133,1,0,0,14,0.992229,-0.00284936,8.2238,469056
run0167,det_h0-7,0.000134704,3.80649e-05,63.1837,17.8546,441.133,1,0,0,14,1.25501,0.0086977,-17.2692,469056
run0167,det_h1-0,8.565e-05,2.72273e-05,40.1746,12.7711,441.133,1,0,0,7,1.2536,0.00820401,-16.3039,469056
run0167,det_h1-1,3.18163e-05,3.46225e-05,14.9236,16.2399,441.133,0,0,0,14,1.72339,0.00204863,-2.46793,469056
run0167,det_h1-2,5.60475e-05,3.46403e-05,26.2894,16.2483,441.133,1,0,0,8.18864,1.08094,0.00646202,-12.4986,469056
run0167,det_h1-3,6.87749e-05,5.84549e-05,32.2593,27.4186,441.133,1,0,0,9.3452,1.23038,0.00730912,-13.9621,469056
run0167,det_h1-4,7.12618e-05,3.44106e-05,33.4258,16.1405,441.133,0,0,0,14,1.59534,0.00365686,-6.22689,469056
run0172,det_h0-0,5.67285e-05,7.47585e-05,14.6284,19.2778,233.152,0,0,0,13.0752,0.586892,-0.00311922,8.38639,257867
run0172,det_h0-1,1.43565e-05,3.97239e-05,3.70208,10.2435,233.152,1,0,0,7.21096,0.671942,0.00167728,-2.14705,257867
