Run,Detector,Yield,Yield err,Area,Area err,Time,Fit Status,a,b,sig1,X2NDF,Linear,Offset,Q_int
run0159,det_h0-0,0.00823671,0.000136506,3640.84,60.3394,850.647,1,1.00463,-3.26926,9.45897,2.6029,9.45897,-0.0304319,442026
run0159,det_h0-1,0.00872327,0.00014048,3855.91,62.096,850.647,1,1.00103,-1.45418,9.88395,3.1352,9.88395,-0.10177,442026
run0159,det_h0-2,0.00356746,8.98371e-05,1576.91,39.7103,850.647,1,1.00219,-1.33043,10.8353,3.89195,10.8353,-0.0685632,442026
run0159,det_h0-3,0.00618746,0.000118313,2735.02,52.2974,850.647,1,0.997905,-0.112355,10.1523,2.39411,10.1523,-0.0424315,442026
run0159,det_h0-4,0.00641892,0.000120506,2837.33,53.2666,850.647,1,1.00137,-1.77283,9.53119,2.51165,9.53119,-0.0196883,442026
run0159,det_h0-5,0.00779565,0.000132801,3445.88,58.7016,850.647,1,1.00093,-2.58316,10.9008,2.37588,10.9008,0.00235669,442026
run0159,det_h0-6,0.00773277,0.000132265,3418.09,58.4644,850.647,1,0.998653,-1.31288,10.0136,2.16056,10.0136,-0.0732849,442026
run0159,det_h0-7,0.00610756,0.000117547,2699.7,51.9587,850.647,1,1.00136,-0.738673,10.8403,2.38344,10.8403,-0.0917416,442026
run0159,det_h1-0,0.00653407,0.000121582,2888.23,53.7422,850.647,1,1.00196,-1.48432,10.7495,1.8963,10.7495,-0.0553682,442026
run0159,det_h1-1,0.00655581,0.000121784,2897.84,53.8316,850.647,1,1.00813,-2.94574,9.06112,2.13389,9.06112,-0.0632133,442026
run0159,det_h1-2,0.00405816,9.58165e-05,1793.81,42.3534,850.647,1,1.00432,1.24505,13,3.65088,13,-0.138854,442026
run0159,det_h1-3,0.00806462,0.000135073,3564.77,59.7057,850.647,1,1.00826,2.52583,11.7589,2.14503,11.7589,-0.110688,442026
run0159,det_h1-4,0.00912696,0.000143694,4034.35,63.5166,850.647,1,1.00527,-1.67632,10.6201,2.74066,10.6201,-0.00440642,442026
run0160,det_h0-0,0.00916193,0.000116443,6190.81,78.6817,1433.01,1,1.00496,-2.78357,9.42542,2.40244,9.42542,-0.0929852,675710
run0160,det_h0-1,0.0100326,0.00012185,6779.12,82.3354,1433.01,1,1.00085,-1.47542,10.285,3.03978,10.285,-0.065276,675710
run0160,det_h0-2,0.00381913,7.518e-05,2580.63,50.7999,1433.01,1,1.00105,-0.22471,9.54564,4.85473,9.54564,-0.077336,675710
run0160,det_h0-3,0.00711488,0.000102613,4807.6,69.3368,1433.01,1,1.0039,-2.10736,10.4234,2.19793,10.4234,-0.0489887,675710
run0160,det_h0-4,0.00786714,0.000107902,5315.91,72.9103,1433.01,1,1.00306,-2.12054,10.5678,2.60568,10.5678,-0.0288853,675710
run0160,det_h0-5,0.00891593,0.000114869,6024.58,77.6182,1433.01,1,1.00073,-1.06622,12.7527,2.72453,12.7527,-0.0525053,675710
run0160,det_h0-6,0.00849866,0.000112149,5742.63,75.7802,1433.01,1,0.99993,-0.684898,9.78406,3.4403,9.78406,-0.117861,675710
run0160,det_h0-7,0.00680985,0.00010039,4601.48,67.8342,1433.01,1,1.00357,-0.480369,10.3843,3.62104,10.3843,-0.139906,675710
run0160,det_h1-0,0.0067377,9.98564e-05,4552.73,67.474,1433.01,1,1.00577,-2.88286,10.1812,2.70211,10.1812,-0.157459,675710
run0160,det_h1-1,0.00753388,0.000105592,5090.72,71.3493,1433.01,1,1.00986,-2.71655,9.55896,2.76889,9.55896,-0.0403863,675710
run0160,det_h1-2,0.00419951,7.8835e-05,2837.65,53.2696,1433.01,1,1.00245,1.65625,13,4.63151,13,-0.109231,675710
run0160,det_h1-3,0.00876485,0.000113892,5922.5,76.9578,1433.01,1,1.00813,2.40202,13,2.56289,13,-0.120923,675710
run0160,det_h1-4,0.00957089,0.000119013,6467.15,80.4186,1433.01,1,1.00796,-2.48318,10.0408,2.81275,10.0408,-0.113781,675710
run0161,det_h0-0,0.00466042,7.69234e-05,3670.57,60.5852,1874.39,1,1.00286,-2.20918,9.17553,3.38903,9.17553,-0.0461932,787604
run0161,det_h0-1,0.00525402,8.16755e-05,4138.09,64.328,1874.39,1,1.0008,-1.35989,10.7088,3.72887,10.7088,-0.0768589,787604
run0161,det_h0-2,0.00178412,4.75947e-05,1405.18,37.4858,1874.39,1,1.00209,-0.75093,11.3317,4.19456,11.3317,-0.148455,787604
run0161,det_h0-3,0.00400825,7.13384e-05,3156.92,56.1864,1874.39,1,1.00169,-0.359193,10.2795,2.50054,10.2795,0.0191551,787604
run0161,det_h0-4,0.0042927,7.38263e-05,3380.95,58.1459,1874.39,1,1.00256,-1.88011,10.8269,2.91344,10.8269,-0.114439,787604
run0161,det_h0-5,0.00472637,7.74657e-05,3722.5,61.0123,1874.39,1,0.9995,-0.749688,13,3.377,13,0.0333746,787604
run0161,det_h0-6,0.00503921,7.99884e-05,3968.9,62.9992,1874.39,1,0.999973,-0.759353,10.6069,3.46158,10.6069,0.000351096,787604
run0161,det_h0-7,0.00374908,6.89935e-05,2952.79,54.3396,1874.39,1,1.00425,-0.798172,11.9511,3.09273,11.9511,-0.0623767,787604
run0161,det_h1-0,0.00403907,7.16121e-05,3181.19,56.402,1874.39,1,1.00482,-2.20604,11.1573,2.76743,11.1573,0.0262095,787604
run0161,det_h1-1,0.00392498,7.05935e-05,3091.33,55.5997,1874.39,1,1.01032,-2.92545,9.06829,2.83723,9.06829,-0.08391,787604
