Detector,Centroid,Width,Area,Area err,Runtime
det_h0-0,609.885,6.70819,6626.63,173.795,5665.25
det_h0-1,654.097,8.55956,8225.71,187.196,5665.25
det_h0-2,665.653,8.42982,3949.79,174.862,5665.25
det_h0-3,655.841,8.99841,6068.02,182.748,5665.25
det_h0-4,638.045,7.70166,4906.49,172.726,5665.25
det_h0-5,669.511,10.094,6005.45,188.446,5665.25
det_h0-6,660.683,8.01849,6879.47,179.153,5665.25
det_h0-7,661.269,8.49156,4547.2,176.5,5665.25
det_h1-0,652.512,8.66103,5553.03,183.076,5665.25
det_h1-1,658.846,7.37161,4839.32,168.816,5665.25
det_h1-2,663.799,9.59395,3871.33,180.597,5665.25
det_h1-3,649.407,9.95802,8231.41,197.637,5665.25
det_h1-4,652.897,8.30095,7367.81,182.457,5665.25
