Detector,Centroid,Width,Area,Area err,Runtime
det_h0-0,1210.57,10.1778,7854.71,93.4409,1004.73
det_h0-1,1313.68,11.9085,8078.63,95.7256,1004.73
det_h0-2,1325.59,12.1423,4162.33,72.4025,1004.73
det_h0-3,1307.61,12.6222,5815.51,83.7944,1004.73
det_h0-4,1274.51,12.3207,6025.08,84.333,1004.73
det_h0-5,1338.97,13.5332,5327.47,80.978,1004.73
det_h0-6,1320.07,11.9748,7591.45,93.8989,1004.73
det_h0-7,1329.21,12.3056,5092.33,80.4419,1004.73
det_h1-0,1310.49,11.6151,5923.21,84.2104,1004.73
det_h1-1,1325.84,11.1387,6104.79,84.9819,1004.73
det_h1-2,1339.22,15.9274,4733.27,75.8255,1004.73
det_h1-3,1309.34,13.9828,7158.65,94.7237,1004.73
det_h1-4,1311.94,12.3166,8323.73,95.139,1004.73
