Detector,Centroid,Width,Area,Area err,Runtime,A,A err,percentChange
det_h0-0,609.939,7.33404,7671.43,195.475,5665.25,7480.35,254.704,2.55443
det_h0-1,653.953,8.78102,8202.24,208.029,5665.25,8286.16,337.169,-1.01276
det_h0-2,666.122,8.82283,4265.01,198.038,5665.25,4260.64,356.108,0.102582
det_h0-3,655.191,8.5494,5835.44,196.549,5665.25,5849.91,312.337,-0.247344
det_h0-4,637.656,8.02931,5033.34,192.205,5665.25,5006.81,268.299,0.529916
det_h0-5,668.385,8.47861,4347.71,194.721,5665.25,4331.65,304.941,0.370691
det_h0-6,660.597,7.99255,6822.61,197.067,5665.25,6827.84,423.138,-0.0766333
det_h0-7,661.46,8.48649,4648.48,193.457,5665.25,4585.69,311.797,1.36932
det_h1-0,652.32,9.05276,5686.4,205.187,5665.25,5607.96,322.732,1.39871
det_h1-1,658.596,7.95862,5366.66,193.771,5665.25,5228.96,295.774,2.63334
det_h1-2,663.397,10.0476,4116.58,205.167,5665.25,4104.39,384.218,0.297069
det_h1-3,648.601,9.74238,7785.23,214.906,5665.25,7726.91,320.034,0.754783
det_h1-4,652.756,8.09161,7162.61,199.367,5665.25,7113.48,304.777,0.690777
