Detector,Centroid,Width,Area,Area err,Runtime,A,A err,percentChange
det_h0-0,1070.37,9.77702,8687.73,122.108,1004.73,8683.36,157.136,0.0503041
det_h0-1,1158.85,11.2589,9159.96,127.632,1004.73,9118.18,176.575,0.458273
det_h0-2,1170.79,11.4264,4639.79,106.359,1004.73,4606.94,195.241,0.712922
det_h0-3,1154.95,11.6661,6666.09,116.799,1004.73,6572.36,154.533,1.4262
det_h0-4,1124.18,11.5296,6888.41,118.716,1004.73,6853.4,152.934,0.5109
det_h0-5,1182.37,12.8005,6121.25,117.101,1004.73,6064.07,183.307,0.943034
det_h0-6,1165.68,11.0322,8288.67,125.177,1004.73,8244.66,155.298,0.533823
det_h0-7,1172.69,11.9209,5755.96,113.42,1004.73,5695.63,149.43,1.05913
det_h1-0,1156.53,11.2264,6709.83,118.618,1004.73,6644.48,152.693,0.983515
det_h1-1,1169.42,10.6336,6757.69,115.153,1004.73,6726.12,139.1,0.469357
det_h1-2,1180.32,13.2165,4651.21,109.721,1004.73,4581.1,225.962,1.53047
det_h1-3,1152.91,13.1494,8413.59,131.242,1004.73,8358.5,182.184,0.659059
det_h1-4,1157.36,11.1811,8984.75,124.993,1004.73,8928.52,164.829,0.629756
