Det,Angle,p1,p2,a1,eff,eff err
det_h0-0,120,773.8368035013712,927.5578385092194,1242.4933718856744,0.00036219122474260597,7.819541833583881e-06
det_h0-1,105,833.6896593200162,1002.2720715365023,1349.0280428722122,0.00038767019246676253,9.493326425951882e-06
det_h0-2,90,845.7883956557349,1014.2833330153585,1360.786240832831,0.00019991357831404316,9.603922497824241e-06
det_h0-3,45,833.1343510206793,999.9569160214319,1342.046964034559,0.00027988971393492845,8.842285179623188e-06
det_h0-4,30,810.8311327929066,973.269604872051,1308.5258598302191,0.0002666282555094101,7.867312358869753e-06
det_h0-5,15,851.3334079922435,1022.9310317824895,1374.7214693841672,0.00023337134253651989,8.756573224545313e-06
det_h0-6,0,840.2564847890126,1008.9494091338249,1355.084019991963,0.00033683860906462724,1.0759617409930762e-05
det_h0-7,-15,843.4438514536594,1014.1236569938483,1364.4356190978503,0.000232888625668163,8.522410846416789e-06
det_h1-0,-30,831.8004465773079,1000.1387972656776,1345.5267864677517,0.00027509864717658157,8.80654058050186e-06
det_h1-1,-45,840.4372954800017,1010.9908968373891,1361.5046800281295,0.00027221350327790025,8.271725298577102e-06
det_h1-2,-90,847.328655776031,1019.8100427193878,1375.0598578460922,0.00019809262191960582,1.0125743525636253e-05
det_h1-3,-105,828.1222142185542,996.506305576352,1344.8942358599559,0.0003564252928270235,9.514223231970615e-06
det_h1-4,-120,832.3663235054371,1000.8208621716242,1347.1757966646576,0.00036133400446937007,8.790666339057574e-06
