,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
3.9960199999999997,4.197815279780055e-05,0.0,2.4063623138142794e-05,0.0,-1.6561375172575874e-05,0.0,8.403475775558518e-07,0.0,1.8265826094044071e-06,0.0,4.456390957011192e-06
4.00097,3.802552665362528e-05,0.0,2.2804103285302363e-05,0.0,-1.570951543458665e-05,0.0,4.920791375875682e-06,0.0,2.9384187234564465e-06,0.0,1.8611731635745279e-06
4.00294,3.6063572799090206e-05,0.0,2.0309601457240805e-05,0.0,-1.4367274684092873e-05,0.0,-5.943550803811893e-07,0.0,3.6219327664674873e-06,0.0,3.829941532087125e-06
4.00497,3.515876014830148e-05,0.0,2.140055237249575e-05,0.0,-1.4397983170238517e-05,0.0,2.4242986895797738e-06,0.0,-1.3819292449602758e-06,0.0,5.303509582975687e-06
4.00697,3.3348031557231166e-05,0.0,1.8271596652721928e-05,0.0,-1.2132257915169448e-05,0.0,4.674859744555733e-06,0.0,-1.6093024542422989e-06,0.0,8.202656705840344e-06
4.0090900000000005,3.286531853655756e-05,0.0,1.925918232201299e-05,0.0,-1.3321573069662205e-05,0.0,3.849121997814997e-06,0.0,1.6183196521475243e-06,0.0,4.758970472237174e-06
4.01003,3.230244423591038e-05,0.0,2.0249361147268353e-05,0.0,-1.1477418307742203e-05,0.0,3.945529146520428e-06,0.0,1.1129016746977208e-06,0.0,2.0950033350612864e-06
4.01507,3.124321354398289e-05,0.0,1.7584433173556306e-05,0.0,-1.1726402378654182e-05,0.0,2.2484740113314927e-06,0.0,4.061849669731094e-06,0.0,3.7875283587907615e-06
4.0191099999999995,2.7038760666724397e-05,0.0,1.6854742338198444e-05,0.0,-8.62444617333648e-06,0.0,2.0151294019051994e-06,0.0,4.0023596242199415e-06,0.0,6.523145101119162e-07
4.01992,2.346703822225067e-05,0.0,1.1187607280663529e-05,0.0,-6.4745422142445524e-06,0.0,5.646594184929917e-06,0.0,-2.157347046166364e-06,0.0,2.2228436289827323e-06
4.02504,1.560017408669285e-05,0.0,8.098050631254292e-06,0.0,-4.398660242597056e-06,0.0,1.2141153243560194e-06,0.0,2.000848255583776e-06,0.0,2.1141186948730424e-06
4.02998,9.35367879595677e-06,0.0,5.337221459031151e-06,0.0,-1.3861616940773698e-06,0.0,2.1169577259005147e-06,0.0,-9.071669894279584e-08,0.0,2.1459336594444914e-06
4.03514,7.024542271297092e-06,0.0,3.816538312396003e-06,0.0,-3.0978876368627095e-06,0.0,1.0047284565771485e-06,0.0,1.3056397248392097e-06,0.0,2.1551891921707105e-06
4.26996,3.491795071706302e-05,0.0,1.3011156278321428e-05,0.0,-2.676519524839448e-05,0.0,3.4152158316466926e-06,0.0,5.584462029360381e-06,0.0,-1.714280687600069e-06
4.29005,5.39584593395719e-05,0.0,2.1577816485129985e-05,0.0,-2.700410153316961e-05,0.0,7.496178852042537e-06,0.0,-3.899456700722667e-06,0.0,8.293973023192143e-06
4.291119999999999,7.383333022725533e-05,0.0,3.0176183498321583e-05,0.0,-3.6205721903404645e-05,0.0,8.991357241889554e-06,0.0,1.0579175581089186e-07,0.0,1.043796975361072e-05
4.29319,6.936352674360325e-05,0.0,2.7129309755427567e-05,0.0,-3.34673952218749e-05,0.0,9.203799281226443e-06,0.0,-7.953732570146898e-07,0.0,8.053678213705784e-06
4.2942,7.032183172406952e-05,0.0,3.178766334708381e-05,0.0,-3.963130279285883e-05,0.0,7.392841196938229e-06,0.0,-1.663406728566568e-06,0.0,9.898765431455668e-06
4.29515,6.967614284104196e-05,0.0,3.092014127626036e-05,0.0,-3.841594628309227e-05,0.0,9.06936687486619e-06,0.0,-4.328784881184009e-06,0.0,7.793074561281145e-06
4.29615,7.060652397692985e-05,0.0,3.149533714812124e-05,0.0,-4.1943608685008275e-05,0.0,8.118280613589815e-06,0.0,-4.743413893120953e-06,0.0,1.2898395395541645e-05
4.297219999999999,7.566727174273605e-05,0.0,3.648412251493614e-05,0.0,-5.182114861786191e-05,0.0,1.0441671335430644e-05,0.0,-5.1406794506671295e-06,0.0,5.906745127094391e-06
4.298080000000001,0.00010453577270004117,0.0,6.624448049538366e-05,0.0,-0.00012261165002386845,0.0,5.365712936605862e-06,0.0,1.249837651585181e-05,0.0,9.893710760477314e-06
4.2990900000000005,0.00012712315732960725,0.0,8.281569406278855e-05,0.0,-0.00015523274528467208,0.0,3.298249168010018e-06,0.0,-5.065445959516853e-06,0.0,5.393573552674082e-06
4.30105,0.0001580177426396134,0.0,0.00011258591655494034,0.0,-0.0002224218655121791,0.0,9.892208232625327e-06,0.0,-9.69913520580676e-06,0.0,1.4320885806940185e-05
4.3031,0.0001647369347110718,0.0,0.00010871160046566846,0.0,-0.0002322057632488379,0.0,8.490707417358286e-06,0.0,3.552884980994226e-06,0.0,6.252099324154818e-06
4.30523,0.0001515259205914913,0.0,9.630802616781244e-05,0.0,-0.00021701385032211993,0.0,1.3386457974717726e-05,0.0,-5.762786542880078e-06,0.0,2.01133654138555e-05
4.30725,0.00014783434263074068,0.0,9.970685597781993e-05,0.0,-0.00021613123948704762,0.0,2.484271103870574e-06,0.0,1.3842981401482647e-05,0.0,1.6638508029656316e-05
4.3093,0.00014669450728855047,0.0,9.364742244409172e-05,0.0,-0.00020586505936522376,0.0,6.5342933622188925e-06,0.0,-2.845203913038412e-06,0.0,6.119409188899934e-06
4.30996,0.00014781699873410336,0.0,9.611383433589858e-05,0.0,-0.00020775368162135108,0.0,1.1679990283911582e-05,0.0,-1.9042981167819673e-06,0.0,7.393143136327839e-06
4.31117,0.0001406511112340879,0.0,9.395836621321555e-05,0.0,-0.00019714871151823253,0.0,6.930945733104865e-07,0.0,-9.876107547830572e-06,0.0,2.1047103516556536e-05
4.31311,0.00013448145776434034,0.0,8.701018879339748e-05,0.0,-0.00019443798981536763,0.0,5.501118166389295e-06,0.0,-1.678885440576473e-05,0.0,1.6468017362159476e-05
4.31513,0.00012532229963170053,0.0,9.19215695951182e-05,0.0,-0.0001959264751769767,0.0,-4.5277544121213894e-06,0.0,2.2786261537431874e-05,0.0,5.297110708874783e-06
4.3172,0.00012227186826754832,0.0,8.278840730992076e-05,0.0,-0.0001915767584324528,0.0,-2.982535620960457e-06,0.0,8.705390650205756e-06,0.0,1.1633409938316018e-05
4.31917,0.00011243012829244774,0.0,7.227360740647137e-05,0.0,-0.0001780177489659112,0.0,8.772447382077233e-06,0.0,-7.204128372611911e-07,0.0,1.0192482252742207e-05
4.32116,0.00011045462223761152,0.0,7.313205979066281e-05,0.0,-0.00016574449089153828,0.0,8.870369339587652e-06,0.0,9.524255361702415e-06,0.0,-2.1337169492493288e-06
4.32298,9.68208888257332e-05,0.0,6.0533277882599504e-05,0.0,-0.00013837914044850946,0.0,1.623433089112342e-05,0.0,-2.3429878199142485e-05,0.0,2.933348104334187e-06
4.32521,8.449224731314977e-05,0.0,5.310118749934399e-05,0.0,-0.00012859247336120702,0.0,1.136125140970212e-05,0.0,8.91903415842465e-06,0.0,4.29314457509466e-06
4.32711,7.304732655382369e-05,0.0,4.5046012047493566e-05,0.0,-9.568225814580498e-05,0.0,1.0618300497874778e-05,0.0,-3.089601694647303e-06,0.0,4.694173257184473e-06
4.32908,5.90868806419765e-05,0.0,3.640740119598196e-05,0.0,-6.982011661220433e-05,0.0,9.589945960856168e-06,0.0,-3.632620025602132e-06,0.0,-8.784420627285302e-08
4.33012,6.916565039767626e-05,0.0,4.683885316390591e-05,0.0,-9.57426395622909e-05,0.0,9.956604781311205e-06,0.0,-6.530386970152238e-06,0.0,1.017577139966314e-06
4.33119,5.0078911493555306e-05,0.0,2.1766625298497234e-05,0.0,-4.5207462858844096e-05,0.0,1.059368304205147e-05,0.0,-5.326028804080397e-06,0.0,4.064215192435735e-07
4.33324,5.236027161577396e-05,0.0,2.256528071193895e-05,0.0,-3.48869564065395e-05,0.0,5.73185243880968e-06,0.0,-1.6687441849856643e-06,0.0,5.48894475550202e-06
4.33515,5.0576968296823777e-05,0.0,2.1066403551731753e-05,0.0,-3.1529936143231025e-05,0.0,8.497544024671857e-06,0.0,-3.09875981173267e-07,0.0,3.489002163885182e-06
4.34004,4.489498710697187e-05,0.0,1.6170442237894738e-05,0.0,-2.1562754102261394e-05,0.0,7.897295910769996e-06,0.0,-3.350465109955244e-06,0.0,6.7355443653398856e-06
4.34488,4.2281561878660485e-05,0.0,1.4724910936553111e-05,0.0,-1.88714060201189e-05,0.0,3.570567962906614e-06,0.0,-5.249238357450232e-07,0.0,3.0810513382781405e-06
4.34998,4.1445028876104524e-05,0.0,1.3153794116513916e-05,0.0,-1.873873571565787e-05,0.0,2.8351012554313894e-06,0.0,1.4738549965865496e-06,0.0,3.604536624151553e-06
4.37005,3.5101937789944585e-05,0.0,6.365700522960708e-06,0.0,-1.4805674955658882e-05,0.0,1.0983985009402595e-05,0.0,-1.559584169735932e-06,0.0,1.4489149906383082e-07
4.39015,3.490021048971143e-05,0.0,6.897542584843167e-06,0.0,-1.2995218549724054e-05,0.0,9.257343210788268e-06,0.0,-5.176483182219594e-06,0.0,5.151183997006483e-06
4.41003,3.832849233521419e-05,0.0,6.60234916892053e-06,0.0,-1.6555640204545206e-05,0.0,4.852608689529016e-06,0.0,-4.397361321519908e-06,0.0,1.0237733997914185e-05
4.42024,3.9161101334979016e-05,0.0,8.870459551907456e-06,0.0,-1.2565624450697301e-05,0.0,8.64580209165709e-06,0.0,-5.210628605077923e-06,0.0,3.218094921257358e-06
4.43018,3.924160880814707e-05,0.0,1.0765856324132822e-05,0.0,-1.71259500662747e-05,0.0,8.812533623747526e-06,0.0,-2.5017910894732056e-06,0.0,1.4484905706987542e-06
4.44004,3.374124672919894e-05,0.0,1.3425851708185496e-05,0.0,-2.2060139899525865e-05,0.0,1.5185565797539753e-05,0.0,-3.2457315235790057e-06,0.0,-1.300216666284425e-06
4.44994,3.450401991754957e-05,0.0,1.4763119664986939e-05,0.0,-2.571980892258823e-05,0.0,1.5339768865547072e-05,0.0,-2.7076337932556047e-06,0.0,4.491337920437008e-06
4.4549900000000004,1.9722446151476564e-05,0.0,1.0126379099271471e-05,0.0,-1.4144541292558738e-05,0.0,2.7066676139825286e-06,0.0,5.067786693954947e-06,0.0,2.3045699935832875e-06
