,a0,a1,a2
3.9960199999999997,4.3336160845108655e-05,0.0,1.5451570620376296e-05
4.00097,3.879082810846205e-05,0.0,1.6595575362763136e-05
4.00294,3.653938252569165e-05,0.0,1.408504869758005e-05
4.00497,3.552459773097394e-05,0.0,1.5115776042699122e-05
4.00697,3.335050824876673e-05,0.0,1.5743638404920882e-05
4.0090900000000005,3.27347052866779e-05,0.0,1.5862165227425835e-05
4.01003,3.223051350776663e-05,0.0,1.6481371450476907e-05
4.01507,3.133161629261397e-05,0.0,1.481914539461797e-05
4.0191099999999995,2.7179575483051168e-05,0.0,1.4255227654028827e-05
4.01992,2.2929449774354795e-05,0.0,1.0561542930218934e-05
4.02504,1.5367937760056267e-05,0.0,7.846664570142444e-06
4.02998,9.164736667255158e-06,0.0,6.450466648073166e-06
4.03514,6.852537416896355e-06,0.0,3.954300821966756e-06
4.26996,3.735849562208056e-05,0.0,1.5841703020686417e-06
4.29005,5.537559629841982e-05,0.0,1.0048188720369335e-05
4.291119999999999,7.593334895382605e-05,0.0,1.566478597286642e-05
4.29319,7.096839978533921e-05,0.0,1.3608454125583215e-05
4.2942,7.299739528698569e-05,0.0,1.3939212368241814e-05
4.29515,7.140848247289657e-05,0.0,1.4238271212132137e-05
4.29615,7.2909202393328e-05,0.0,1.3759338151910314e-05
4.297219999999999,7.799657663524405e-05,0.0,1.4377361108885396e-05
4.298080000000001,0.00012188412715668804,0.0,1.0696186173436285e-05
4.2990900000000005,0.00014176586308369826,0.0,2.6876762034990917e-05
4.30105,0.0001961862901790058,0.0,1.1537086888398357e-05
4.3031,0.0002034396221189081,0.0,1.4727814229675382e-05
4.30523,0.00018472061121410427,0.0,1.2878409754241663e-05
4.30725,0.00017452848621666008,0.0,2.412000508441689e-05
4.3093,0.0001640059920175783,0.0,4.427344774520653e-05
4.30996,0.00017743711547604842,0.0,2.3498255355936365e-05
4.31117,0.00015804876516905818,0.0,4.762395752955765e-05
4.31311,0.00016112003607688782,0.0,2.6837245795513917e-05
4.31513,0.00015431259238222745,0.0,2.9825519094424193e-05
4.3172,0.0001551790908320593,0.0,1.5932196437130494e-05
4.31917,0.00013761864920430316,0.0,1.006854001721254e-05
4.32116,0.00012816228748068826,0.0,2.7787846445559643e-05
4.32298,0.00011312074051363415,0.0,1.7832152956351975e-05
4.32521,9.928388421094809e-05,0.0,1.906606630541399e-05
4.32711,8.199958492549809e-05,0.0,1.3071926708013284e-05
4.32908,6.434176071782528e-05,0.0,1.2995418375961818e-05
4.33012,8.174248413452081e-05,0.0,7.931779048231945e-06
4.33119,5.253239865333819e-05,0.0,5.835343938401526e-06
4.33324,5.298085796616424e-05,0.0,9.90652839390042e-06
4.33515,5.1905087546033396e-05,0.0,8.646137309479933e-06
4.34004,4.4673167702836505e-05,0.0,9.575040791973852e-06
4.34488,4.2194157749507565e-05,0.0,7.780503389321755e-06
4.34998,4.1561369621176206e-05,0.0,6.5914342776129095e-06
4.37005,3.473131182643138e-05,0.0,3.388453319301576e-06
4.39015,3.4277650643437806e-05,0.0,4.710605884876081e-06
