,a0,a1,a2,a3,a4
3.9960199999999997,4.217277038300692e-05,0.0,2.4745016790690093e-05,0.0,-1.3396236898192366e-05
4.00097,3.8236513417955216e-05,0.0,2.3548672081835716e-05,0.0,-1.041752252557418e-05
4.00294,3.630279561329693e-05,0.0,2.1067148609559683e-05,0.0,-1.1809242597122915e-05
4.00497,3.504299241732996e-05,0.0,2.2356868764755906e-05,0.0,-1.16494436917526e-05
4.00697,3.318788135046748e-05,0.0,2.0015904331065125e-05,0.0,-6.723859311371485e-06
4.0090900000000005,3.2793244671603727e-05,0.0,2.0795653482581656e-05,0.0,-8.640670530183195e-06
4.01003,3.223685473481085e-05,0.0,2.1087657689627155e-05,0.0,-7.836488861349313e-06
4.01507,3.1400960854082976e-05,0.0,1.8958465008993077e-05,0.0,-7.071926216262043e-06
4.0191099999999995,2.7200326453051224e-05,0.0,1.7376740715707447e-05,0.0,-5.193357486917025e-06
4.01992,2.3111114335324628e-05,0.0,1.2510102079686056e-05,0.0,-3.7430182103485204e-06
4.02504,1.555567074949715e-05,0.0,8.89176441699383e-06,0.0,-2.24012362403512e-06
4.02998,9.11857352808865e-06,0.0,6.253080490242948e-06,0.0,4.167321617159228e-07
4.03514,6.960263065542326e-06,0.0,4.642352021585111e-06,0.0,-1.477307417729897e-06
4.26996,3.543066768501492e-05,0.0,1.3244925221624152e-05,0.0,-2.392873133861065e-05
4.29005,5.406521702337102e-05,0.0,2.2862511507525154e-05,0.0,-2.1271502861443326e-05
4.291119999999999,7.4240424029468e-05,0.0,3.240378744614657e-05,0.0,-2.700858178929278e-05
4.29319,6.964476762885546e-05,0.0,2.8877638794786556e-05,0.0,-2.5585121049954355e-05
4.2942,7.06037412303461e-05,0.0,3.343237789589615e-05,0.0,-3.253731185715781e-05
4.29515,6.959273806698395e-05,0.0,3.247770710916315e-05,0.0,-3.258973559854777e-05
4.29615,7.059450312812645e-05,0.0,3.3784664230888195e-05,0.0,-3.507479737176763e-05
4.297219999999999,7.544161344151301e-05,0.0,3.7820274610275634e-05,0.0,-4.684130455044549e-05
4.298080000000001,0.00010573360956206586,0.0,6.802435482256621e-05,0.0,-0.00011587392221987191
4.2990900000000005,0.00012658515433193004,0.0,8.387200515775474e-05,0.0,-0.00015459523815138375
4.30105,0.0001582594061954933,0.0,0.00011224943164583393,0.0,-0.00021717621940772254
4.3031,0.00016527722679334755,0.0,0.000108263992041607,0.0,-0.0002282840829718286
4.30523,0.00015213916850504876,0.0,9.668147002712564e-05,0.0,-0.00020934663130912248
4.30725,0.00014875294520972477,0.0,0.00010216658051737284,0.0,-0.00021257888272411762
4.3093,0.00014611562656702395,0.0,9.498101504511263e-05,0.0,-0.0002043092542908438
4.30996,0.00014789504797753651,0.0,9.607051629521797e-05,0.0,-0.0002034335775365561
4.31117,0.0001393460294019094,0.0,9.778348814384155e-05,0.0,-0.0001977890857853396
4.31311,0.00013387986380629548,0.0,8.812633870034356e-05,0.0,-0.000192243582593001
4.31513,0.0001266409792088662,0.0,9.247513280106427e-05,0.0,-0.0001971903666139991
4.3172,0.00012254217063416335,0.0,8.455646305467975e-05,0.0,-0.00019243823088169163
4.31917,0.0001124339961056647,0.0,7.296299551057485e-05,0.0,-0.0001744422173812841
4.32116,0.0001110569255600208,0.0,7.241029185158823e-05,0.0,-0.00016279930527285082
4.32298,9.616638244813172e-05,0.0,5.9785322663195077e-05,0.0,-0.00013444338830360359
4.32521,8.505654821633587e-05,0.0,5.3223087432033003e-05,0.0,-0.00012492125298171615
