,a0,a1,a2,a3,a4,a5,a6
3.9960199999999997,4.209757818225585e-05,0.0,2.467975353886778e-05,0.0,-1.6521839230611982e-05,0.0,4.533790964376748e-06
4.00097,3.822583603505858e-05,0.0,2.2984303738852763e-05,0.0,-1.560230470482743e-05,0.0,7.985522457032477e-06
4.00294,3.6427079246132255e-05,0.0,2.0579827272168416e-05,0.0,-1.4167771274276752e-05,0.0,3.8913235686280074e-06
4.00497,3.5098073208556474e-05,0.0,2.205421092340691e-05,0.0,-1.4384992206047502e-05,0.0,4.257685839472262e-06
4.00697,3.327196049470238e-05,0.0,1.929420680526269e-05,0.0,-1.1946813353573671e-05,0.0,8.032129072954444e-06
4.0090900000000005,3.303191052147425e-05,0.0,1.9723278245418867e-05,0.0,-1.306473382745367e-05,0.0,7.443962973786963e-06
4.01003,3.2410259493118436e-05,0.0,2.038305093429033e-05,0.0,-1.1429716361414275e-05,0.0,5.866090591138865e-06
4.01507,3.1651917724431475e-05,0.0,1.780805462735708e-05,0.0,-1.1271481844000966e-05,0.0,7.029835024409847e-06
4.0191099999999995,2.740583020436293e-05,0.0,1.6626927925826875e-05,0.0,-8.309753075147143e-06,0.0,5.104987202879974e-06
4.01992,2.330618386338255e-05,0.0,1.1562339247239345e-05,0.0,-6.756176493221668e-06,0.0,5.529975073903696e-06
4.02504,1.58114803243909e-05,0.0,8.07061387004186e-06,0.0,-4.088855334178903e-06,0.0,3.5540228306582736e-06
4.02998,9.360292900995492e-06,0.0,5.493194557475377e-06,0.0,-1.386152640923773e-06,0.0,3.310758221633042e-06
4.03514,7.148578060706006e-06,0.0,3.919766008509155e-06,0.0,-2.8434857928929405e-06,0.0,2.8437064832150052e-06
4.26996,3.5278579854011286e-05,0.0,1.2982065095185116e-05,0.0,-2.663572274351045e-05,0.0,5.6111786473151605e-06
4.29005,5.377533620126173e-05,0.0,2.2597883372403103e-05,0.0,-2.6512726244179347e-05,0.0,8.655296435553529e-06
4.291119999999999,7.381284053157763e-05,0.0,3.1750827460628004e-05,0.0,-3.5372580483335295e-05,0.0,1.3723611177305446e-05
4.29319,6.932480713250611e-05,0.0,2.8209472337934303e-05,0.0,-3.289020484825993e-05,0.0,1.2270832718580604e-05
4.2942,7.025524209127754e-05,0.0,3.318205489628781e-05,0.0,-3.8917990145440505e-05,0.0,1.0536363383670689e-05
4.29515,6.942138535531515e-05,0.0,3.1992207139402935e-05,0.0,-3.8163171835725526e-05,0.0,9.73240426174481e-06
4.29615,7.03407350817817e-05,0.0,3.3348074544711705e-05,0.0,-4.123885609040157e-05,0.0,1.0599954706238693e-05
4.297219999999999,7.532769810987359e-05,0.0,3.7276013348856634e-05,0.0,-5.185259229766462e-05,0.0,9.825992195611096e-06
4.298080000000001,0.00010513674906131385,0.0,6.872423212277077e-05,0.0,-0.0001231045703064801,0.0,1.4556005999244413e-05
4.2990900000000005,0.0001265936199853912,0.0,8.387394195565459e-05,0.0,-0.0001554219271627097,0.0,2.2535952338621325e-06
4.30105,0.00015775972727429506,0.0,0.00011354169771236098,0.0,-0.0002206470358577705,0.0,7.204108181960278e-06
4.3031,0.00016473663589652702,0.0,0.0001098413272996751,0.0,-0.00023272752504387847,0.0,1.0801414941820865e-05
4.30523,0.0001513820704029586,0.0,9.857824044420174e-05,0.0,-0.0002154440003585143,0.0,1.3938171042550235e-05
4.30725,0.0001485693273258426,0.0,0.00010259973751329505,0.0,-0.00021718556974618591,0.0,1.1657797572434177e-05
4.3093,0.00014626855032596003,0.0,9.4919565723012e-05,0.0,-0.00020609939495713357,0.0,6.545695398593331e-06
4.30996,0.00014755558433050914,0.0,9.724581459752201e-05,0.0,-0.0002077142753890649,0.0,1.1902705609828674e-05
4.31117,0.00013935074138993864,0.0,9.778651833162037e-05,0.0,-0.00019784880608314818,0.0,2.1289140313468327e-07
4.31311,0.00013387268739573207,0.0,8.816203377089157e-05,0.0,-0.00019232700188764407,0.0,2.4712251796123525e-07
4.31513,0.00012660583020256897,0.0,9.283296402245824e-05,0.0,-0.00019875055899446487,0.0,4.686951751308582e-06
4.3172,0.00012243446147337504,0.0,8.49262163188669e-05,0.0,-0.00019324153850581186,0.0,1.9887689152184836e-06
4.31917,0.0001121667201768632,0.0,7.392296391231718e-05,0.0,-0.00017808737320409155,0.0,9.937516385346858e-06
4.32116,0.00011107795423469573,0.0,7.277829103146103e-05,0.0,-0.00016620235793292313,0.0,1.167245177836664e-05
4.32298,9.59870216448778e-05,0.0,6.07160708805661e-05,0.0,-0.000136958850815047,0.0,7.688932507232732e-06
4.32521,8.493667431092619e-05,0.0,5.385283650847984e-05,0.0,-0.0001293150881079084,0.0,1.4649226616395425e-05
4.32711,7.278674279758935e-05,0.0,4.575651871844763e-05,0.0,-9.562089289074987e-05,0.0,1.0292806358011295e-05
4.32908,5.8864592289618254e-05,0.0,3.639863122973573e-05,0.0,-6.9869226024145e-05,0.0,8.114573015804034e-06
4.33012,6.884146234947335e-05,0.0,4.6813490663494366e-05,0.0,-9.533137861629728e-05,0.0,7.403236631140759e-06
4.33119,4.9752041561518666e-05,0.0,2.1840425046463976e-05,0.0,-4.557657409217215e-05,0.0,8.430236569688385e-06
4.33324,5.220410858391744e-05,0.0,2.3432463699582504e-05,0.0,-3.482701586175285e-05,0.0,6.95199492039722e-06
4.33515,5.0530269994432857e-05,0.0,2.1602569035539718e-05,0.0,-3.135713061721036e-05,0.0,9.691327080709274e-06
4.34004,4.467322447022302e-05,0.0,1.7109060951442175e-05,0.0,-2.1507282805015984e-05,0.0,9.010146349466617e-06
4.34488,4.222842807911332e-05,0.0,1.5174405967075304e-05,0.0,-1.8748939853495964e-05,0.0,4.579895901475547e-06
4.34998,4.152190147484629e-05,0.0,1.3683680561698887e-05,0.0,-1.8256426073150366e-05,0.0,5.141591364298451e-06
4.37005,3.500224469877041e-05,0.0,6.39775212207677e-06,0.0,-1.50964972275582e-05,0.0,1.0312965277177e-05
4.39015,3.457260621531587e-05,0.0,7.671333125453929e-06,0.0,-1.3445854499954628e-05,0.0,8.818668522027896e-06
4.41003,3.804747412080663e-05,0.0,8.069164186479904e-06,0.0,-1.6427204848859088e-05,0.0,6.9750202763340524e-06
4.42024,3.876837320342208e-05,0.0,9.567980416830183e-06,0.0,-1.3487600024296284e-05,0.0,7.558796788889115e-06
4.43018,3.905176357846747e-05,0.0,1.1060481934362246e-05,0.0,-1.747553957577227e-05,0.0,8.18750263241498e-06
4.44004,3.354506506189556e-05,0.0,1.3482737895235644e-05,0.0,-2.2824993762146043e-05,0.0,1.3322273917587499e-05
4.44994,3.43518082152498e-05,0.0,1.5171429946402483e-05,0.0,-2.562821532001817e-05,0.0,1.5635573767660355e-05
4.4549900000000004,2.04102528523307e-05,0.0,9.874881830094244e-06,0.0,-1.3611859800113436e-05,0.0,6.343087311129429e-06
4.46012,2.1165835769770795e-05,0.0,6.078582773931466e-06,0.0,-1.1659476731295907e-05,0.0,2.8462709708827037e-06
4.4699599999999995,2.1572520067618652e-05,0.0,7.74746376177337e-06,0.0,-1.4968884312054705e-05,0.0,1.262359768460603e-05
4.4779800000000005,3.075632662461697e-05,0.0,1.963393106857727e-05,0.0,-2.983996287797059e-05,0.0,-1.1996588376948163e-07
4.48613,3.8186639059424055e-05,0.0,2.5134719294434748e-05,0.0,-2.6413756792438666e-05,0.0,8.983941012108329e-06
4.48819,4.4467335861212797e-05,0.0,2.361101748754471e-05,0.0,-3.302136446460538e-05,0.0,1.1728231136746199e-05
4.490069999999999,4.3035168478490345e-05,0.0,2.7997385774588597e-05,0.0,-3.011801105050511e-05,0.0,9.96142252853918e-06
4.49222,4.8998700917091946e-05,0.0,2.570453276336549e-05,0.0,-2.915229403325359e-05,0.0,1.1143547428842977e-05
4.4949900000000005,5.4522386850198994e-05,0.0,2.801717935396304e-05,0.0,-3.089431620569378e-05,0.0,1.304131406102024e-05
4.499969999999999,5.810745356957233e-05,0.0,2.9969666903900004e-05,0.0,-3.353552241050413e-05,0.0,8.928024565584806e-06
4.51021,6.410955545200262e-05,0.0,3.3197521278455243e-05,0.0,-3.6743088557344153e-05,0.0,1.017840860458694e-05
4.51218,7.48551282827546e-05,0.0,3.998075615155795e-05,0.0,-5.4480644869937045e-05,0.0,1.2315769413080369e-05
4.51508,7.485653155832237e-05,0.0,5.014246786688335e-05,0.0,-6.738215148864563e-05,0.0,6.6747525113463105e-06
4.52007,6.79857174167883e-05,0.0,3.6773364366778294e-05,0.0,-6.50452243515158e-05,0.0,7.109512916740873e-06
4.52524,6.805776703034664e-05,0.0,3.5106698982811165e-05,0.0,-7.63120152201527e-05,0.0,1.529416386536139e-05
4.5294099999999995,6.742756149125412e-05,0.0,4.4816506802453336e-05,0.0,-7.633897339019902e-05,0.0,6.329010933234218e-06
4.53506,5.935065867848423e-05,0.0,2.8558798673514612e-05,0.0,-7.426731607747646e-05,0.0,1.4037737945297211e-05
4.54024,4.3433148670878664e-05,0.0,1.8656415471473918e-05,0.0,-4.4197993182576244e-05,0.0,9.56302671759732e-06
4.5498,5.54267737942357e-05,0.0,2.306549512859217e-05,0.0,-5.203293177374338e-05,0.0,1.936544964864709e-05
4.56018,2.122872376125321e-05,0.0,6.635894004328783e-06,0.0,-2.269737312726914e-05,0.0,1.101464343411363e-05
4.570130000000001,1.6615487442779726e-05,0.0,1.1471160983190546e-05,0.0,-1.17395559943167e-05,0.0,1.2846113488447788e-06
4.580030000000001,2.3823680427085625e-05,0.0,6.578829610559262e-06,0.0,-1.351690605223405e-05,0.0,1.239095101063617e-06
4.59008,5.122607064310675e-05,0.0,3.263470026731183e-05,0.0,-6.518790550980577e-05,0.0,1.221854334139589e-05
4.60027,0.00014532902486305907,0.0,0.00010768218017042039,0.0,-0.00022210232232855754,0.0,-4.681458863207725e-06
4.60999,0.0004279926568870602,0.0,0.00030460109233077865,0.0,-0.000715275669387961,0.0,2.9015236234735135e-05
4.62023,0.0004741792196959384,0.0,0.00034640672275909276,0.0,-0.0008480275592829544,0.0,2.983015775934848e-05
4.62994,0.0003615307043596517,0.0,0.00027327381354264274,0.0,-0.0006207329845157461,0.0,-2.048171379924697e-05
4.63517,0.00019223715455104218,0.0,0.00012660614509037,0.0,-0.00029813051159702193,0.0,1.2588738671620599e-05
4.639959999999999,0.00017309655704423818,0.0,0.00010434436671728333,0.0,-0.00019330665260613585,0.0,2.3056394450263882e-05
4.64996,0.00020102841617784483,0.0,0.00012418113795375439,0.0,-0.00023843997533318397,0.0,1.4838429628035135e-05
4.67012,0.00021571882748948812,0.0,0.00010264695697237011,0.0,-0.00025136533611813623,0.0,1.2490674696354832e-05
4.68015,0.00014835738668046128,0.0,6.108114876127086e-05,0.0,-0.0001323526884793336,0.0,3.2553449919968653e-06
4.68993,0.00010456101612215255,0.0,5.117337244669196e-05,0.0,-9.537006692717237e-05,0.0,1.3529990418892143e-05
4.71002,8.896442704336973e-05,0.0,4.217573445780252e-05,0.0,-6.183742841011761e-05,0.0,7.914764353939706e-06
4.73,9.707933063883159e-05,0.0,4.858543292280944e-05,0.0,-7.226578282658406e-05,0.0,8.203757758768421e-06
4.75,0.00015785434543049004,0.0,7.895672363574233e-05,0.0,-0.0001420718263935338,0.0,1.1714066256145376e-05
4.75518,0.00032451835783736926,0.0,0.00017217156731074625,0.0,-0.0003722841146296148,0.0,1.358692584944242e-05
4.75888,0.00033036365761260057,0.0,0.00016915087693982394,0.0,-0.0003607979590525193,0.0,1.1024090536176204e-05
4.77004,0.00031407880154676356,0.0,0.00016320371590975065,0.0,-0.00031475604063309717,0.0,2.1320821590840445e-05
4.77502,0.00025027919112613386,0.0,0.0001268753908695943,0.0,-0.00021480427093092196,0.0,1.899170760634013e-05
4.7801800000000005,0.00017550356481239366,0.0,0.0001000074684895337,0.0,-0.0001326891205979487,0.0,2.8377796515025492e-05
4.79012,0.0002766318012302784,0.0,0.00013632636683475234,0.0,-0.00012295031623465005,0.0,4.4405023219021384e-05
4.799919999999999,0.0005799301578283429,0.0,0.000293194927593382,0.0,-0.000197427899446688,0.0,4.565855865277316e-05
4.81003,0.0005082597425314703,0.0,0.000257179823898688,0.0,-0.0001559055267819297,0.0,6.864363864490863e-05
4.8121599999999995,0.0003369705600676362,0.0,0.00017874948198091096,0.0,-0.00010693290756424004,0.0,4.860303207788844e-05
4.81527,0.00021399663847423663,0.0,9.654434486286572e-05,0.0,-5.0688754789005955e-05,0.0,3.724474720860722e-05
4.82006,0.00010466494688097349,0.0,4.2857313187881465e-05,0.0,-1.9204655969432596e-05,0.0,2.262905306282493e-05
4.82989,7.613233092085908e-05,0.0,2.518637132866039e-05,0.0,-1.1884273216184347e-05,0.0,9.57094538281424e-06
4.85003,8.045670805305463e-05,0.0,2.2442072653637887e-05,0.0,-2.3423669203521146e-05,0.0,1.5138887892780271e-05
4.86629,8.617040282848816e-05,0.0,2.1635530623601585e-05,0.0,-2.8402193400633534e-05,0.0,2.0141497823986436e-05
4.88989,9.25860787106039e-05,0.0,3.40590484059384e-05,0.0,-3.2588397283415963e-05,0.0,1.5735178563331426e-05
4.89991,9.827170220552533e-05,0.0,3.8547932105184455e-05,0.0,-3.285570032669538e-05,0.0,1.3152445941066436e-05
4.9101300000000005,9.84283990418844e-05,0.0,4.585987681826036e-05,0.0,-3.6788317250734324e-05,0.0,1.629749488786907e-05
