,a0,a1,a2,a3,a4,a5,a6,a7,a8
3.9960199999999997,4.1817059944318995e-05,0.0,2.459264044818481e-05,0.0,-1.6461257881250788e-05,0.0,9.62901079680085e-07,0.0,4.928656757356762e-06
4.00097,3.793773021008445e-05,0.0,2.303889770757345e-05,0.0,-1.573633556402045e-05,0.0,5.0430129234397975e-06,0.0,4.2385514826704295e-06
4.00294,3.5875480362346015e-05,0.0,2.0887781285249646e-05,0.0,-1.4525131680623026e-05,0.0,-1.5948508881165493e-07,0.0,6.065781336709962e-06
4.00497,3.4953801079217435e-05,0.0,2.2100871345935717e-05,0.0,-1.4464276254071506e-05,0.0,2.8220774252658652e-06,0.0,2.094588946090987e-06
4.00697,3.3023196878734045e-05,0.0,1.9381137064613792e-05,0.0,-1.2244555352232749e-05,0.0,5.41428123947147e-06,0.0,3.860202584094959e-06
4.0090900000000005,3.265620405004624e-05,0.0,1.9942284252648634e-05,0.0,-1.351673187847775e-05,0.0,4.4993044499587505e-06,0.0,4.591506851607053e-06
4.01003,3.2228662658492576e-05,0.0,2.047774283944192e-05,0.0,-1.1561699004034647e-05,0.0,4.2043474628084355e-06,0.0,2.471377212381429e-06
4.01507,3.105989993264677e-05,0.0,1.8148141460927736e-05,0.0,-1.190705059131402e-05,0.0,2.8135364077627873e-06,0.0,6.464029097282772e-06
4.0191099999999995,2.7002719567396922e-05,0.0,1.6950395262573413e-05,0.0,-8.6690461551578e-06,0.0,2.0956416946124795e-06,0.0,4.443417589552561e-06
4.01992,2.3358644875183844e-05,0.0,1.1506793245105304e-05,0.0,-6.620422823602302e-06,0.0,5.985042542981233e-06,0.0,-7.846589812950129e-07
4.02504,1.5488163049739923e-05,0.0,8.424482734122239e-06,0.0,-4.622490777337192e-06,0.0,1.6491996624723137e-06,0.0,3.2486645473798347e-06
4.02998,9.268123137505819e-06,0.0,5.620771994896435e-06,0.0,-1.6234026097440194e-06,0.0,2.6111166007663945e-06,0.0,1.1836386089609346e-06
4.03514,6.8450073455579325e-06,0.0,4.250774406532596e-06,0.0,-3.34498811468851e-06,0.0,1.36394889285099e-06,0.0,2.658858835692552e-06
4.26996,3.498562500652071e-05,0.0,1.2768688140586821e-05,0.0,-2.6821840569213626e-05,0.0,3.30650333797541e-06,0.0,4.677811114337412e-06
4.29005,5.372689746702435e-05,0.0,2.254349059547894e-05,0.0,-2.658273964687736e-05,0.0,7.921849761251837e-06,0.0,1.2059279615802214e-06
4.291119999999999,7.348879421709545e-05,0.0,3.146920775147108e-05,0.0,-3.5760889239590074e-05,0.0,9.648749387864996e-06,0.0,6.62307930558291e-06
4.29319,6.913063707331984e-05,0.0,2.8042459093396647e-05,0.0,-3.313397944920438e-05,0.0,9.759585389033118e-06,0.0,4.1425357984757625e-06
4.2942,7.006162383606926e-05,0.0,3.2953752979049956e-05,0.0,-3.90653836461493e-05,0.0,7.88216528381694e-06,0.0,4.318528590478346e-06
4.29515,6.940968090733346e-05,0.0,3.198742184829649e-05,0.0,-3.81778949385597e-05,0.0,9.603443310982147e-06,0.0,2.1987661840975539e-07
4.29615,7.019368924596641e-05,0.0,3.3249266999592316e-05,0.0,-4.139232796772911e-05,0.0,8.949118860108057e-06,0.0,2.7840311658799993e-06
4.297219999999999,7.5438719314196e-05,0.0,3.729741264305135e-05,0.0,-5.173609435141833e-05,0.0,1.084468982524085e-05,0.0,-1.9144529082618783e-06
4.298080000000001,0.00010417695570575355,0.0,6.762011968791953e-05,0.0,-0.0001221238595859305,0.0,5.4076231662419635e-06,0.0,1.7596796709126913e-05
4.2990900000000005,0.00012679644189224907,0.0,8.377291757683654e-05,0.0,-0.00015541534335273348,0.0,3.362953554551173e-06,0.0,-2.7332323193303966e-06
4.30105,0.00015779508859528122,0.0,0.00011384075832859665,0.0,-0.00022109314467318156,0.0,8.65060383300704e-06,0.0,-2.8556705652430594e-06
4.3031,0.0001645398553479244,0.0,0.00010944838764053202,0.0,-0.0002319180746167669,0.0,8.093816740109172e-06,0.0,6.2623015956560974e-06
4.30523,0.00015130531711504865,0.0,9.823929425418629e-05,0.0,-0.00021501772203263715,0.0,1.2366387588748653e-05,0.0,3.3254340604553974e-06
4.30725,0.00014735063880304004,0.0,0.00010179638842716797,0.0,-0.00021565131297767606,0.0,2.6257324940728593e-06,0.0,2.0862299028627537e-05
