,0,a0err,Pval,Order
3.9960199999999997,4.196243976244959e-05,1.0174463467106973e-06,0.41202094027161695,4
4.00097,3.807620100579928e-05,1.000571898364255e-06,0.09079641319387936,4
4.00294,3.6072324204411936e-05,9.71477945362566e-07,0.40492141246183483,4
4.00497,3.5130515060457335e-05,9.82909666741255e-07,0.20876770079110699,4
4.00697,3.323066209910652e-05,9.352795322005458e-07,0.008235211125858708,4
4.0090900000000005,3.288884169583444e-05,9.967107137096568e-07,0.08764572868772134,4
4.01003,3.223724122167169e-05,9.879290405035274e-07,0.12202857063457835,4
4.01507,3.1274780098074075e-05,8.896902101119312e-07,0.07271210284307282,4
4.0191099999999995,2.7125465520992945e-05,7.780256841980674e-07,0.31449290944151914,4
4.01992,2.3398430363879365e-05,7.653193948928013e-07,0.08051580072310387,4
4.02504,1.5661700822336312e-05,6.163967321246378e-07,0.2286429790973048,4
4.02998,9.39952208815263e-06,4.1874806717087496e-07,0.16203278814008937,2
4.03514,6.839862626195486e-06,3.5676298739877317e-07,0.0026826835035800548,4
4.26996,3.469606843436597e-05,9.377727585230742e-07,0.17616764825271658,4
4.29005,5.343162756477133e-05,1.3447521408317978e-06,0.0275966632901939,4
4.291119999999999,7.324954787750102e-05,1.8360953425252713e-06,0.02588849200923155,4
4.29319,6.885830133304613e-05,1.7400618943734788e-06,0.03983496184325408,4
4.2942,6.981738941036619e-05,1.8137337430929316e-06,0.05424391628328036,4
4.29515,6.922211860037839e-05,1.8298277285955754e-06,0.12346472954441083,4
4.29615,7.000618409609051e-05,1.904283146682837e-06,0.024822857774635335,4
4.297219999999999,7.545879413419056e-05,2.140387600681147e-06,0.11669061540586424,4
4.298080000000001,0.00010389646812952378,3.5190756350239394e-06,0.11544590458290634,4
4.2990900000000005,0.00012644459810600106,4.538463024267826e-06,0.9635040026706334,4
4.30105,0.0001563571592586568,5.902961201989461e-06,0.5547737160305962,4
4.3031,0.00016343280900119452,5.745898340913563e-06,0.7407012915670065,4
4.30523,0.00014924098381108113,5.584026701695739e-06,0.1473744058839891,4
4.30725,0.00014685487435341966,5.693315372440846e-06,0.3635610144248154,4
4.3093,0.00014546928792847985,5.590236763969277e-06,0.8483588529926858,4
4.30996,0.00014687319568856345,5.376446100688579e-06,0.6895495460261528,4
4.31117,0.00014059606537534933,5.272878406910776e-06,0.5283821265363583,4
4.31311,0.00013357302122172235,5.193992010503696e-06,0.5824723113136028,4
4.31513,0.0001250087703900519,5.074392660534626e-06,0.8120427407654414,4
4.3172,0.00012063022478711803,4.781555441698452e-06,0.5662682152623959,4
4.31917,0.00011024055809293783,4.6911647053516324e-06,0.2360931217411122,4
4.32116,0.00011007573791741811,4.490546847709426e-06,0.8896570447469238,4
4.32298,9.469190340210884e-05,3.8585255515538634e-06,0.2889021967370443,4
4.32521,8.359622625159593e-05,3.2903848670111606e-06,0.24210889559767207,4
4.32711,7.268138442407251e-05,2.714934260598558e-06,0.37466301088630105,4
4.32908,5.891715506708798e-05,2.12925460390307e-06,0.6204920977044996,4
4.33012,6.924254414309645e-05,2.664208189138261e-06,0.6042207093459816,4
4.33119,4.948451467064797e-05,1.7723369619409076e-06,0.3763657201761542,4
4.33324,5.214969613008913e-05,1.587614804076673e-06,0.2675019721789492,4
4.33515,5.0193421333363596e-05,1.4495957742311119e-06,0.09874959106711488,4
4.34004,4.4578188516894456e-05,1.2516255707734495e-06,0.020551961857430762,4
4.34488,4.212684158525063e-05,1.1963301518740915e-06,0.5414427087655327,4
4.34998,4.108716456262639e-05,1.1332888136224045e-06,0.14826069014848803,4
4.37005,3.446380050034004e-05,1.0063611176397266e-06,0.004308385731117941,4
4.39015,3.42622039487366e-05,1.0319303508414402e-06,0.002823779618605028,4
4.41003,3.780255745940953e-05,1.135431929167188e-06,0.001141327174541286,4
4.42024,3.8753444336845096e-05,1.2555963891963575e-06,0.10684916011109392,4
4.43018,3.9002931121461364e-05,1.2521426629024099e-06,0.14875830061539216,4
4.44004,3.3528001916198016e-05,1.7618923373453915e-06,0.09283237131224448,4
4.44994,3.349238851338111e-05,1.917025049077288e-06,0.008536385085592107,4
4.4549900000000004,1.997511949454252e-05,2.9265958686575075e-06,0.8871330067416813,4
4.46012,2.131144696453896e-05,3.9085682993047375e-06,0.9990079514944651,4
4.4699599999999995,2.219729493384325e-05,3.2830818310344537e-06,0.28104958370500094,4
4.4779800000000005,2.963882706943104e-05,3.546594893674867e-06,0.9466506528882741,4
4.48613,3.821506250129499e-05,2.3783105821188538e-06,0.3430624412620763,4
4.48819,4.430516678239419e-05,2.288405206123077e-06,0.229213176925581,4
4.490069999999999,4.290453802664195e-05,2.3916792262531537e-06,0.24064527291156693,4
4.49222,4.9341142502802e-05,1.872987120622544e-06,0.07529971605437519,4
4.4949900000000005,5.440138573776089e-05,1.678628876389402e-06,0.012572917253339888,4
4.499969999999999,5.813836212068943e-05,1.6499870471022017e-06,0.10826781430195512,4
4.51021,6.35235379367098e-05,1.6611968354917627e-06,0.020786193871149432,4
4.51218,7.453847728203698e-05,2.2573567541824253e-06,0.0232280809442713,4
4.51508,7.464044729512447e-05,3.147082251957228e-06,0.10779484884002812,4
4.52007,6.791109141908622e-05,3.5281220080943374e-06,0.19106010612332258,4
4.52524,6.743796834185158e-05,4.768437094615379e-06,0.7155088575949322,4
4.5294099999999995,6.879977870281649e-05,4.163575038982867e-06,0.8354234893011501,4
4.53506,5.7852761495356254e-05,5.82531541570388e-06,0.9032730323261315,4
4.54024,4.530007009933908e-05,6.810363285436232e-06,0.8569329963024809,4
4.5498,5.5256098941181895e-05,3.685737980599794e-06,0.35079249246600197,4
4.56018,2.0576580519421942e-05,4.5663064339020864e-06,0.8633281578951364,4
4.570130000000001,1.616989580530704e-05,4.216350554449061e-06,0.9819792089843016,4
4.580030000000001,1.9893212123380436e-05,4.751442972779787e-06,0.8524911357733331,4
4.59008,5.093663289267909e-05,3.6813819768271902e-06,0.5199028907915673,4
4.60027,0.0001443362492090448,6.070137185906307e-06,0.6310387812202173,4
4.60999,0.00042712120793698206,1.4243561907813108e-05,0.9817386549927961,4
4.62023,0.00047107297757286717,1.724294122590262e-05,0.61763304647822,4
4.62994,0.00036263654196999054,1.2202300793423375e-05,0.8858650300904979,4
4.63517,0.00018951072006586926,7.1704084363947585e-06,0.3230697912180164,4
4.639959999999999,0.00017114307234393202,5.795482444277467e-06,0.12929068399783344,4
4.64996,0.00019862850178332933,6.13295516082437e-06,0.024127859422058914,4
