,a0,a2,a0_err,a2_err,Chi2,Pval,Chi2NDF
3.9960199999999997,3.862794896260183e-05,2.2194075269286333e-05,8.583246716357236e-07,1.5505318431058436e-06,41.20782318284469,8.518067495799642e-08,8.241564636568938
4.00097,3.543942943365007e-05,2.2042328004918375e-05,8.704855853144537e-07,1.5742638083626497e-06,36.58590502098205,7.250431730554396e-07,7.317181004196409
4.00294,3.3847391916723456e-05,1.7690936633027175e-05,8.643884783552228e-07,1.5304663220939643e-06,29.187443254829738,2.1304531305110785e-05,5.837488650965947
4.00497,3.2388485318525e-05,1.9729437605835876e-05,8.580131518494943e-07,1.523647074018321e-06,38.57467498292989,2.892055654957204e-07,7.714934996585979
4.00697,3.1298271300165585e-05,1.8953282589222967e-05,8.290847259995124e-07,1.4877494398980358e-06,33.65216446071948,2.792392305828173e-06,6.730432892143897
4.0090900000000005,3.106291296248628e-05,1.8473614802094377e-05,9.015742350445878e-07,1.5838796963411737e-06,26.570744540143338,6.913817349785134e-05,5.314148908028668
4.01003,3.0578756487862035e-05,1.9439550787097973e-05,8.937265280055256e-07,1.591617336938513e-06,22.792896988477303,0.000369767185382619,4.5585793976954605
4.01507,2.987135820316763e-05,1.6834983974583296e-05,8.094013402038746e-07,1.439385464062894e-06,23.01067412230656,0.0003359836484079226,4.602134824461312
4.0191099999999995,2.6098132852752687e-05,1.6305427404428876e-05,7.083985831693582e-07,1.287993463554477e-06,14.942525677266412,0.010610760492277604,2.9885051354532823
4.01992,2.2620805443266896e-05,1.147383906667333e-05,7.09267755902937e-07,1.2265326878024338e-06,15.636724214135167,0.007961532618218192,3.1273448428270334
4.02504,1.532948711933782e-05,8.303852929282532e-06,5.839803364019701e-07,1.0155805954271446e-06,8.465040710021455,0.13240045392368072,1.693008142004291
4.02998,9.39952208815263e-06,6.309549626527794e-06,4.1874806717087496e-07,7.423113778315715e-07,7.896498764375158,0.16203278814008937,1.5792997528750317
4.03514,6.567049364942711e-06,4.627122613186301e-06,3.307564940128441e-07,5.734219306034356e-07,20.428217378199513,0.001038339662373211,4.085643475639903
4.26996,2.858493326095203e-05,5.47955689088056e-06,7.560629281777014e-07,1.155551695436818e-06,127.66205968683431,0.0,25.532411937366863
4.29005,4.7409527549169015e-05,1.872835167296175e-05,1.1172744315008548e-06,1.8710451123682293e-06,75.66346362733886,6.772360450213455e-15,15.132692725467772
4.291119999999999,6.587835096150161e-05,2.6848405537923112e-05,1.534617049626652e-06,2.596668555025243e-06,64.5293934298326,1.4030998585212728e-12,12.905878685966519
4.29319,6.195972545807718e-05,2.3772723727247452e-05,1.4655713546103214e-06,2.4581648739024115e-06,64.12054181780593,1.705635632731628e-12,12.824108363561185
4.2942,6.071772833571514e-05,2.6046408315523917e-05,1.4869657601195005e-06,2.4733682176637995e-06,86.06245434652784,0.0,17.21249086930557
4.29515,6.0559607806427897e-05,2.3945293076324916e-05,1.5296194447658228e-06,2.511374174094414e-06,81.64973883373048,3.3306690738754696e-16,16.329947766746095
4.29615,6.044579576237254e-05,2.462254601330089e-05,1.5739116115643295e-06,2.5832505109800986e-06,90.70170065387208,0.0,18.140340130774415
4.297219999999999,6.296379743790396e-05,2.25264359306759e-05,1.7783765767764412e-06,2.7977943888712603e-06,117.44217523108566,0.0,23.48843504621713
4.298080000000001,6.930908064287252e-05,2.814403554585085e-05,2.5964697143292405e-06,3.889666320082325e-06,219.44009399468962,0.0,43.88801879893792
4.2990900000000005,8.013345223254567e-05,9.11912832916782e-06,3.4748301612942688e-06,4.8027910297057686e-06,252.22942141138725,0.0,50.44588428227745
4.30105,7.63786982750236e-05,2.89612965375563e-05,3.8599205086520235e-06,5.457397441966207e-06,323.71241608098256,0.0,64.74248321619652
4.3031,8.262706455616896e-05,1.2260019055613324e-05,3.866466538160129e-06,5.225223784760151e-06,363.4060041027957,0.0,72.68120082055914
4.30523,7.457433347819117e-05,1.9094219590109636e-05,3.807500307339239e-06,5.2543450103849225e-06,340.94371244353505,0.0,68.188742488707
4.30725,8.213063453523585e-05,1.1020731598802467e-05,4.25976422762722e-06,5.827350116896511e-06,297.9318274213178,0.0,59.58636548426356
4.3093,8.665949372955711e-05,-9.07627670154997e-06,4.343896459256461e-06,5.674663629128226e-06,280.71570414211106,0.0,56.14314082842221
4.30996,7.823528969989261e-05,5.663994657502782e-06,3.806911328906645e-06,5.0509032211350195e-06,329.1072129264182,0.0,65.82144258528363
4.31117,8.193441746303314e-05,-7.694189354086377e-06,4.064300080172389e-06,5.213859318445629e-06,308.1212446798893,0.0,61.62424893597786
4.31311,6.18789508496611e-05,-3.937950803669819e-06,3.5828768621528003e-06,4.536862007090817e-06,366.35098335667374,0.0,73.27019667133474
4.31513,6.246238031070475e-05,-2.2260612959763262e-06,3.65324684487018e-06,4.701436650874943e-06,316.9872449138724,0.0,63.397448982774485
4.3172,4.8660085514113225e-05,5.292820300390774e-06,3.0265742278015042e-06,3.982794788856304e-06,380.9440110946807,0.0,76.18880221893615
4.31917,5.40549390872624e-05,-7.974073618303431e-07,3.3301817095402193e-06,4.453200632704407e-06,294.70973516182886,0.0,58.941947032365775
4.32116,5.978213853133864e-05,-8.12941592820206e-06,3.4264744020837727e-06,4.3284686500423835e-06,301.3854270017354,0.0,60.27708540034708
4.32298,4.73513967400024e-05,-2.1197233588164403e-06,2.770575102840273e-06,3.5734228493929273e-06,315.72791243548585,0.0,63.14558248709717
4.32521,4.529772856188611e-05,-2.392553184163204e-06,2.4869910433007216e-06,3.1502451156744235e-06,321.48561958847046,0.0,64.2971239176941
4.32711,4.496249508998665e-05,6.223616563689167e-06,2.095548755328239e-06,2.8805318043072218e-06,262.109364995291,0.0,52.4218729990582
4.32908,3.888814748221574e-05,6.370053622417164e-06,1.6837128330040276e-06,2.316434403620463e-06,238.7746070560181,0.0,47.754921411203625
4.33012,3.6497496777157035e-05,4.902521094653086e-06,1.9116240931820266e-06,2.618493140628283e-06,314.09095309797624,0.0,62.81819061959525
4.33119,3.767300090799271e-05,5.714149041678318e-06,1.438941675813161e-06,2.065424704176454e-06,134.53413319002985,0.0,26.90682663800597
4.33324,4.492466495233919e-05,1.2701197993630035e-05,1.3638536657208523e-06,2.126680804534159e-06,84.2405545018894,1.1102230246251565e-16,16.848110900377883
4.33515,4.363838118628917e-05,1.4969579400466016e-05,1.2213351689364266e-06,1.9581581905480967e-06,78.28963356079133,1.887379141862766e-15,15.657926712158266
4.34004,4.077145426975647e-05,1.3469242909898196e-05,1.1061890415540803e-06,1.8169388121312635e-06,53.86330368593125,2.2358737084005043e-10,10.77266073718625
4.34488,3.8637163179733475e-05,1.0214970169049644e-05,1.056400430779312e-06,1.703430514801601e-06,41.731112257379046,6.67643125229489e-08,8.346222451475809
4.34998,3.7772224652542896e-05,9.308320159285727e-06,9.961948725245534e-07,1.6145478689138575e-06,44.41590172604949,1.9068946199851666e-08,8.883180345209897
4.37005,3.243639464782626e-05,5.445632766262005e-06,9.126040319655128e-07,1.4461327429922843e-06,38.04363484063779,3.6978435324908077e-07,7.608726968127558
4.39015,3.23300640506798e-05,6.517639768328926e-06,9.352797277574582e-07,1.5031676917422061e-06,35.78504042868255,1.0486353394512093e-06,7.15700808573651
4.41003,3.5366128642144964e-05,4.264650676534275e-06,1.0399958241043598e-06,1.6402875427282056e-06,46.76594563191647,6.341150493582859e-09,9.353189126383295
4.42024,3.710132600676122e-05,7.217656730047502e-06,1.1718935506964526e-06,1.869315473646879e-06,21.045871544713684,0.0007940527418888177,4.209174308942737
4.43018,3.637740346613582e-05,7.64583139638026e-06,1.1398034055527587e-06,1.803211698664882e-06,32.42014457421985,4.9049285865132575e-06,6.48402891484397
4.44004,3.076726606771063e-05,8.725397032577803e-06,1.6432525205190558e-06,2.520335682506467e-06,26.832145894207166,6.149991117454512e-05,5.366429178841433
4.44994,2.876360296096621e-05,1.416983533122098e-05,1.634331199998214e-06,2.5739341530246725e-06,35.91374328183898,9.883008404987237e-07,7.182748656367797
4.4549900000000004,1.9167508204960903e-05,6.360007113977518e-06,2.862883718367501e-06,4.40695385991012e-06,2.912846472239286,0.7134203189888555,0.5825692944478572
4.46012,2.0702620039752864e-05,1.7973034992522767e-07,3.877595888001449e-06,5.937205290476245e-06,1.6274907865809665,0.8979050633071852,0.3254981573161933
