,a0,a2,a4,a0_err,a2_err,a4_err,Chi2,Pval,Chi2NDF
3.9960199999999997,4.196243976244959e-05,2.5641803395073802e-05,-1.4528380569087658e-05,1.0174463467106973e-06,1.650224578956376e-06,2.380357929027554e-06,3.955798371366424,0.41202094027161695,0.988949592841606
4.00097,3.807620100579928e-05,2.515245135821586e-05,-1.2694042994963713e-05,1.000571898364255e-06,1.678373999196573e-06,2.3751269351512283e-06,8.021427790956034,0.09079641319387932,2.0053569477390085
4.00294,3.6072324204411936e-05,2.122533306172192e-05,-1.1588708923365708e-05,9.71477945362566e-07,1.6847685019920877e-06,2.3094691980273684e-06,4.008021009725129,0.4049214124618348,1.0020052524312824
4.00497,3.5130515060457335e-05,2.3413787079097872e-05,-1.3141267481605036e-05,9.82909666741255e-07,1.6542703599946159e-06,2.2980424376420137e-06,5.873871679445887,0.20876770079110696,1.4684679198614718
4.00697,3.323066209910652e-05,2.1499703342045818e-05,-9.893704716011872e-06,9.352795322005458e-07,1.5933476489701057e-06,2.216204067153466e-06,13.722573109868797,0.008235211125858677,3.4306432774671993
4.0090900000000005,3.288884169583444e-05,2.1585764083253182e-05,-1.0134232936194579e-05,9.967107137096568e-07,1.7416415310369478e-06,2.358638036837062e-06,8.109576780830526,0.08764572868772136,2.0273941952076315
4.01003,3.223724122167169e-05,2.2082498111283506e-05,-9.141107114062668e-06,9.879290405035274e-07,1.727250747901481e-06,2.320537696535479e-06,7.275447502256044,0.12202857063457839,1.818861875564011
4.01507,3.1274780098074075e-05,1.9241897198009294e-05,-8.135468201328872e-06,8.896902101119312e-07,1.5726035272912035e-06,2.141067537478995e-06,8.572762795592697,0.07271210284307283,2.143190698898174
4.0191099999999995,2.7125465520992945e-05,1.798864038128033e-05,-6.00885578506384e-06,7.780256841980674e-07,1.3916737485897696e-06,1.8816603455280047e-06,4.7448523277187915,0.3144929094415192,1.1862130819296979
4.01992,2.3398430363879365e-05,1.3071658263827077e-05,-4.815966795117806e-06,7.653193948928013e-07,1.3613746220226199e-06,1.7805029379059796e-06,8.320591438691942,0.08051580072310383,2.0801478596729854
4.02504,1.5661700822336312e-05,9.22976880511502e-06,-2.473890982828083e-06,6.163967321246378e-07,1.1548466162716389e-06,1.4689405625216846e-06,5.6287374214470525,0.2286429790973048,1.4071843553617631
4.02998,9.413891851647254e-06,6.355978594577512e-06,-1.305421350668774e-07,4.337395683007795e-07,8.273109730350795e-07,1.0269935035399078e-06,7.880341567005613,0.0960610952251284,1.9700853917514032
4.03514,6.839862626195486e-06,5.277744470391854e-06,-1.7727141269297785e-06,3.5676298739877317e-07,6.561297127793662e-07,8.688736596783542e-07,16.265622474869247,0.00268268350358003,4.066405618717312
4.26996,3.469606843436597e-05,1.4229118335823496e-05,-2.2401215545639894e-05,9.377727585230742e-07,1.4022217437787749e-06,2.0336422010362123e-06,6.324829013145059,0.17616764825271658,1.5812072532862647
4.29005,5.343162756477133e-05,2.5900114701767208e-05,-2.427574157278775e-05,1.3447521408317978e-06,2.0724659743180847e-06,3.016757024339812e-06,10.909799860751757,0.027596663290193946,2.7274499651879394
4.291119999999999,7.324954787750102e-05,3.559865193780407e-05,-3.0552977170507e-05,1.8360953425252713e-06,2.8591406338478772e-06,4.178345949690347e-06,11.06085887593101,0.0258884920092316,2.7652147189827523
4.29319,6.885830133304613e-05,3.234810352347503e-05,-2.8852360859125704e-05,1.7400618943734788e-06,2.720704058432848e-06,3.923218691227376e-06,10.035437035490174,0.03983496184325408,2.5088592588725436
4.2942,6.981738941036619e-05,3.684364534381807e-05,-3.555320454754485e-05,1.8137337430929316e-06,2.7633439274657526e-06,4.0576658243350725e-06,9.290084177140143,0.0542439162832804,2.3225210442850357
4.29515,6.922211860037839e-05,3.5704045770847814e-05,-3.531315858548675e-05,1.8298277285955754e-06,2.8575061340825486e-06,4.093907446290586e-06,7.245600858909721,0.12346472954441079,1.8114002147274302
4.29615,7.000618409609051e-05,3.7033662785481625e-05,-3.801709975201157e-05,1.904283146682837e-06,2.9342335176120166e-06,4.262669954873275e-06,11.160059222753484,0.024822857774635332,2.790014805688371
4.297219999999999,7.545879413419056e-05,4.133566060463411e-05,-4.91340695264243e-05,2.140387600681147e-06,3.32300364640343e-06,4.683624326098596e-06,7.3893069170135846,0.11669061540586423,1.8473267292533961
4.298080000000001,0.00010389646812952378,7.240777209305762e-05,-0.00010897233343950277,3.5190756350239394e-06,4.9366341693743175e-06,7.483835026771406e-06,7.416549533349326,0.11544590458290638,1.8541373833373316
4.2990900000000005,0.00012644459810600106,8.583983156359064e-05,-0.0001528300788034873,4.538463024267826e-06,6.816027967989017e-06,9.634400595373115e-06,0.5960283561246081,0.9635040026706334,0.14900708903115203
4.30105,0.0001563571592586568,0.00011949674148239094,-0.00021247584483291012,5.902961201989461e-06,7.4392423665883555e-06,1.1864898958021258e-05,3.0182634807320947,0.5547737160305962,0.7545658701830237
4.3031,0.00016343280900119452,0.00011481056310086896,-0.0002205276058923608,5.745898340913563e-06,7.509991237611858e-06,1.1599763552339879e-05,1.973129463798052,0.7407012915670065,0.493282365949513
4.30523,0.00014924098381108113,0.0001082496195608206,-0.00020525369395367767,5.584026701695739e-06,7.169079342289238e-06,1.1228409716065474e-05,6.790638161653606,0.1473744058839891,1.6976595404134014
4.30725,0.00014685487435341966,0.00010628601185970981,-0.00020049756678275178,5.693315372440846e-06,8.054099012100152e-06,1.170112133205314e-05,4.326962430073489,0.36356101442481537,1.0817406075183722
4.3093,0.00014546928792847985,9.776326198253859e-05,-0.0001983633921123956,5.590236763969277e-06,8.547801303631814e-06,1.1868482027634327e-05,1.3759801422569153,0.8483588529926858,0.34399503556422883
4.30996,0.00014687319568856345,0.00010295153846194498,-0.00019889380418982607,5.376446100688579e-06,7.380310026886674e-06,1.1001285710395245e-05,2.25184519729813,0.6895495460261528,0.5629612993245325
4.31117,0.00014059606537534933,9.711871278356951e-05,-0.0001919829316311127,5.272878406910776e-06,7.950468337554324e-06,1.0993945799262579e-05,3.178675273779077,0.5283821265363583,0.7946688184447692
4.31311,0.00013357302122172235,9.346876777559552e-05,-0.00019485981021392536,5.193992010503696e-06,6.832667315424611e-06,1.0220499774222936e-05,2.854440674901515,0.5824723113136028,0.7136101687253787
4.31513,0.0001250087703900519,9.213610135059036e-05,-0.00018315320529656504,5.074392660534626e-06,7.094683638474608e-06,1.0312880715871685e-05,1.5818932483825845,0.8120427407654414,0.3954733120956461
4.3172,0.00012063022478711803,8.615324835221886e-05,-0.00018018239682359634,4.781555441698452e-06,5.758497646786809e-06,9.267652926006487e-06,2.9497577999970326,0.5662682152623959,0.7374394499992581
4.31917,0.00011024055809293783,7.8951970661162e-05,-0.00016405119588179258,4.6911647053516324e-06,6.467224822307937e-06,9.64726518209015e-06,5.541643953631175,0.2360931217411122,1.3854109884077936
4.32116,0.00011007573791741811,7.632861481183739e-05,-0.0001570711351919736,4.490546847709426e-06,6.518629047887254e-06,9.064631806440194e-06,1.1289197229874173,0.8896570447469238,0.2822299307468543
4.32298,9.469190340210884e-05,6.641930803247278e-05,-0.00013667293414521795,3.8585255515538634e-06,5.2807800183985625e-06,7.753208815946676e-06,4.984397135413293,0.2889021967370443,1.2460992838533234
4.32521,8.359622625159593e-05,5.8776495137336874e-05,-0.00011697205745151942,3.2903848670111606e-06,4.665216561776514e-06,6.580061425665882e-06,5.4730464699546815,0.242108895597672,1.3682616174886704
4.32711,7.268138442407251e-05,5.003471670974511e-05,-9.074637058745169e-05,2.714934260598558e-06,3.967464979762137e-06,5.6510389613990524e-06,4.238708658697455,0.37466301088630105,1.0596771646743637
4.32908,5.891715506708798e-05,3.968764325960136e-05,-6.798708098483198e-05,2.12925460390307e-06,3.172815048954166e-06,4.424281235857454e-06,2.635814116448497,0.6204920977044996,0.6589535291121242
4.33012,6.924254414309645e-05,5.0776973654443355e-05,-9.640367762399495e-05,2.664208189138261e-06,3.689905281125615e-06,5.463369148699997e-06,2.7285921323348443,0.6042207093459816,0.6821480330837111
4.33119,4.948451467064797e-05,2.5396993572851704e-05,-4.2851313912310303e-05,1.7723369619409076e-06,2.690544198599848e-06,3.753853375484639e-06,4.225354223711962,0.3763657201761542,1.0563385559279905
4.33324,5.214969613008913e-05,2.5547628019167748e-05,-3.1370326688156134e-05,1.587614804076673e-06,2.571121234448551e-06,3.5285048712887677e-06,5.1987875513576425,0.2675019721789492,1.2996968878394106
4.33515,5.0193421333363596e-05,2.482339785537352e-05,-2.7161667745572696e-05,1.4495957742311119e-06,2.2829969660574693e-06,3.235399309979722e-06,7.811062905209779,0.0987495910671149,1.9527657263024447
4.34004,4.4578188516894456e-05,1.988997477996557e-05,-1.8401554701680614e-05,1.2516255707734495e-06,2.0680452595932423e-06,2.8306979872238364e-06,11.604036487567313,0.0205519618574308,2.9010091218918284
4.34488,4.212684158525063e-05,1.651832328247573e-05,-1.6718118547892516e-05,1.1963301518740915e-06,1.9824594963312586e-06,2.689748080309191e-06,3.098721205778449,0.5414427087655327,0.7746803014446122
4.34998,4.108716456262639e-05,1.5129604180544997e-05,-1.577143126404369e-05,1.1332888136224045e-06,1.8727112374891508e-06,2.570642814741208e-06,6.775110671178334,0.14826069014848797,1.6937776677945835
