,a0,a1,a2,a3,a4,a5,a6
3.9960199999999997,1.9356090555816584e-06,0.0,2.770274426813967e-06,0.0,-1.0889482105901904e-06,0.0,6.454870008845376e-08
4.00097,3.608936365457003e-06,0.0,3.286909901157465e-06,0.0,-2.570091474141706e-06,0.0,1.3937737403929711e-06
4.00294,4.141646107305886e-06,0.0,-3.0134974340576494e-07,0.0,-6.054239547145661e-07,0.0,-2.4236301603547714e-06
4.00497,5.3028539199832315e-06,0.0,-4.888831069684079e-07,0.0,-4.579066207925184e-07,0.0,4.88271965306064e-07
4.00697,6.475570050235388e-06,0.0,2.620915007725791e-06,0.0,-3.644591206205331e-06,0.0,3.784791446742078e-06
4.0090900000000005,6.417250743513814e-06,0.0,4.641523481835564e-07,0.0,-8.462665906322059e-06,0.0,6.296316616602578e-06
4.01003,6.414992613575452e-06,0.0,4.527818970927086e-07,0.0,-1.198221287315707e-06,0.0,1.5703646141367945e-06
4.01507,5.846372067537648e-06,0.0,4.788621298866605e-06,0.0,-4.1225311139484995e-06,0.0,2.4666116973023435e-06
4.0191099999999995,8.48937105779761e-06,0.0,1.0321392982001182e-06,0.0,-6.739945998237599e-06,0.0,2.7235415169992648e-06
4.01992,6.98380846582002e-06,0.0,1.7864414257049438e-07,0.0,-3.055757399628269e-06,0.0,5.7368036193757866e-06
4.02504,7.578230977294561e-06,0.0,1.3051012965243602e-06,0.0,-5.029855970105656e-06,0.0,-1.3792533329101765e-06
4.02998,7.292666505927055e-06,0.0,2.9692554083507992e-06,0.0,-8.470455733895304e-06,0.0,4.819204932912268e-06
4.03514,6.04266025370782e-06,0.0,2.749304877071412e-06,0.0,-4.239732758343079e-07,0.0,1.046708766636677e-06
4.26996,9.502608131693343e-06,0.0,1.425074922044637e-06,0.0,3.489612302429183e-07,0.0,-7.687770170125659e-07
4.29005,8.174299918279122e-06,0.0,2.7002163322584704e-06,0.0,-6.107747344319226e-07,0.0,-1.7304771393500982e-06
4.291119999999999,7.29383517538393e-06,0.0,-6.443011449094385e-07,0.0,-6.432966547282926e-07,0.0,2.8615988769200993e-06
4.29319,8.003280451197158e-06,0.0,8.654566826984141e-07,0.0,7.477095344319666e-07,0.0,-1.4644876866799459e-06
4.2942,6.643015089909318e-06,0.0,3.939232031928435e-06,0.0,-4.051705692738166e-06,0.0,3.853416910977049e-06
4.29515,8.019895261950537e-06,0.0,-2.713156408127853e-07,0.0,-1.97066876820946e-06,0.0,2.5992167575455186e-06
4.29615,7.3081368533231195e-06,0.0,1.1451923859633391e-06,0.0,-2.2778793807788163e-06,0.0,2.622101852982619e-06
4.297219999999999,8.075904841752276e-06,0.0,3.7048983246814737e-06,0.0,-4.308295789562903e-06,0.0,4.5914997209732475e-06
4.298080000000001,1.4199855554664494e-05,0.0,2.302825153318012e-06,0.0,-5.514718794215123e-06,0.0,1.2910952300539772e-06
