,a0,a1,a2,a3,a4
3.9960199999999997,1.2285756416904422e-05,0.0,1.1931901023076595e-06,0.0,-5.594531077829194e-07
4.00097,1.9035589906195293e-05,0.0,5.623090851230865e-06,0.0,-5.058246623240781e-06
4.00294,2.260171732119847e-05,0.0,6.009596229002049e-06,0.0,-6.532806832243212e-06
4.00497,2.589951697680996e-05,0.0,4.838789906598537e-06,0.0,-4.445830285411144e-06
4.00697,3.2190498169413885e-05,0.0,2.0267348230137395e-06,0.0,-1.9883683850515206e-06
4.0090900000000005,3.421483815798936e-05,0.0,1.0720584537591262e-06,0.0,-4.532003025723045e-06
4.01003,3.484059564782812e-05,0.0,1.1022811724023014e-06,0.0,-7.31680662926504e-07
4.01507,3.886378965503615e-05,0.0,2.0308097772198037e-06,0.0,-2.3173047664242356e-06
4.0191099999999995,3.849423705920395e-05,0.0,1.0752409539676459e-06,0.0,-2.7005111686904476e-06
4.01992,3.570511107602372e-05,0.0,2.548038178621932e-07,0.0,-1.345748233579036e-06
4.02504,3.559230500216019e-05,0.0,1.6838819151770644e-06,0.0,-5.511601208318448e-06
4.02998,3.0145148580777012e-05,0.0,3.2328842134955363e-07,0.0,-2.0384161341416295e-06
4.03514,2.347545559240991e-05,0.0,8.76207342043224e-07,0.0,-2.480704107442371e-06
4.26996,1.3157453789616316e-05,0.0,9.605398699208726e-08,0.0,5.351542843726122e-07
4.29005,1.8663223421825407e-05,0.0,1.6612733433825375e-06,0.0,-8.330872535888918e-07
4.291119999999999,2.563189051417448e-05,0.0,5.840703083301228e-06,0.0,-1.9851056240189205e-06
4.29319,3.0605528125424065e-05,0.0,4.8254341202093185e-06,0.0,2.6324543424259457e-06
4.2942,3.543023231902341e-05,0.0,7.452915325791306e-06,0.0,-7.889951573000463e-07
4.29515,4.251915789354338e-05,0.0,1.0257653080770041e-05,0.0,2.2341222007287837e-06
4.29615,4.6919702007066114e-05,0.0,1.4529162958092149e-05,0.0,-3.314683058769621e-06
4.297219999999999,7.255539451170535e-05,0.0,1.7711493391063076e-05,0.0,-1.5329131081725437e-06
4.298080000000001,0.00020748584923560142,0.0,7.177014376431194e-05,0.0,2.158033535096435e-06
4.2990900000000005,0.00032987269321724125,0.0,0.00011791940859829151,0.0,-1.1572779779142484e-05
4.30105,0.0004948493614595205,0.0,0.00014497408385856283,0.0,-1.92563009300357e-05
4.3031,0.0004968300003117005,0.0,0.00016234415024334888,0.0,-1.2521291698001087e-05
4.30523,0.0004625149210924445,0.0,0.000144873274740332,0.0,-2.6459692350785375e-05
4.30725,0.0004398658044472219,0.0,0.00014027923616585195,0.0,-1.5222757710408105e-05
4.3093,0.0004436007206151536,0.0,0.00013788395756014405,0.0,-2.327449908643219e-05
