,a0,a1,a2,a3,a4
3.9960199999999997,4.217154433913277e-05,0.0,2.593379837539078e-05,0.0,-1.5424797315546028e-05
4.00097,3.845774836999525e-05,0.0,2.564396973319662e-05,0.0,-1.428110229422853e-05
4.00294,3.605494179276468e-05,0.0,2.122583622491063e-05,0.0,-1.1545719472886596e-05
4.00497,3.550025460327087e-05,0.0,2.393344571797154e-05,0.0,-1.4395397693075952e-05
4.00697,3.36444413126303e-05,0.0,2.193809883461787e-05,0.0,-1.1864223756718896e-05
4.0090900000000005,3.314262071905833e-05,0.0,2.187289319802908e-05,0.0,-1.1087332908778746e-05
4.01003,3.245328318828654e-05,0.0,2.2510385127602064e-05,0.0,-1.010058167634699e-05
4.01507,3.1361109040181134e-05,0.0,1.9247095336830827e-05,0.0,-8.766199613591976e-06
4.0191099999999995,2.718280475423664e-05,0.0,1.814739562149946e-05,0.0,-6.398171084407497e-06
4.01992,2.364054077057145e-05,0.0,1.3296041771113379e-05,0.0,-5.446358292804652e-06
4.02504,1.573836905545648e-05,0.0,9.435432184346908e-06,0.0,-2.6795859010928036e-06
4.02998,9.54676765143689e-06,0.0,6.4048696176175095e-06,0.0,-4.269584215369927e-07
4.03514,6.7987444058241875e-06,0.0,5.659555440622822e-06,0.0,-2.0351727122240077e-06
4.26996,3.43710235991516e-05,0.0,1.4345955620767523e-05,0.0,-2.1677613014412224e-05
4.29005,5.380423682396832e-05,0.0,2.699907843363983e-05,0.0,-2.6181753071457274e-05
4.291119999999999,7.358252409552264e-05,0.0,3.6555167999581814e-05,0.0,-3.274086777760393e-05
4.29319,6.925166508020787e-05,0.0,3.3661777529299275e-05,0.0,-3.10587553850039e-05
4.2942,7.029922245888928e-05,0.0,3.8220565046771664e-05,0.0,-3.7851464056633765e-05
4.29515,6.976998143886456e-05,0.0,3.7065763042739425e-05,0.0,-3.7290142142855954e-05
4.29615,7.05845305447637e-05,0.0,3.846912217787051e-05,0.0,-4.040281819560868e-05
4.297219999999999,7.641830978557383e-05,0.0,4.325685249853074e-05,0.0,-5.1630173123639514e-05
4.298080000000001,0.00010417395491219361,0.0,7.468361144692707e-05,0.0,-0.0001092172583723309
4.2990900000000005,0.0001262536434085744,0.0,8.615409503601613e-05,0.0,-0.0001519176530299084
4.30105,0.00015499695717480244,0.0,0.00012069130206805999,0.0,-0.000209337244098555
4.3031,0.0001623007651363054,0.0,0.00011563726506435393,0.0,-0.000218010322395711
4.30523,0.00014776637377661382,0.0,0.00011148467642579133,0.0,-0.00020357296583357347
4.30725,0.00014656736520983252,0.0,0.00010847456239755202,0.0,-0.000199863802093712
4.3093,0.00014396469965690417,0.0,9.649894307101806e-05,0.0,-0.00019376514889958346
4.30996,0.00014683790757802007,0.0,0.00010452196100104672,0.0,-0.00019854879896848688
4.31117,0.00014104148681424902,0.0,9.645365197592542e-05,0.0,-0.000190085394567427
4.31311,0.00013403199932676812,0.0,9.624422584355532e-05,0.0,-0.00019687888538340995
4.31513,0.00012421498560766817,0.0,9.182808293209612e-05,0.0,-0.00018115425955641943
4.3172,0.00011765730479759892,0.0,8.555759948834747e-05,0.0,-0.0001746020006875707
4.31917,0.00010744329850531272,0.0,7.817413378251758e-05,0.0,-0.00015734432916343708
4.32116,0.00010976433074562808,0.0,7.682536151896721e-05,0.0,-0.00015657262518065822
4.32298,9.319544490126315e-05,0.0,6.658300023351354e-05,0.0,-0.00013375979415186328
4.32521,8.311353725934876e-05,0.0,5.9962622139863863e-05,0.0,-0.00011646236082313832
4.32711,7.317142977549405e-05,0.0,5.1520142107817424e-05,0.0,-9.160483510146098e-05
4.32908,5.9474227492122274e-05,0.0,4.083196478157492e-05,0.0,-6.930649957235602e-05
4.33012,7.095942333477431e-05,0.0,5.3144749224732735e-05,0.0,-0.00010033110431653088
4.33119,4.961981227771411e-05,0.0,2.62333247499448e-05,0.0,-4.316529175349155e-05
4.33324,5.239961012762312e-05,0.0,2.6135506272930025e-05,0.0,-3.16239867686321e-05
4.33515,5.039065376630392e-05,0.0,2.569727247658825e-05,0.0,-2.7798687449081632e-05
4.34004,4.4901695326724024e-05,0.0,2.0632557472256293e-05,0.0,-1.962705383007191e-05
4.34488,4.222137372218039e-05,0.0,1.6820468148955486e-05,0.0,-1.6952204589614015e-05
4.34998,4.091636637079524e-05,0.0,1.529117286634139e-05,0.0,-1.565061720891604e-05
4.37005,3.429103111908763e-05,0.0,9.862907324212229e-06,0.0,-1.0655239290339361e-05
4.39015,3.4277728988632125e-05,0.0,1.0722080186696962e-05,0.0,-1.0704224684168155e-05
4.41003,3.77637191488136e-05,0.0,9.803534948571665e-06,0.0,-1.351563445364407e-05
4.42024,3.889532665500817e-05,0.0,1.1627443120339991e-05,0.0,-1.037067663062205e-05
4.43018,3.91852918542238e-05,0.0,1.3926148136979607e-05,0.0,-1.4401594736705334e-05
4.44004,3.377221243904566e-05,0.0,1.65049635961816e-05,0.0,-1.6263948592753717e-05
4.44994,3.3468313705043935e-05,0.0,2.324653643557207e-05,0.0,-2.068083108532272e-05
4.4549900000000004,2.030528922984509e-05,0.0,1.1493373880723778e-05,0.0,-8.399123550696463e-06
4.46012,2.1529894138176165e-05,0.0,5.821200579255567e-06,0.0,-1.0201034798605239e-05
4.4699599999999995,2.312953565523576e-05,0.0,1.6046774345922722e-05,0.0,-1.0033564341006521e-05
4.4779800000000005,2.9241266271266548e-05,0.0,2.0439240552224202e-05,0.0,-2.452747249300045e-05
4.48613,3.8605968802817965e-05,0.0,2.607506735190277e-05,0.0,-1.8524420894731568e-05
4.48819,4.4564182553032934e-05,0.0,2.8382509678765677e-05,0.0,-2.7313935162423513e-05
4.490069999999999,4.33881306397494e-05,0.0,3.36416032896096e-05,0.0,-2.6088784041156917e-05
4.49222,4.993598101835402e-05,0.0,2.873495606891631e-05,0.0,-2.4616760730766273e-05
4.4949900000000005,5.4933563249437966e-05,0.0,3.206163690697969e-05,0.0,-2.666837826636843e-05
4.499969999999999,5.8768667228759335e-05,0.0,3.4652234851101314e-05,0.0,-3.259222212655011e-05
4.51021,6.368019793660606e-05,0.0,3.530134507029568e-05,0.0,-3.3358987374441046e-05
4.51218,7.547664084662159e-05,0.0,4.765034442770865e-05,0.0,-5.301074841912452e-05
4.51508,7.515135558302072e-05,0.0,5.496895621578677e-05,0.0,-6.21023661888807e-05
4.52007,6.816787821883584e-05,0.0,4.3125180316845864e-05,0.0,-6.22540644090631e-05
4.52524,6.745760864048136e-05,0.0,4.227323455008005e-05,0.0,-6.762775112411167e-05
4.5294099999999995,6.956949260928347e-05,0.0,4.430947134167413e-05,0.0,-7.07958361023794e-05
4.53506,5.74563213306186e-05,0.0,3.46527902021287e-05,0.0,-7.470768659930249e-05
4.54024,4.6585837358455634e-05,0.0,2.7044922356055e-05,0.0,-4.396419803294186e-05
4.5498,5.55843327311912e-05,0.0,2.755008693488029e-05,0.0,-4.106314460272434e-05
4.56018,2.0230577230011583e-05,0.0,1.3730523188973938e-05,0.0,-1.4521010487840296e-05
4.570130000000001,1.6054889582818662e-05,0.0,1.3331029041338041e-05,0.0,-1.0678886371192582e-05
4.580030000000001,1.9976722271182302e-05,0.0,2.009276931288625e-05,0.0,-2.0479203826781975e-05
4.59008,5.136713028219087e-05,0.0,4.0721409115281114e-05,0.0,-5.8229373700623216e-05
4.60027,0.00014227126129830785,0.0,0.00010695043540766753,0.0,-0.00020683842176147607
4.60999,0.00042486650865745755,0.0,0.0003062281956261301,0.0,-0.0007056905396420751
4.62023,0.0004542267613186252,0.0,0.00032879405888737353,0.0,-0.0007464831954831362
4.62994,0.0003617185135120652,0.0,0.0002587291264890551,0.0,-0.0005904348777911331
4.63517,0.0001859820345367077,0.0,0.00013415215021960158,0.0,-0.0002705879259927963
4.639959999999999,0.00017110279447248288,0.0,0.00011052258785260909,0.0,-0.00016701213299272167
4.64996,0.00019868419985553406,0.0,0.00014013241501966098,0.0,-0.00022860494271148142
4.67012,0.00021410624715446637,0.0,0.00010989123717102187,0.0,-0.00023815057850314295
4.68015,0.00014804888107533166,0.0,6.398542434141047e-05,0.0,-0.00012968275180642966
4.68993,0.00010323296605211752,0.0,5.69606065565147e-05,0.0,-8.618941956161943e-05
4.71002,8.776922596466567e-05,0.0,4.383682801042389e-05,0.0,-5.533118347179481e-05
4.73,9.596294575087218e-05,0.0,5.079860643259752e-05,0.0,-6.561485076209445e-05
4.75,0.0001569457863492687,0.0,8.741355587951955e-05,0.0,-0.00013677968363887927
4.75518,0.0003181649057153164,0.0,0.00017460256489899628,0.0,-0.0003392102043254064
4.75888,0.0003262028832869621,0.0,0.0001719137427818128,0.0,-0.00033391241754765374
4.77004,0.0003087188338895297,0.0,0.00017302486830526642,0.0,-0.0002907229515462623
4.77502,0.0002489749996287365,0.0,0.00013695622672434086,0.0,-0.00020110609984415532
4.7801800000000005,0.0001784801736533339,0.0,0.00011478453749900496,0.0,-0.0001242128999127177
4.79012,0.00027901982901875635,0.0,0.00015190665836058333,0.0,-0.00011084960149022381
4.799919999999999,0.0005785580066471716,0.0,0.0003023712330166803,0.0,-0.00018130260474513772
4.81003,0.0005082672060286416,0.0,0.00027504805402584214,0.0,-0.00014132174912927058
4.8121599999999995,0.0003357104555482348,0.0,0.00018718474597436427,0.0,-9.350301092730423e-05
4.81527,0.00021361261835444207,0.0,0.00010424011516433081,0.0,-4.610441575383759e-05
4.82006,0.0001045983956698684,0.0,4.769239011509779e-05,0.0,-1.7956656136551384e-05
4.82989,7.561832756767618e-05,0.0,2.748461334059043e-05,0.0,-9.378492362111464e-06
4.85003,7.989112592195719e-05,0.0,2.7672745097435962e-05,0.0,-2.0542589781291612e-05
4.86629,8.523497956479823e-05,0.0,2.8649801884230884e-05,0.0,-2.3609154139886927e-05
4.88989,9.151454638147779e-05,0.0,3.746322482720814e-05,0.0,-2.7567148302179824e-05
4.89991,9.81709528641029e-05,0.0,4.283294173926361e-05,0.0,-2.937564724175365e-05
4.9101300000000005,9.80596271715006e-05,0.0,5.0268261277345985e-05,0.0,-3.22577184649777e-05
4.91996,9.860115004455443e-05,0.0,4.2139569311846476e-05,0.0,-2.949431577460574e-05
4.92615,0.00010305051436397514,0.0,4.150964182967346e-05,0.0,-3.467387534970494e-05
