,a0
3.9960199999999997,1.2420771014888512e-05
4.00097,1.8264493756471497e-05
4.00294,2.168010640002081e-05
4.00497,2.5705322541205914e-05
4.00697,3.2240356440333666e-05
4.0090900000000005,3.3055778708420176e-05
4.01003,3.4987531791655005e-05
4.01507,3.883199604726771e-05
4.0191099999999995,3.806783142106455e-05
4.01992,3.542706943269608e-05
4.02504,3.4270866814229304e-05
4.02998,2.9658315471845698e-05
4.03514,2.3023513158888012e-05
4.26996,1.3308090922880499e-05
4.29005,1.889120018656614e-05
4.291119999999999,2.591299135479512e-05
4.29319,3.160673529395298e-05
4.2942,3.611618177525503e-05
4.29515,4.357979856457981e-05
4.29615,4.723536419392833e-05
4.297219999999999,7.353124323351819e-05
4.298080000000001,0.0002059722914769474
4.2990900000000005,0.00032454579831649877
4.30105,0.0004937102898580713
4.3031,0.0004904237157438063
4.30523,0.0004578937030096234
4.30725,0.0004377823373614681
4.3093,0.00044109408493515846
4.30996,0.0004502422849280253
4.31117,0.00043074692501013633
4.31311,0.0004327650524761901
4.31513,0.0004252092359088309
4.3172,0.000423882105701617
4.31917,0.0004135679905504439
4.32116,0.0003817517068531134
4.32298,0.000345931828850004
4.32521,0.00028039330396853555
4.32711,0.00022554043197189858
4.32908,0.00014977030693562432
4.33012,0.00021519826971004504
4.33119,0.00010797131680173914
4.33324,7.449438310169321e-05
4.33515,5.6812093214992695e-05
4.34004,3.4053235973487265e-05
4.34488,3.0004178491359296e-05
4.34998,2.8633759020136295e-05
4.37005,3.01744436929048e-05
4.39015,3.965197287197299e-05
4.41003,5.365510158576771e-05
4.42024,7.788336668734509e-05
4.43018,9.703432572510155e-05
4.44004,0.0001830238373164453
4.44994,0.0002803423168646499
4.4549900000000004,0.0006608948267041653
4.46012,0.0009962823256922208
4.4699599999999995,0.001030114513206023
4.4779800000000005,0.0007700946359393138
4.48613,0.0003679063638947902
4.48819,0.0002714938212968585
4.490069999999999,0.00035562652861977876
4.49222,0.00014136589277373573
4.4949900000000005,9.649045702135302e-05
4.499969999999999,5.6054952726289966e-05
4.51021,4.2228038047397064e-05
4.51218,9.655860333147945e-05
4.51508,0.00027665954994982896
4.52007,0.0004879823515677457
4.52524,0.0008876238967915165
4.5294099999999995,0.0008840111938404754
4.53506,0.0015504306600966763
4.54024,0.0017230097406070542
4.5498,0.0022031108844627906
4.56018,0.0032715984689443566
4.570130000000001,0.002994653018623842
4.580030000000001,0.0015289061354051515
4.59008,0.0008191297658216223
4.60027,0.0006863585975548287
4.60999,0.0015292068611823186
4.62023,0.0017107195249113408
4.62994,0.001223761198050384
4.63517,0.0006647805743634496
4.639959999999999,0.0003954719894288487
4.64996,0.00032887033160967433
4.67012,0.0001700847591978455
4.68015,8.954586699627425e-05
4.68993,6.857568606806502e-05
4.71002,5.544958768115737e-05
4.73,5.103935832678445e-05
4.75,7.010553651304865e-05
4.75518,0.00012460192471737928
4.75888,0.00014155386872894823
4.77004,0.00017307596532802275
4.77502,0.0002613922866441069
4.7801800000000005,0.0005430865741358437
4.79012,0.0006855609507408336
4.799919999999999,0.0005660328474476059
4.81003,0.00027306143612937665
4.8121599999999995,0.00013179036207253806
4.81527,8.168808861996572e-05
4.82006,4.4207701571041576e-05
4.82989,2.853296137550284e-05
4.85003,2.075253811295791e-05
4.86629,2.044192350790608e-05
4.88989,2.326720373619541e-05
4.89991,4.328886247327282e-05
4.9101300000000005,6.17759096642816e-05
4.91996,7.631098066255978e-05
4.92615,7.95917653674464e-05
4.9301900000000005,8.094832454033132e-05
4.93692,7.86750705235282e-05
4.94675,8.13593530236892e-05
4.95027,8.246313953509939e-05
4.95676,8.745834112204073e-05
4.961869999999999,9.220587067862471e-05
4.96475,9.687335798169838e-05
4.96787,9.809604565177405e-05
4.97004,0.00010230979885457509
4.9728,9.970799933963117e-05
4.97463,9.924322229644736e-05
4.98471,8.285778635910543e-05
4.990069999999999,8.078911855727504e-05
4.994669999999999,6.460765966229453e-05
5.00464,5.134917970593211e-05
5.00999,5.535573136203183e-05
5.01484,6.959945107351996e-05
5.01774,9.481083938549816e-05
5.01786,9.11820543398175e-05
5.019819999999999,0.00014737018417493604
5.0248,0.00026846991530006786
5.027830000000001,0.0002953974749505708
5.0301,0.00031580474715346755
5.032780000000001,0.0003538781556928781
5.0359,0.0004062525930562701
5.03871,0.0004244477704763954
5.041980000000001,0.0004127389547255729
5.04479,0.000376947210711454
5.04997,0.0002981302213590788
5.05484,0.0002119884486337385
5.0648800000000005,0.00014454882381867141
5.06991,0.0001184549482942894
