,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
3.9960199999999997,1.2309279425012319e-05,0.0,7.173440636216014e-07,0.0,-1.426104106980833e-06,0.0,1.4093041296963016e-07,0.0,-5.566770610930589e-07,0.0,2.5951799095031215e-06
4.00097,1.9174898923169154e-05,0.0,3.901887337250932e-06,0.0,-5.0136925390642645e-06,0.0,1.8942499553829437e-06,0.0,-3.590023445542389e-06,0.0,4.324344737826275e-06
4.00294,2.272126656169824e-05,0.0,4.325032101045726e-06,0.0,-6.228858216292011e-06,0.0,5.102810248044884e-06,0.0,-4.436509071499367e-06,0.0,9.750783657319565e-07
4.00497,2.5932196557500624e-05,0.0,3.5326083872182506e-06,0.0,-6.984050291975852e-06,0.0,4.351497480950762e-06,0.0,3.5531499441078904e-07,0.0,6.376824555781105e-07
4.00697,3.227644239692492e-05,0.0,8.498606609212638e-07,0.0,-4.562669954522841e-06,0.0,3.871893024457843e-06,0.0,-9.934350452660637e-07,0.0,3.051175192545552e-06
4.0090900000000005,3.42601898626895e-05,0.0,2.457139627090266e-07,0.0,-6.00869930461212e-06,0.0,4.119125693409608e-06,0.0,-1.8234201629620211e-06,0.0,5.083168131542843e-07
4.01003,3.484107607859856e-05,0.0,4.093465457648237e-07,0.0,-2.260113502250491e-06,0.0,3.5848554635486526e-06,0.0,-2.8466329427874563e-06,0.0,2.4830677193591956e-06
4.01507,3.898813683049587e-05,0.0,7.713285082456356e-07,0.0,-4.015730131503098e-06,0.0,3.295591874780301e-06,0.0,-2.340107453129783e-06,0.0,3.5703164757089205e-06
4.0191099999999995,3.8578123905474126e-05,0.0,3.7327565909373637e-07,0.0,-3.899382336040553e-06,0.0,3.256856474673573e-06,0.0,-1.8107837920513026e-06,0.0,1.0305374226323054e-06
4.01992,3.580116546768698e-05,0.0,-7.673370853420322e-07,0.0,-3.184983709622902e-06,0.0,4.2044512108228645e-06,0.0,-3.644928272332482e-06,0.0,3.5097237328429e-06
4.02504,3.570135130600998e-05,0.0,9.180579632509174e-07,0.0,-5.767391754408173e-06,0.0,2.587234237302019e-06,0.0,-4.082948724127276e-06,0.0,2.769735065615029e-06
4.02998,3.0202797332937752e-05,0.0,-3.32062720760184e-07,0.0,-3.934556097223732e-06,0.0,3.1450328251403833e-06,0.0,-1.5808094974395444e-07,0.0,3.884117655542182e-07
4.03514,2.3813038041343354e-05,0.0,-6.206672472190554e-07,0.0,-4.096415582114436e-06,0.0,4.168020794207047e-06,0.0,-4.0290815120761906e-06,0.0,4.103501472975983e-06
4.26996,1.3169184420161224e-05,0.0,-8.329130824936427e-08,0.0,-3.7004339696286807e-07,0.0,-6.757939520629264e-08,0.0,7.444750974306358e-07,0.0,8.983391508489006e-07
4.29005,1.8615428361571085e-05,0.0,1.3485469671860039e-06,0.0,-1.3920162015840444e-06,0.0,1.6233088304430461e-06,0.0,-7.272025898614215e-07,0.0,3.1502933939415277e-07
4.291119999999999,2.5525224852166617e-05,0.0,4.837550742241936e-06,0.0,-3.1875838209920543e-06,0.0,2.4231777566867745e-06,0.0,-2.236630454695852e-06,0.0,3.732904240257688e-06
4.29319,3.073369293390286e-05,0.0,5.5082560048498454e-06,0.0,3.4688470532513533e-06,0.0,-1.3648994523527675e-07,0.0,-3.695751227024487e-06,0.0,1.3482633937513093e-06
4.2942,3.5370810523662376e-05,0.0,6.144618955455914e-06,0.0,-2.9191747533501276e-06,0.0,1.4009829931141676e-06,0.0,-1.3338929476885518e-07,0.0,5.842991574185799e-06
4.29515,4.23211502316402e-05,0.0,8.910768904785124e-06,0.0,1.3999114165852085e-07,0.0,3.790018096036328e-06,0.0,4.427836478537444e-07,0.0,2.35860802169712e-06
4.29615,4.700988839681016e-05,0.0,1.3339218219143173e-05,0.0,-2.568518641359734e-06,0.0,1.5625768811840172e-06,0.0,-8.347469118802538e-06,0.0,8.166048163491468e-06
4.297219999999999,7.239545484186743e-05,0.0,1.5224677949460395e-05,0.0,-5.211545801973611e-06,0.0,4.50961531943457e-06,0.0,1.2707516173705434e-06,0.0,6.5261552111787076e-06
4.298080000000001,0.0002068018045841596,0.0,6.721740009117567e-05,0.0,-2.379109196162323e-06,0.0,1.0259373752469511e-05,0.0,1.7826434322928874e-06,0.0,7.611845721215777e-06
4.2990900000000005,0.000328945401013391,0.0,0.00010753386145759169,0.0,-2.0587053427619738e-05,0.0,1.5013983555066248e-05,0.0,-1.6166970060019057e-06,0.0,3.330764766366561e-05
4.30105,0.0004948011292141304,0.0,0.00013883589235445955,0.0,-2.6990333197620774e-05,0.0,-4.023432030555553e-06,0.0,-8.206509542689894e-06,0.0,4.639421408195114e-05
4.3031,0.0004955448257947539,0.0,0.00015271421944928093,0.0,-2.6407914889783805e-05,0.0,9.693379324328956e-06,0.0,1.8829037665239013e-05,0.0,2.6995485099239086e-05
4.30523,0.0004622327299979372,0.0,0.0001243476232202073,0.0,-3.9242750498364574e-05,0.0,3.6149102647762735e-05,0.0,-1.1888750689593877e-05,0.0,5.323571600297193e-05
4.30725,0.0004389853097911444,0.0,0.00012656384373974002,0.0,-3.086519013097829e-05,0.0,1.5642281137032247e-05,0.0,3.1389956157499314e-06,0.0,5.0906043110292554e-05
4.3093,0.000442436840408423,0.0,0.00012342151973075252,0.0,-3.6484694321870125e-05,0.0,3.0305368716322033e-05,0.0,-2.1969205918609124e-06,0.0,3.19995737951125e-05
4.30996,0.0004484395850083724,0.0,0.000113505570779672,0.0,-1.9223696226179314e-05,0.0,2.3846695151883005e-05,0.0,-1.0229198764364596e-05,0.0,2.7631139511672966e-05
4.31117,0.0004315130346177348,0.0,0.0001104645662283962,0.0,-2.5352346685180178e-05,0.0,3.6906051205039234e-05,0.0,-2.1073772179774572e-05,0.0,3.6347272301641816e-05
4.31311,0.00043672660176868444,0.0,0.00012977998927805718,0.0,-3.270400494852891e-05,0.0,1.559011183650258e-05,0.0,5.1500073514457374e-06,0.0,4.1741162407197905e-05
