,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
3.9960199999999997,3.7622027837191875e-06,0.0,-8.16380173555049e-07,0.0,2.3247286832496633e-06,0.0,-3.6871851681417755e-06,0.0,1.59344806178491e-06,0.0,8.131858129430693e-07
4.00097,4.98036541305968e-06,0.0,1.3904167801352446e-06,0.0,-2.1307661722364163e-06,0.0,-4.935662357440918e-07,0.0,-7.034247866211273e-07,0.0,3.4859529893972383e-06
4.00294,5.7377094231230046e-06,0.0,-1.64967454284088e-06,0.0,-2.3422661979961053e-06,0.0,-1.2588799851331397e-06,0.0,-4.7242020401687416e-07,0.0,7.133688607929115e-06
4.00497,6.519603629438528e-06,0.0,-3.5211983493282557e-07,0.0,1.5297784954883793e-06,0.0,3.9762625352402385e-06,0.0,-6.602757772462628e-06,0.0,9.885589246228035e-08
4.00697,7.5276751546804404e-06,0.0,1.1323886104730718e-06,0.0,-6.905615357111514e-07,0.0,4.249604134492218e-06,0.0,-5.77139645284506e-06,0.0,2.5305762109284483e-06
4.0090900000000005,7.3493790574652295e-06,0.0,2.4852709462212234e-06,0.0,-6.1123299945484226e-06,0.0,3.3918825231994596e-06,0.0,-8.58705050732943e-06,0.0,5.428386477119496e-06
4.01003,8.194030563735197e-06,0.0,1.3080819255975944e-07,0.0,7.00757471829736e-07,0.0,-1.09776477186839e-06,0.0,-9.041274239633525e-06,0.0,8.498984454616532e-06
4.01507,7.1252196667223e-06,0.0,4.867627046493061e-06,0.0,-1.6965762119101826e-06,0.0,-6.228420572775738e-07,0.0,-6.909994067163759e-06,0.0,5.891822956918247e-06
4.0191099999999995,1.0582498091720509e-05,0.0,-1.1061020895493652e-06,0.0,-3.551343704606453e-06,0.0,3.3846664218188035e-06,0.0,-4.949946225501358e-06,0.0,4.483274669320731e-06
4.01992,7.575918749564008e-06,0.0,-1.442865756193414e-06,0.0,-1.6251840203781597e-06,0.0,5.227271886450826e-06,0.0,-3.929969712763945e-06,0.0,5.002736509452157e-06
4.02504,8.489344038450668e-06,0.0,1.6470283346809232e-06,0.0,-2.6644537559753984e-06,0.0,2.039038717856855e-06,0.0,-7.029217030828157e-06,0.0,-4.2731239946805574e-07
4.02998,8.879299926831517e-06,0.0,2.002850008283541e-06,0.0,-7.207528828028077e-06,0.0,-6.852607663862966e-07,0.0,-2.368678602627125e-06,0.0,7.154143355598907e-06
4.03514,6.1723553763328334e-06,0.0,2.558302472234559e-06,0.0,-1.426553573904199e-07,0.0,1.3072077085289176e-06,0.0,1.7203423177890824e-07,0.0,-8.389204167909516e-07
4.26996,9.637685810400692e-06,0.0,1.2112058102040677e-06,0.0,8.015931243824855e-08,0.0,-2.3609265126689525e-06,0.0,1.4582302411035694e-06,0.0,1.431120852951351e-06
4.29005,9.646511701801244e-06,0.0,1.3712809143598307e-06,0.0,9.296603734823581e-07,0.0,-2.325033744552032e-06,0.0,-7.740622585879995e-06,0.0,6.949821483931378e-06
4.291119999999999,7.3666853195043335e-06,0.0,-9.052020558352596e-07,0.0,-5.780168677860933e-07,0.0,2.348533472739538e-06,0.0,1.1124073499720603e-06,0.0,-2.776607140852359e-07
4.29319,8.244811826969121e-06,0.0,5.604973690927069e-07,0.0,1.8812545037973163e-06,0.0,-1.6277297534998832e-06,0.0,1.9815695332682296e-06,0.0,-3.065471205859948e-06
