,a0,a1,a2
3.9960199999999997,3.7576361276961113e-06,0.0,-2.612096900322313e-08
4.00097,5.381012078415568e-06,0.0,5.497903591409552e-07
4.00294,5.964678210996266e-06,0.0,-1.3706122631354374e-06
4.00497,6.738581534921892e-06,0.0,4.6840254064912093e-07
4.00697,7.78341651360756e-06,0.0,9.863632610324767e-07
4.0090900000000005,8.402767038592893e-06,0.0,-9.193700439611714e-08
4.01003,8.731533461263212e-06,0.0,2.3304287948420402e-07
4.01507,7.89992047073183e-06,0.0,2.914766492953839e-06
4.0191099999999995,1.0664110865872746e-05,0.0,-2.2836701459372147e-06
4.01992,7.973967993614818e-06,0.0,2.844014757909836e-07
4.02504,8.433644967009003e-06,0.0,1.3246205033400311e-06
4.02998,1.0019449785283288e-05,0.0,-5.280386425822663e-07
4.03514,6.176314080866506e-06,0.0,2.862407196996649e-06
4.26996,9.887900600981464e-06,0.0,1.0119686444994426e-06
4.29005,1.0056011684126075e-05,0.0,1.053710470516055e-06
4.291119999999999,7.493377355184688e-06,0.0,1.6153197586500652e-07
4.29319,9.036417556085384e-06,0.0,-2.502035211997786e-07
4.2942,7.49986770792282e-06,0.0,2.7214080604988494e-06
4.29515,8.84438318531534e-06,0.0,2.3125631348275596e-06
4.29615,8.195048060132888e-06,0.0,2.061133429611436e-06
4.297219999999999,9.344731529493238e-06,0.0,2.0333702551403124e-06
4.298080000000001,1.5803408529472093e-05,0.0,1.0402709162998374e-06
4.2990900000000005,1.90228621194166e-05,0.0,1.4527976965617916e-06
4.30105,3.0007671882988823e-05,0.0,2.4769626775676855e-06
4.3031,2.754327113601714e-05,0.0,1.661119401532993e-06
4.30523,2.933267879589934e-05,0.0,-1.3744124310474783e-06
4.30725,2.7488384894627175e-05,0.0,2.4773041590351467e-06
4.3093,2.8772561294563544e-05,0.0,3.630487104922893e-06
4.30996,2.9616362652686522e-05,0.0,7.443695935333419e-06
4.31117,2.6906177726282885e-05,0.0,3.040500413566045e-06
4.31311,2.8683185188986494e-05,0.0,-2.259390009741176e-06
4.31513,2.8216355153811856e-05,0.0,6.561660834466919e-06
4.3172,2.599780342543648e-05,0.0,2.6325666057379164e-06
4.31917,2.8665368685662482e-05,0.0,3.0529776573478654e-06
4.32116,2.6318024431841608e-05,0.0,8.089967615193804e-06
4.32298,2.660384230492468e-05,0.0,4.472959486585011e-06
4.32521,2.0842337962938398e-05,0.0,2.175015381598814e-06
4.32711,1.9889034318551384e-05,0.0,2.5172520390325284e-06
4.32908,1.7018527999160834e-05,0.0,3.7418536489785544e-06
4.33012,1.726537416081975e-05,0.0,4.323187361582411e-06
4.33119,2.535858843986264e-05,0.0,2.3764447115220746e-06
4.33324,2.5669314126051194e-05,0.0,6.661145643176667e-06
4.33515,2.463112239409106e-05,0.0,2.466696783702199e-06
4.34004,2.233643178600283e-05,0.0,1.835148614021421e-06
4.34488,2.3199001223426003e-05,0.0,3.2108378798546796e-06
4.34998,2.2250929667834413e-05,0.0,4.6875325912558224e-07
4.37005,1.529958907351576e-05,0.0,2.422053219512641e-06
4.39015,2.0434432681887584e-05,0.0,1.4282203086586286e-06
4.41003,3.1360600555232475e-05,0.0,1.7258587170936843e-06
4.42024,4.460428614583295e-05,0.0,4.642057617624702e-06
