,a0,a1,a2,a3,a4
3.9960199999999997,3.7644123766899027e-06,0.0,-1.476005502497915e-07,0.0,2.14499870955978e-07
4.00097,5.3052296339763815e-06,0.0,1.2705576644903214e-06,0.0,-1.2323326542544984e-06
4.00294,6.075481801735842e-06,0.0,-1.6929285456665317e-06,0.0,-3.441800733629856e-06
4.00497,6.698485196451228e-06,0.0,3.627424853254804e-07,0.0,2.9798827689259705e-07
4.00697,7.766621103491553e-06,0.0,8.231132205492218e-07,0.0,3.199454549571404e-07
4.0090900000000005,8.039705727566594e-06,0.0,1.6109938509416652e-06,0.0,-4.641360525525949e-06
4.01003,8.928104138511023e-06,0.0,7.259766728133556e-07,0.0,-1.8267613437861079e-06
4.01507,7.685585924718026e-06,0.0,4.725017840961367e-06,0.0,-3.163200115531244e-06
4.0191099999999995,1.0745894821244054e-05,0.0,-1.6062988740974422e-06,0.0,-2.1452387040532297e-06
4.01992,7.844087244940969e-06,0.0,-3.455845795679931e-07,0.0,1.2587912265509291e-06
4.02504,8.536808615133246e-06,0.0,2.2437721103628027e-06,0.0,-3.546923547685328e-06
4.02998,9.465989508712532e-06,0.0,1.8965733698297472e-06,0.0,-5.4781006772569e-06
4.03514,6.1385989366424715e-06,0.0,2.687079439539493e-06,0.0,3.66697564457704e-07
4.26996,9.878229712680202e-06,0.0,9.875308091939957e-07,0.0,6.956978572105674e-08
4.29005,1.0285456893160303e-05,0.0,1.694372314277659e-06,0.0,-2.203263094956378e-06
4.291119999999999,7.3869131580676695e-06,0.0,-7.948792482447085e-08,0.0,6.592313591127287e-07
4.29319,8.699753375476557e-06,0.0,-7.012186469350061e-07,0.0,1.7463580319447272e-06
4.2942,7.45558045453617e-06,0.0,3.374790458696426e-06,0.0,-1.0336686977216166e-06
4.29515,9.08182315909084e-06,0.0,3.162565934536536e-06,0.0,-2.802334472919489e-06
4.29615,8.28325198544174e-06,0.0,2.5873445509649194e-06,0.0,-1.2060017152391533e-06
4.297219999999999,9.365541484731508e-06,0.0,2.3466788332882005e-06,0.0,-6.250800314354436e-07
4.298080000000001,1.6369751112217262e-05,0.0,2.3452779686560066e-06,0.0,-7.096532106128778e-06
4.2990900000000005,1.8968393122802973e-05,0.0,1.374280472426052e-06,0.0,3.092346668335295e-07
4.30105,3.061253632873738e-05,0.0,5.592609427097734e-06,0.0,-9.029161638082896e-06
4.3031,2.814778009886251e-05,0.0,5.521800536973866e-06,0.0,-1.2761219707485134e-05
4.30523,3.0314480563740892e-05,0.0,4.356625411276482e-07,0.0,-1.0657549995704018e-05
4.30725,2.7953462262331357e-05,0.0,3.84518882046552e-06,0.0,-4.26229435153682e-06
4.3093,2.9744450666465126e-05,0.0,5.799920011357025e-06,0.0,-1.2845219012792206e-05
4.30996,2.952686314579047e-05,0.0,7.1121112911552065e-06,0.0,8.10224404861056e-07
4.31117,2.7032297236277517e-05,0.0,3.7430811501708934e-06,0.0,-1.8276658015961429e-06
4.31311,2.8854804177883497e-05,0.0,2.3819040176793446e-06,0.0,-1.1605880241513724e-05
4.31513,2.862257838889346e-05,0.0,7.770461290767679e-06,0.0,-3.574069280976833e-06
4.3172,2.6157007334701016e-05,0.0,3.076486361529123e-06,0.0,-1.2698956208029702e-06
4.31917,2.890850069257166e-05,0.0,3.54321758264754e-06,0.0,-1.7653047793734205e-06
4.32116,2.6749563686594635e-05,0.0,1.0744917677104846e-05,0.0,-6.3281859330522504e-06
4.32298,2.6539040996771758e-05,0.0,4.352892751635958e-06,0.0,4.269329012387625e-07
4.32521,2.0916967117112513e-05,0.0,2.3470316689906108e-06,0.0,-5.358422757025564e-07
4.32711,1.94769413487293e-05,0.0,1.6230950933082057e-06,0.0,2.5310241082940036e-06
4.32908,1.686085277867543e-05,0.0,6.416481054465968e-06,0.0,-4.640125610468823e-06
4.33012,1.7663319967829698e-05,0.0,5.709445917955505e-06,0.0,-3.947484526436826e-06
4.33119,2.521949620935222e-05,0.0,2.0111893991831057e-06,0.0,9.742019694213468e-07
4.33324,2.583562823820918e-05,0.0,7.738261122124389e-06,0.0,-2.2916630251016817e-06
4.33515,2.471930841423392e-05,0.0,2.757721976626648e-06,0.0,-7.460768249247206e-07
4.34004,2.2533108694404737e-05,0.0,2.51030256248164e-06,0.0,-1.7722692195776708e-06
4.34488,2.3134901265771024e-05,0.0,3.011310321136967e-06,0.0,4.962755864947264e-07
4.34998,2.2280824529222856e-05,0.0,5.490518564774817e-07,0.0,-2.270493244488751e-07
4.37005,1.5378553782270075e-05,0.0,2.7395559527334974e-06,0.0,-7.553719427290279e-07
4.39015,2.0358676957314563e-05,0.0,1.2369133507837409e-06,0.0,5.305524463568048e-07
4.41003,3.084751181145235e-05,0.0,4.0505588648952846e-07,0.0,3.358447928655051e-06
4.42024,4.46293874591673e-05,0.0,4.746498886739882e-06,0.0,-2.3193992503073813e-07
4.43018,6.1384958996269e-05,0.0,4.3696733190585095e-07,0.0,-2.8321115987943993e-07
4.44004,0.00012679744054981776,0.0,9.258797282365354e-06,0.0,4.576798464710831e-06
4.44994,0.00021955508582580132,0.0,5.449872320048603e-06,0.0,-2.9837606350423294e-06
4.4549900000000004,0.0005920254124413006,0.0,6.733612048617089e-05,0.0,-6.84799296718918e-06
4.46012,0.0009589245975630093,0.0,6.548455648567635e-05,0.0,2.418106158548336e-06
4.4699599999999995,0.0010638790218412775,0.0,4.937180035552209e-05,0.0,7.389657321136745e-06
4.4779800000000005,0.0008561172467389541,0.0,7.88956092669149e-05,0.0,1.017480918550087e-05
4.48613,0.0004418224566502139,0.0,3.601223545360652e-05,0.0,-1.275067091875625e-05
4.48819,0.0003405082654259489,0.0,3.001051103905696e-05,0.0,-1.078331015987586e-05
4.490069999999999,0.00043217245279643114,0.0,3.0539652203079494e-05,0.0,1.1812951988109915e-05
4.49222,0.00019066724322575588,0.0,1.7040540910897978e-05,0.0,3.4066713200127073e-06
4.4949900000000005,0.00013698269808652854,0.0,7.672744833372588e-06,0.0,4.854833010432282e-07
4.499969999999999,7.912377817816894e-05,0.0,4.700703901442795e-06,0.0,1.0810491206346814e-06
4.51021,4.2400729031366946e-05,0.0,3.7236405578891513e-07,0.0,1.7693795503784932e-06
4.51218,3.246410504314527e-05,0.0,3.6495292705390145e-06,0.0,-9.673926971730435e-08
4.51508,3.148174057200974e-05,0.0,3.6054959128506117e-06,0.0,-8.687723475858231e-07
4.52007,3.829324775797437e-05,0.0,3.1908984200285886e-06,0.0,-3.1641182138141865e-06
4.52524,5.39985434228473e-05,0.0,7.154943602846801e-06,0.0,-6.411432266860135e-07
4.5294099999999995,4.910885655293184e-05,0.0,1.2311045316694327e-05,0.0,-7.297280686605529e-06
4.53506,0.00010132152207063007,0.0,1.0865616613537567e-05,0.0,1.8783759493733573e-06
4.54024,0.00015049861258660793,0.0,3.867076618171349e-05,0.0,-1.9484754572324422e-05
4.5498,0.00037810518783418153,0.0,3.323753928173077e-05,0.0,-1.3674690548050917e-05
4.56018,0.0009612722149325499,0.0,7.9100830380312e-05,0.0,1.172984861819364e-05
