,a0
3.9960199999999997,1.2416886805388914e-05
4.00097,1.9693217651447107e-05
4.00294,2.310269655541501e-05
4.00497,2.615855605368932e-05
4.00697,3.2143219991497655e-05
4.0090900000000005,3.3424151831158605e-05
4.01003,3.462839079587084e-05
4.01507,3.876032447250632e-05
4.0191099999999995,3.810420970411142e-05
4.01992,3.5184656517485606e-05
4.02504,3.4826245604381425e-05
4.02998,2.9738636600965928e-05
4.03514,2.3176742816566886e-05
4.26996,1.33006215407629e-05
4.29005,1.872909964878862e-05
4.291119999999999,2.667736047906063e-05
4.29319,3.2971116067288064e-05
4.2942,3.754569659009915e-05
4.29515,4.63866784661446e-05
4.29615,5.08321668526489e-05
4.297219999999999,7.807853908812015e-05
4.298080000000001,0.00023602847495453487
4.2990900000000005,0.0003736195908857836
4.30105,0.0005441037358824486
4.3031,0.0005599211799487416
4.30523,0.0005115476800687845
4.30725,0.0004899843466722942
4.3093,0.0004886556857793141
4.30996,0.0004914171323721554
4.31117,0.0004746941721906909
4.31311,0.00048808636553614594
4.31513,0.0004914251460304817
4.3172,0.00046812685564385527
4.31917,0.00045922897130563396
4.32116,0.00042853175171109274
4.32298,0.00039248313180048806
4.32521,0.00031712328664825986
4.32711,0.0002493857987535617
4.32908,0.00017271253724298396
4.33012,0.00023803068759213188
4.33119,0.00012011468313901528
4.33324,7.771304962085854e-05
4.33515,5.913479586453218e-05
4.34004,3.593930526428857e-05
4.34488,3.0125493039591315e-05
4.34998,2.8731900768667236e-05
4.37005,3.083100331277571e-05
4.39015,3.9989920822561857e-05
4.41003,5.4059232516710216e-05
4.42024,7.869770946410081e-05
4.43018,9.82334695064142e-05
4.44004,0.00018587663728244193
4.44994,0.00028926628798516625
4.4549900000000004,0.0006815766715545436
4.46012,0.0010173730550628907
4.4699599999999995,0.0010715605814276196
4.4779800000000005,0.0007918480965097195
4.48613,0.0003765894012408112
4.48819,0.00027821478994338077
4.490069999999999,0.0003682047492264004
4.49222,0.00014254416980199252
4.4949900000000005,9.644350580902399e-05
4.499969999999999,5.6000545574252184e-05
4.51021,4.28857538233673e-05
4.51218,0.00010414772197026419
4.51508,0.0003039286678368924
4.52007,0.0005235177290059543
4.52524,0.00093545337994743
4.5294099999999995,0.0009386177998487046
4.53506,0.0016137886233441312
4.54024,0.0017746522461090269
4.5498,0.0022191544082788227
4.56018,0.0032955685932136566
4.570130000000001,0.003027058364320176
4.580030000000001,0.00154134219318911
4.59008,0.0008250905969189461
4.60027,0.0006981283106720878
4.60999,0.001636997045487751
4.62023,0.0018558397219274009
4.62994,0.0013696352661358776
4.63517,0.0007014816391008069
4.639959999999999,0.0004080911137518376
4.64996,0.00033282502224500453
4.67012,0.00017232604228839172
4.68015,9.090469599801368e-05
4.68993,6.936490597401267e-05
4.71002,5.593559676568603e-05
4.73,5.2111036590941915e-05
4.75,7.104245071019165e-05
4.75518,0.00012638220628851174
4.75888,0.00014217028950214318
4.77004,0.00017493811153365622
4.77502,0.0002674735635539632
4.7801800000000005,0.0005786573175149674
4.79012,0.0007351749231730456
4.799919999999999,0.0005986936837079223
4.81003,0.00029049508294015994
4.8121599999999995,0.00013968902177464388
4.81527,8.74138118357037e-05
4.82006,4.64653382130709e-05
4.82989,2.913882680145715e-05
4.85003,2.1164472675398784e-05
4.86629,2.096331047978947e-05
4.88989,2.4680365538547952e-05
4.89991,4.307673877275869e-05
4.9101300000000005,6.188872428263766e-05
4.91996,7.727748649269643e-05
4.92615,7.988608829293263e-05
4.9301900000000005,8.123269444199008e-05
4.93692,7.917855957978228e-05
4.94675,8.205549016067774e-05
4.95027,8.34280441355526e-05
4.95676,8.814907045262694e-05
4.961869999999999,9.355091779730961e-05
4.96475,9.761293013957295e-05
4.96787,0.00010025623462429379
4.97004,0.00010411524694730352
4.9728,0.00010317220663502494
4.97463,0.00010175662372594003
4.98471,8.401812977558579e-05
4.990069999999999,8.390235422176459e-05
4.994669999999999,6.603476617483584e-05
5.00464,5.18286972021834e-05
5.00999,5.5809343543617335e-05
5.01484,7.220599636251587e-05
5.01774,9.753334418198116e-05
5.01786,9.260797611732162e-05
5.019819999999999,0.00015205943181614747
5.0248,0.00027625691633894136
5.027830000000001,0.00030429602100025743
5.0301,0.0003293984469375413
5.032780000000001,0.000370867973644568
5.0359,0.0004197767838320707
5.03871,0.00044382513342510263
5.041980000000001,0.0004346045869043494
5.04479,0.00039308218662234925
5.04997,0.0003213971515368801
5.05484,0.00022738304424549263
5.0648800000000005,0.00015187198103127795
5.06991,0.00012489188378491024
5.07448,0.00010095807916167894
5.08419,8.641232862848574e-05
5.08999,9.561774504200647e-05
