,a0,a1,a2,a3,a4,a5,a6
3.9960199999999997,1.2333437008560292e-05,0.0,1.033591271575348e-06,0.0,-1.5896400271194067e-06,0.0,1.216336584635515e-06
4.00097,1.91149180451261e-05,0.0,4.31162087376815e-06,0.0,-5.529602322302319e-06,0.0,2.275875230274521e-06
4.00294,2.2591458539760836e-05,0.0,4.7125607770990265e-06,0.0,-6.989319546062835e-06,0.0,3.6425182681401827e-06
4.00497,2.596222358455748e-05,0.0,3.6274763276487787e-06,0.0,-6.928308946522761e-06,0.0,4.8194008672786466e-06
4.00697,3.2215000692410744e-05,0.0,1.2236372971540354e-06,0.0,-4.598057571296145e-06,0.0,4.868157683882197e-06
4.0090900000000005,3.4143726211253955e-05,0.0,4.435767263398509e-07,0.0,-6.477724745104159e-06,0.0,3.64020822068522e-06
4.01003,3.469676750973018e-05,0.0,7.506316437471256e-07,0.0,-2.789755177639193e-06,0.0,3.396211975079291e-06
4.01507,3.8911792602787155e-05,0.0,1.2296951073336367e-06,0.0,-4.472525386404666e-06,0.0,4.023451414421336e-06
4.0191099999999995,3.851606409182502e-05,0.0,4.964297950310735e-07,0.0,-4.261118511046617e-06,0.0,2.879941436993028e-06
4.01992,3.5602088756338815e-05,0.0,-2.7555098274987124e-07,0.0,-3.900760252615185e-06,0.0,4.27269612898066e-06
4.02504,3.548240014351838e-05,0.0,1.363343821446346e-06,0.0,-6.606997934577679e-06,0.0,2.1603299464913853e-06
4.02998,3.0218377399136188e-05,0.0,-1.4784198429887433e-07,0.0,-4.086200421122623e-06,0.0,3.294059371064434e-06
4.03514,2.3634728079748263e-05,0.0,-1.6302370005095897e-07,0.0,-4.725732709148461e-06,0.0,4.294624006197488e-06
4.26996,1.330543230074028e-05,0.0,5.577694939728466e-08,0.0,-4.560430583827752e-07,0.0,8.381663335695174e-07
4.29005,1.857078572440199e-05,0.0,1.417456027211016e-06,0.0,-1.5194371229549439e-06,0.0,1.3736040714491777e-06
4.291119999999999,2.5407178504840357e-05,0.0,5.393130264526281e-06,0.0,-3.3172976321925144e-06,0.0,2.7535573964664354e-06
