,a0,a0_err,Chi2,Pval,Chi2NDF
3.996021,23878214613495.543,537476327290.1189,234.54523836676145,8.201968353613475e-48,39.090873061126906
4.000967,22522492569658.715,555090050321.965,232.22590134799097,2.5644708036953077e-47,38.70431689133183
4.00294,21528888262837.16,539822422947.57697,183.93600467465808,4.948702209103996e-37,30.65600077910968
4.006972,20490156520119.844,531472198210.5817,174.306238545723,5.48760035126905e-35,29.0510397576205
4.009086,20613644365559.387,566797441869.3779,152.04275796977612,2.8615437272843805e-30,25.340459661629353
4.010032,19683480715136.004,558692565355.4247,179.83120800960452,3.6850954702595135e-36,29.971868001600754
4.01507,19455650512798.027,504763959793.239,155.32628821413354,5.779734007784793e-31,25.88771470235559
4.019108,16561122606128.768,442180998979.6776,187.69033601689338,7.881521800610423e-38,31.28172266948223
4.019916,15144172087808.672,452387122299.41595,96.63852073528106,1.2600665320060476e-18,16.106420122546844
4.025044,10421411923770.104,361641263147.1244,83.3414457939624,7.279531813732086e-16,13.890240965660398
4.029979,6654903452656.177,255736677617.00064,83.79842297932032,5.854747897099934e-16,13.96640382988672
4.035141,5015264195468.922,218691473351.88007,43.80772900858394,8.07025281776081e-08,7.301288168097323
4.269958,18506426504000.33,455207397485.8703,145.4280659584535,7.15891140116278e-29,24.23801099307558
4.290051,30912813420637.49,700009174420.7836,157.64409388872804,1.8676859050580395e-31,26.27401564812134
4.291116000000001,42307067060969.51,957341541799.1884,175.52972539375895,3.017947753020365e-35,29.25495423229316
4.293189,40482401307557.61,923513025619.9003,149.18415234424003,1.1509897943515724e-29,24.864025390706672
4.294196,40177343301165.27,953275083854.7532,187.42013137831177,8.995934114885529e-38,31.23668856305196
4.295147,39420490025614.555,950315623720.0128,184.29516587431505,4.151226645993259e-37,30.715860979052508
4.296155000000001,40118454566270.33,993933744531.1708,163.6358988905014,1.0050746068968015e-32,27.272649815083568
4.297219999999999,42735095566319.14,1102831126347.9194,163.75688323976422,9.474602464249088e-33,27.292813873294037
4.298083999999999,44271295190593.77,1530241059730.241,299.3599372478963,1.1218008104765737e-61,49.893322874649385
4.299093,52546508646501.99,2004705578726.0244,266.24281240459953,1.3806964428352918e-54,44.37380206743325
4.301051999999999,52453079856036.89,2313485415516.63,344.81201619452145,2.005094126161269e-71,57.46866936575358
4.303098,51815683985420.75,2136925481443.521,389.50711610454414,5.035064911712973e-81,64.91785268409069
4.305231,54699380277904.54,2307130994627.455,301.81285798413705,3.344350127873278e-62,50.30214299735618
4.30725,46720022792619.96,2188792163518.6204,346.64986159621094,8.084297298958433e-72,57.774976932701826
4.309297,48442815933500.4,2200150756677.222,315.2738864282472,4.354530583099623e-65,52.5456477380412
4.309961,53438814808364.92,2186308987119.0996,320.3157852143007,3.612442079773538e-66,53.385964202383455
4.311172,43615754191419.98,1942824056803.3147,368.0558731595696,2.0471041010229145e-76,61.342645526594936
4.313105999999999,36312847376592.86,1808338953355.704,379.8632192788141,5.949597414134793e-79,63.31053654646902
4.315126,35588654108479.7,1859231482214.3938,347.33037566661335,5.775162055429904e-72,57.88839594443556
4.317204,32884788646057.426,1752765409293.176,368.51885218641627,1.6281383115730085e-76,61.419808697736045
4.319168,31470638441439.688,1805957513738.285,315.984476704221,3.066067640496558e-65,52.6640794507035
4.32116,31486687032889.367,1616523995580.236,343.696511168997,3.47988920814331e-71,57.2827518614995
4.32298,31249313549839.684,1545318145690.3901,299.21855980485725,1.202840135859692e-61,49.869759967476206
4.325205,27414005179144.72,1267476421223.811,341.22436737995247,1.1807312661263311e-70,56.87072789665874
4.3271120000000005,23193459818258.67,1052867538336.8087,376.2756729526371,3.510061770566406e-78,62.71261215877285
4.329078,24243738981981.62,890884368234.4594,291.38338283593106,5.737247385630681e-60,48.563897139321845
4.330119,18834920292275.805,951605619151.511,382.81044591245654,1.3841504949102523e-79,63.801740985409424
4.331189,25683710914184.293,857138107525.2513,136.28303532151054,6.096120579079324e-27,22.713839220251757
4.333242,30186294681696.82,829247848622.2267,107.80137837057954,5.8816310410430134e-21,17.96689639509659
4.335151000000001,28380730355299.598,742096652414.4877,134.6557635209313,1.3431713039959746e-26,22.44262725348855
4.3400419999999995,26581393118347.004,675127749931.0834,119.53538499786896,2.0401121362513962e-23,19.922564166311492
4.344876999999999,25319237876842.75,644727718254.1394,70.09415353074273,3.9110391348172203e-13,11.682358921790454
4.349976,24830212746489.52,609325895576.7059,74.04063764454736,6.047580568556451e-14,12.340106274091227
4.3700529999999995,20925387225929.008,537458332307.3736,50.77837342731128,3.2814177028723898e-09,8.463062237885213
4.390148,21448648830768.457,559746506855.5459,51.68652390965182,2.1560400386370964e-09,8.614420651608636
4.410025,22977982861401.61,613542931437.9895,46.316789932011645,2.560274363209463e-08,7.719464988668608
4.420244,24223247214076.59,704791350457.9525,37.01288677911746,1.7507326098410447e-06,6.168814463186243
4.430182,23863641346178.105,675256314721.7034,45.532021775363646,3.668579271186532e-08,7.588670295893941
4.440043,20434076741383.184,939355614349.2607,33.711173328633585,7.64874227897822e-06,5.6185288881055975
4.449945,20106757676643.266,1033759667214.5171,55.97618128892915,2.9434212393854477e-10,9.329363548154857
4.454988,13494657021407.637,1639075150019.723,4.163086702239944,0.6546170119041275,0.6938477837066573
4.460121,13366098716234.984,1954179567124.8113,2.493394253082035,0.8692062200642307,0.4155657088470059
4.469957,13316059602759.592,1692404158165.1714,9.800134032493705,0.13332507900390692,1.6333556720822842
4.477981,15491583524783.965,1712593758673.9258,28.93304220983492,6.263783242650776e-05,4.822173701639153
4.486129,25526022324012.457,1368106037813.9578,38.102146040646666,1.0728727764014204e-06,6.350357673441111
4.488189,28297491757410.863,1299255535487.123,53.614708001279936,8.821952293793597e-10,8.93578466687999
4.490073000000001,27633488987645.188,1288003780277.856,52.37103090353568,1.5703900012375404e-09,8.72850515058928
4.492223,28791805136983.707,1000011055078.4813,125.02991872552045,1.4286564523998678e-24,20.83831978758674
4.494992,31958357106137.01,896308226433.2899,165.2919918634332,4.47942634630082e-33,27.5486653105722
4.4999720000000005,34241386990484.055,879823968094.6083,148.8798565766567,1.3347463828281796e-29,24.813309429442782
4.510205,35838314350032.32,855175303490.6671,198.23130743319192,4.5147720416616175e-40,33.03855123886532
4.512183,39224620531984.59,1115474404377.151,236.68632475377865,2.8629462044493034e-48,39.447720792296444
4.5150760000000005,41425321063496.05,1622787062957.4873,120.8539177787576,1.0782223072210579e-23,20.142319629792933
4.520067,36520246719851.125,1809989304100.061,77.34979685130844,1.2588746552493189e-14,12.891632808551407
4.525238,30815054196137.45,2329647233174.32,55.39270358858639,3.8616925624165017e-10,9.2321172647644
4.529406,30811143362967.94,1867656833739.548,109.75325508978618,2.295899773926312e-21,18.29220918163103
4.535056,17728348554977.14,2369335448294.6914,56.30513730749682,2.52539404035067e-10,9.38418955124947
4.540236,22939753586830.613,3711190309653.4062,10.985809713169818,0.08881599166211193,1.830968285528303
4.549804,31803181973598.184,1975296695814.3542,36.24934215834044,2.465466440244126e-06,6.041557026390073
4.560183,10439160333251.576,2369770882378.0503,1.5822057034276016,0.9538481316741402,0.2637009505712669
4.570129,5241406839749.497,1773079505957.1973,5.365167408524312,0.4979004451676995,0.8941945680873853
4.580025,6768822195890.185,1642574256606.5984,15.318419704259703,0.017919573395335304,2.5530699507099506
4.590082,21134915517824.0,1684948909462.988,85.37673446248455,2.758079499925806e-16,14.229455743747424
