,Rate (cm^3 mol^-1 s^-1)
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,7.759533617927964e-282
24,6.142803120985397e-246
25,5.092855020102554e-218
26,1.0956490340706002e-195
27,2.0409275015836693e-177
28,3.411541578355058e-162
29,2.5828954845394896e-149
30,2.815213249577004e-138
31,1.0315247006423633e-128
32,2.4003153249664767e-120
33,2.0914484163926934e-106
34,2.9331752778452898e-95
35,3.269259940068976e-75
36,7.252868990085756e-62
37,2.394092125401477e-52
38,3.210616450550384e-45
39,1.096946638624368e-39
40,2.8697140948881646e-35
41,1.1448751177731156e-28
42,5.478451913887063e-24
43,1.6180503474239522e-20
44,7.252737872496792e-18
45,8.28848891411701e-16
46,3.6804036310398434e-13
47,-2.350888235294876e-09
48,-3.0794550916369517e-07
49,-9.688682761627776e-06
50,-0.0009046054978442893
51,-0.012828184379107757
52,-0.03907472675866258
53,0.1934197834808884
54,13.902142080588558
55,80.99811772918328
56,846.8778249004974
57,1979.8118908651022
58,3746.9579028550365
59,6155.8083244767095
