,a0,a2,a4,a6,a0_err,a2_err,a4_err,a6_err,Chi2,Pval,Chi2NDF
3.9960199999999997,4.195177170913667e-05,2.4232380922470898e-05,-1.5253124854704752e-05,3.646237875380186e-06,1.0174806133578933e-06,1.985033639857086e-06,2.447024478906885e-06,2.854105615385137e-06,2.3236865290813635,0.5079983904131047,0.7745621763604545
4.00097,3.807985285791518e-05,2.2676363341457105e-05,-1.4345127508192836e-05,7.07100296852234e-06,1.0005729562793863e-06,1.9468470251082453e-06,2.464545082592444e-06,2.8172962361052845e-06,1.7220593691010135,0.6320406806127641,0.5740197897003378
4.00294,3.60297611907042e-05,2.0445503876930785e-05,-1.2193227187042657e-05,2.3326018471219956e-06,9.727610849502046e-07,1.9172617940924434e-06,2.415965830644109e-06,2.7372850467434287e-06,3.281846198514227,0.3501773186208128,1.0939487328380757
4.00497,3.508611926560559e-05,2.16489872348599e-05,-1.4291480667891771e-05,4.822706385207837e-06,9.832401631383146e-07,1.939954016497758e-06,2.391060352272377e-06,2.769112856052505e-06,2.840676672446449,0.4168475127301071,0.9468922241488164
4.00697,3.323658520789512e-05,1.8815533993003212e-05,-1.1797514321403675e-05,7.922385867067255e-06,9.352816729456297e-07,1.8333324425474834e-06,2.307652374700259e-06,2.676546058271408e-06,4.961394377310134,0.1746459629718059,1.6537981257700445
4.0090900000000005,3.283753329930385e-05,1.9509968574333794e-05,-1.1993573582202847e-05,6.5796133764405875e-06,9.969519772226432e-07,1.954637243575266e-06,2.4889425134367543e-06,2.8124421417816698e-06,2.6364746028828883,0.45113092971545965,0.8788248676276295
4.01003,3.2186820481615286e-05,2.0230131497291816e-05,-1.0545292395931628e-05,5.45568755683452e-06,9.882593301622638e-07,1.9657976467283217e-06,2.427165426333889e-06,2.764406672827973e-06,3.380558226272717,0.3365868976583417,1.1268527420909058
4.01507,3.1220182087375894e-05,1.769221391525275e-05,-9.54406919313519e-06,5.198940646108267e-06,8.900850168035843e-07,1.7433207420673984e-06,2.247637691028521e-06,2.5241366994261532e-06,4.330437406346116,0.22792277652839177,1.4434791354487053
4.0191099999999995,2.7064130500426035e-05,1.6918504446079817e-05,-6.895549361647016e-06,3.4473979484634947e-06,7.790347271531548e-07,1.5540363422391947e-06,1.9669778465503646e-06,2.2278731645374512e-06,2.3504236073699722,0.502929962188513,0.7834745357899907
4.01992,2.3416272780000696e-05,1.1347988101209616e-05,-6.909683718596223e-06,5.940825268408072e-06,7.653471904190172e-07,1.5001337254483037e-06,1.938049938685696e-06,2.1718051883218313e-06,0.8380035684957048,0.8403571309628798,0.2793345228319016
4.02504,1.5581158993797222e-05,8.477024595262317e-06,-3.53447294840841e-06,2.9665283780418253e-06,6.182095222668456e-07,1.2365929838816959e-06,1.595577198854243e-06,1.7424688533797997e-06,2.7302797211336345,0.4351060742756231,0.9100932403778782
4.02998,9.345873874744248e-06,5.603491714137849e-06,-1.1886924513991914e-06,3.0662428128094563e-06,4.3460658021187664e-07,8.812421506814304e-07,1.1121702838619996e-06,1.2369205533022786e-06,1.7352342121221402,0.629129042604456,0.5784114040407135
4.03514,6.790915530099293e-06,4.7067071763328144e-06,-2.78883411523285e-06,2.5094319447851046e-06,3.573294995924095e-07,6.968260398489169e-07,9.639930315045178e-07,1.0311702001827788e-06,10.343326108779616,0.015862255219389665,3.4477753695932054
4.26996,3.4909652682881775e-05,1.250201289814122e-05,-2.440583890652417e-05,4.719719607172614e-06,9.439577537380718e-07,1.6514374930593585e-06,2.2717695283155693e-06,2.383940297869262e-06,2.4052299332032065,0.49266181481975413,0.8017433110677356
4.29005,5.379125534336472e-05,2.20187046237209e-05,-2.7485753394038326e-05,1.0319051254176356e-05,1.35077449643762e-06,2.487182428068968e-06,3.2239998766653867e-06,3.6558767930331804e-06,2.942770146884561,0.40053332092508964,0.9809233822948537
4.291119999999999,7.369533904783941e-05,3.0547821771756014e-05,-3.476688346400874e-05,1.3957511236061896e-05,1.8430373368619006e-06,3.3842745801100364e-06,4.443049024412543e-06,5.003701301250032e-06,3.279898215358559,0.35045025258162976,1.0932994051195197
4.29319,6.930468200466948e-05,2.745487675880714e-05,-3.305157908651992e-05,1.3392488704362422e-05,1.7471461527050333e-06,3.2203779131767274e-06,4.19259914759879e-06,4.715655075959855e-06,1.9698029618307962,0.5786978094605124,0.6566009872769321
4.2942,7.020240597245691e-05,3.204637466423783e-05,-3.934816908614922e-05,1.2483745718209807e-05,1.8199528035206628e-06,3.3383246047535673e-06,4.319737118438714e-06,4.874180646948898e-06,2.7303447849573654,0.43509512271441164,0.9101149283191218
4.29515,6.951138344849029e-05,3.1304094999981796e-05,-3.924900407031615e-05,1.1863594483455272e-05,1.8337848160964539e-06,3.394045602575182e-06,4.409535185284934e-06,4.938138065368434e-06,1.4738692152874573,0.6883142995274787,0.4912897384291524
4.29615,7.037640949523539e-05,3.1900527816343776e-05,-4.2463621334766315e-05,1.373426714857947e-05,1.909267362619711e-06,3.501949252289993e-06,4.572980279719874e-06,5.114491449349089e-06,3.948883681865118,0.267036933669622,1.316294560621706
4.297219999999999,7.57968537230817e-05,3.655647496846872e-05,-5.4079770798148475e-05,1.277484300444305e-05,2.145557365214205e-06,3.933277202016697e-06,5.165134104528613e-06,5.624980083444334e-06,2.231451487114073,0.5257800064875922,0.7438171623713576
4.298080000000001,0.00010449627165112196,6.430075668918221e-05,-0.00011638932400249448,1.900085799423237e-05,3.5296664018888627e-06,6.165072223645454e-06,8.211138830071442e-06,8.655331646516326e-06,2.597304620470527,0.45796227768268705,0.865768206823509
4.2990900000000005,0.00012651974690316623,8.357294596833958e-05,-0.00015562656323258431,5.7983900696525505e-06,4.540842888588795e-06,8.131413676522698e-06,1.1078958815922334e-05,1.1341952337131278e-05,0.3346682968381824,0.9533817222611184,0.11155609894606079
4.30105,0.00015712361003533882,0.00011090496109370673,-0.0002192162353963551,1.7144121983745313e-05,5.935396194359573e-06,1.0178062846938094e-05,1.3056509274097858e-05,1.3860650188956543e-05,1.4883626158705885,0.684958825471043,0.49612087195686283
4.3031,0.00016415341876788243,0.00010735525769988098,-0.00022761667959562474,1.584945904053848e-05,5.777943620685722e-06,9.79422254126649e-06,1.3049648344385706e-05,1.3365800685503978e-05,0.5669559071688416,0.9039536054442665,0.18898530238961386
4.30523,0.0001510571107059551,9.471562196603986e-05,-0.0002177660959202691,2.8837442289327377e-05,5.643576904600525e-06,9.408833152835688e-06,1.2562392504643397e-05,1.2983617331540529e-05,1.8575138123171393,0.6024999636025683,0.6191712707723798
4.30725,0.00014765826995163418,9.754338477977319e-05,-0.0002099068213417067,2.0491248524037657e-05,5.7178955768560945e-06,9.903742784827073e-06,1.3243502806074118e-05,1.3508203193339458e-05,2.025829689155659,0.5670630014185998,0.6752765630518863
4.3093,0.00014575990658520784,9.342603798117252e-05,-0.00020534463956033638,1.262596279741064e-05,5.599121815463354e-06,9.757468043901406e-06,1.4079445397591085e-05,1.3698517997852424e-05,0.5264440365055653,0.9130445269377692,0.1754813455018551
4.30996,0.00014766407830961616,9.53717447565687e-05,-0.00020756768713909877,1.770382844805033e-05,5.406024871670218e-06,9.152250057684718e-06,1.2624987433339257e-05,1.2641667733728905e-05,0.2906282276719463,0.9617813127467292,0.09687607589064877
4.31117,0.00014086710509504433,9.207933800680718e-05,-0.00019907566827664274,1.3369704347359327e-05,5.279166525834661e-06,9.281561286140248e-06,1.2895923396049727e-05,1.2706254602865356e-05,2.0715200831490654,0.5576958969144812,0.6905066943830218
4.31311,0.00013432742706781872,8.712243217105568e-05,-0.00020133595402744062,1.3401871312015948e-05,5.2372396159673614e-06,8.866258692304099e-06,1.1734699458940705e-05,1.1931889587898951e-05,1.5928675319128767,0.6610081382882944,0.5309558439709589
4.31513,0.0001252382792762338,8.912559292155731e-05,-0.00018651510740313104,6.896993507725792e-06,5.089455731031914e-06,8.756526472318566e-06,1.1798562225749595e-05,1.1758343828275387e-05,1.237838684065899,0.743944063527499,0.412612894688633
4.3172,0.00012148020044598824,8.006597132579261e-05,-0.0001853322229662485,1.1784850572635566e-05,4.843335030071487e-06,7.97862631402374e-06,1.0378696519449516e-05,1.0691484104567488e-05,1.7347692891124837,0.6292316527305604,0.5782564297041612
4.31917,0.00011101312754074185,7.07520307971795e-05,-0.00017325766134723496,1.917211661726362e-05,4.712369079843748e-06,8.017963713108912e-06,1.1017505560936964e-05,1.1081302487656015e-05,2.548287034567676,0.4666277034850487,0.8494290115225587
4.32116,0.00011053402338012273,7.238276047867078e-05,-0.00016246584489170994,9.89826557422821e-06,4.516930990277191e-06,7.75309648137778e-06,1.0728417823531246e-05,1.052921792331748e-05,0.245176746902568,0.9699863638627882,0.081725582300856
4.32298,9.539606584822441e-05,6.0517839866827184e-05,-0.0001434119828127701,1.3509495782335645e-05,3.887623708428553e-06,6.6119794525942165e-06,8.986471650951476e-06,9.108396992303793e-06,2.7845405055264183,0.42605115206379796,0.9281801685088061
