,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
3.9960199999999997,2.714139766872778e-06,0.0,1.7403737653412756e-06,0.0,-3.68680524619977e-07,0.0,-8.232338774984155e-07,0.0,-3.12793731743652e-06,0.0,4.077633184129699e-06
4.00097,4.355511281514865e-06,0.0,2.2109510420059734e-06,0.0,-1.7640020123683906e-06,0.0,5.6392038827849765e-09,0.0,-3.1372745091582327e-06,0.0,4.847171865026027e-06
4.00294,4.2253678744243385e-06,0.0,-7.014570392552965e-07,0.0,-4.055075892665062e-08,0.0,-2.1404623581583445e-06,0.0,-1.4997947756601078e-06,0.0,9.68886310567206e-07
4.00497,6.486901596023339e-06,0.0,-1.6257411011697767e-07,0.0,5.609599715528339e-07,0.0,3.4611875156063355e-06,0.0,-5.8546848043156675e-06,0.0,9.771897734009115e-08
4.00697,7.3598739499807726e-06,0.0,1.4801803878969847e-06,0.0,-1.5056820307757023e-06,0.0,4.154478197145747e-06,0.0,-5.9230037906586895e-06,0.0,3.233974795561822e-06
4.0090900000000005,7.0817711344603855e-06,0.0,7.915517051120046e-07,0.0,-5.605384863072869e-06,0.0,2.261782955935461e-06,0.0,-5.462640302869734e-06,0.0,5.708387692109455e-06
4.01003,8.205596306349236e-06,0.0,-2.4766752807630785e-07,0.0,7.289651497000702e-07,0.0,-7.164034893995784e-07,0.0,-9.059210781367598e-06,0.0,8.580859832468772e-06
4.01507,7.1294419193328e-06,0.0,4.773149289927564e-06,0.0,-1.671559559882902e-06,0.0,-5.599939316792831e-07,0.0,-6.7147943331089125e-06,0.0,5.710688325325825e-06
4.0191099999999995,8.737578756665115e-06,0.0,-8.019238745062424e-08,0.0,-4.06737587199863e-06,0.0,5.382534705260341e-06,0.0,-4.410803108820281e-06,0.0,-1.750038029331306e-07
4.01992,7.455609534127364e-06,0.0,-1.247403023129959e-06,0.0,-1.922573072938954e-06,0.0,5.653505451236822e-06,0.0,-3.478936088708272e-06,0.0,4.45897640024045e-06
4.02504,8.451053073004092e-06,0.0,1.5932992519494568e-06,0.0,-2.5755110997832042e-06,0.0,2.110522857904109e-06,0.0,-6.80159538390708e-06,0.0,-3.4857400556340606e-07
4.02998,8.434147225294262e-06,0.0,2.861087040075576e-06,0.0,-6.566426337501156e-06,0.0,5.677087769639241e-07,0.0,-5.33264155353806e-06,0.0,7.396378892492164e-06
4.03514,6.125157677601329e-06,0.0,2.7255330854334387e-06,0.0,-1.7120790741587667e-07,0.0,1.4767648604574253e-06,0.0,4.122742165885903e-07,0.0,-1.3823622983666923e-06
4.26996,9.596082645427471e-06,0.0,1.28443080054863e-06,0.0,-3.65616244067211e-07,0.0,-1.9609481188054296e-06,0.0,1.768927400358178e-06,0.0,1.1069803666521875e-06
4.29005,9.578443828572956e-06,0.0,1.959102609072607e-06,0.0,1.0373902833804677e-06,0.0,-3.2314051856981836e-06,0.0,-7.903220995652976e-06,0.0,7.172770953394744e-06
4.291119999999999,7.314808262538455e-06,0.0,-7.044498013993117e-07,0.0,-6.656675715309421e-07,0.0,2.266521131721091e-06,0.0,9.541985128877856e-07,0.0,-1.0788223197562225e-07
4.29319,8.248982598439385e-06,0.0,5.391493012131607e-07,0.0,1.9015475104965943e-06,0.0,-1.666005987730444e-06,0.0,1.98845492513281e-06,0.0,-3.0481038789501465e-06
4.2942,7.122058397392473e-06,0.0,3.250328907994085e-06,0.0,-3.3112295701806883e-06,0.0,1.649198281435395e-06,0.0,-2.3663290347207706e-06,0.0,5.404799553700578e-06
4.29515,8.216366578387891e-06,0.0,5.401504746971201e-07,0.0,-1.9643602500609883e-06,0.0,3.9728096394897865e-08,0.0,-1.473210725341571e-06,0.0,3.993761080372643e-06
4.29615,8.244063061049586e-06,0.0,1.990405298317775e-06,0.0,-3.5667896667931237e-07,0.0,4.3902110582766045e-06,0.0,-6.143865627112529e-06,0.0,3.2773982980146915e-08
4.297219999999999,9.132168005093434e-06,0.0,2.6217584922284857e-06,0.0,-1.7038267015137584e-06,0.0,3.2125944293919047e-06,0.0,-7.336325106620653e-06,0.0,5.885813698218178e-06
4.298080000000001,1.538998832083537e-05,0.0,3.329389294526177e-06,0.0,-8.571418999165084e-06,0.0,-5.855822878303737e-06,0.0,6.215894138592727e-06,0.0,3.054067627529522e-06
4.2990900000000005,1.701967532166096e-05,0.0,1.390208814125551e-06,0.0,4.778923575135805e-06,0.0,-1.166444917284634e-05,0.0,5.199222076328717e-06,0.0,7.0555138891326914e-06
4.30105,3.089184537009294e-05,0.0,3.5263642116671288e-06,0.0,-9.748208617768065e-06,0.0,5.697244739569939e-06,0.0,-1.3047275355677677e-05,0.0,1.3952809491095636e-05
4.3031,2.775860279042499e-05,0.0,1.2670531165414384e-06,0.0,-1.622124587511625e-05,0.0,1.4684607945081241e-06,0.0,6.8391723870454e-07,0.0,1.4393614345772075e-05
4.30523,3.009180149541485e-05,0.0,-5.927144396591766e-07,0.0,-6.1361876951883875e-06,0.0,-6.916076985236056e-06,0.0,-1.0573459795128992e-05,0.0,1.5079173536508318e-05
4.30725,2.8732913212103043e-05,0.0,1.6737806506948227e-06,0.0,-3.6570733963413443e-06,0.0,6.86693378516337e-06,0.0,-1.187301943988095e-05,0.0,5.7087237189912716e-06
4.3093,2.949092861543368e-05,0.0,6.527786659271198e-06,0.0,-1.0010222305470292e-05,0.0,-5.6772638771175165e-06,0.0,-5.017488123169365e-06,0.0,-1.893295381442658e-06
4.30996,2.984729508593533e-05,0.0,4.1736835265861496e-07,0.0,-9.662068387245643e-06,0.0,7.25800801245671e-06,0.0,-5.173881536258686e-07,0.0,1.8010599880016496e-05
4.31117,2.6818541722201246e-05,0.0,-4.213592802802875e-06,0.0,-1.3172206875048712e-05,0.0,6.122080864143119e-06,0.0,-9.002540428524251e-06,0.0,2.973986311095986e-05
4.31311,2.5437083766644216e-05,0.0,-1.4200381895540757e-06,0.0,-1.46840858030924e-05,0.0,2.1610933617959816e-05,0.0,-1.1688602601576444e-05,0.0,2.328593224324837e-06
4.31513,2.73427016820227e-05,0.0,1.0982646499236155e-05,0.0,-6.739070905944258e-06,0.0,4.173289489814655e-06,0.0,7.513958730135909e-06,0.0,-1.1608713786240788e-05
4.3172,2.629549825121611e-05,0.0,-4.279894863186747e-07,0.0,-3.0403986322251658e-06,0.0,5.464723907406514e-06,0.0,-3.108828987042735e-06,0.0,7.575141136595824e-06
4.31917,2.9554257342047627e-05,0.0,1.964274668836758e-06,0.0,1.0878712377650975e-06,0.0,3.967419704737923e-06,0.0,-1.2197364940753336e-05,0.0,-6.799574683956348e-07
