,a0
3.9960199999999997,4.7363717593266233e-07
4.00097,1.0480637435446596e-06
4.00294,9.207739078405486e-07
4.00497,5.062346819641935e-06
4.00697,4.970745692312014e-06
4.0090900000000005,2.2630707110799833e-06
4.01003,6.650609872858918e-06
4.01507,1.9613602774944684e-06
4.0191099999999995,6.035323209123339e-06
4.01992,6.239215576169961e-06
4.02504,2.893881103440831e-06
4.02998,2.1237396973732036e-06
4.03514,5.9791285561316e-06
4.26996,9.668466167806032e-06
4.29005,8.173387571845846e-06
4.291119999999999,7.288425046534852e-06
4.29319,7.997997969901966e-06
4.2942,3.888565309255143e-06
4.29515,7.965276103422138e-06
4.29615,7.3744891798275835e-06
4.297219999999999,6.359184023306504e-06
4.298080000000001,1.3205500725201389e-05
4.2990900000000005,1.4698679355057322e-05
4.30105,2.9296366856399502e-05
4.3031,2.410523313287075e-05
4.30523,2.3761050139038773e-05
4.30725,2.8049939035418995e-05
4.3093,1.718029715388464e-05
4.30996,2.96210564838042e-05
4.31117,1.777973469634863e-05
4.31311,2.001370622461035e-05
4.31513,2.5677906036866997e-05
4.3172,2.7307489743137565e-05
4.31917,2.694776429965205e-05
4.32116,2.6500660150454474e-05
4.32298,2.4692285658392858e-05
4.32521,1.9892114808209386e-05
4.32711,2.029708263166839e-05
4.32908,1.0661844172830861e-05
4.33012,1.7075247563475597e-05
4.33119,2.6051658743732473e-05
4.33324,2.5361499625078424e-05
4.33515,2.5298852682741794e-05
4.34004,2.2625390478166227e-05
4.34488,2.3500646831955045e-05
4.34998,2.2236608769459286e-05
4.37005,1.579831035746933e-05
4.39015,2.0736058585440114e-05
4.41003,3.070533311596809e-05
4.42024,4.526958004312976e-05
4.43018,6.129206854088127e-05
4.44004,0.0001288353167942618
4.44994,0.00021844774412221196
4.4549900000000004,0.0006022459317900239
4.46012,0.0009718443658662733
4.4699599999999995,0.001073339593945906
4.4779800000000005,0.000871875383190847
4.48613,0.0004458745976096816
4.48819,0.0003441448167541199
4.490069999999999,0.00043712874954559476
4.49222,0.00019437762024677552
4.4949900000000005,0.00013859502644734723
4.499969999999999,8.001916752918545e-05
4.51021,4.270101362837352e-05
4.51218,3.315734532463929e-05
4.51508,3.2737865052192234e-05
4.52007,3.890676019419907e-05
4.52524,5.528795007233255e-05
4.5294099999999995,5.101696516128444e-05
4.53506,0.00010271747334639031
4.54024,0.00015522224137974236
4.5498,0.00038274887208414874
4.56018,0.0009789867454774032
4.570130000000001,0.0009658942584675315
4.580030000000001,0.0005210552242839853
4.59008,0.0002769466540044709
4.60027,0.0001368519721526851
4.60999,0.00013241243885773432
4.62023,8.451444875931435e-05
4.62994,8.439614856837556e-05
4.63517,5.595391013118202e-05
4.639959999999999,6.556748934161952e-05
4.64996,0.0001385945323484861
4.67012,9.323432932105763e-05
4.68015,4.299125327320845e-05
4.68993,3.5312432518464075e-05
4.71002,3.413758243316991e-05
4.73,4.271187168223433e-05
4.75,7.759131465864274e-05
4.75518,0.00017951838809119957
4.75888,0.0002004649633959668
4.77004,0.0002370963943513512
4.77502,0.00024498327906070466
4.7801800000000005,0.00021695012978113816
4.79012,0.0001912601882244941
4.799919999999999,0.00014417851359887641
4.81003,0.00013348251020009778
4.8121599999999995,0.00012580373419983956
4.81527,0.00012278488160578333
4.82006,0.0001223749399403282
4.82989,0.0001223374621735687
4.85003,0.0001444873689770258
4.86629,0.00019265760155333047
4.88989,0.00031472211258849536
4.89991,0.0004805749164222165
4.9101300000000005,0.0006368485258955954
4.91996,0.000844834271801415
4.92615,0.0010558948821816714
4.9301900000000005,0.0011432105746869538
4.93692,0.0014238394574772105
4.94675,0.0017427599789426413
4.95027,0.0017646678804508586
4.95676,0.0019749077469750735
4.961869999999999,0.002016266737599498
4.96475,0.0020052456005129654
4.96787,0.0019712108631329507
4.97004,0.0019780596407278916
4.9728,0.0018746176415461089
4.97463,0.0018253704016224126
4.98471,0.0014989476250083474
4.990069999999999,0.001401058079874097
4.994669999999999,0.0011765516350907457
5.00464,0.0009114510476771558
5.00999,0.0008337511812037004
5.01484,0.000719789475113904
5.01774,0.0006822048801367795
5.01786,0.000685121995721635
5.019819999999999,0.0006733545674227446
5.0248,0.0006542697652424947
5.027830000000001,0.0006596121341310766
5.0301,0.0006734653702935373
5.032780000000001,0.0007451967761237579
5.0359,0.0008086009701846558
5.03871,0.0008474569021199259
5.041980000000001,0.000866557896232033
5.04479,0.0008390770881256244
5.04997,0.0008081866526722228
5.05484,0.0006894058581242342
5.0648800000000005,0.0004312129234573064
5.06991,0.0003652019522329475
5.07448,0.00029140159638939116
5.08419,0.00022689116165629006
5.08999,0.00021393763294752548
5.093719999999999,0.00020368839271530585
5.09676,0.00021613284517587277
5.09889,0.00020628535737630496
5.09999,0.00020644401179923785
5.10043,0.00020498649157406741
5.100709999999999,0.00020310745571594518
5.10288,0.00019898119893976908
5.1048599999999995,0.0001953992034542433
5.1069,0.00019143970781652158
5.10878,0.00018172266079110865
