,a0,a1,a2,a3,a4
3.9960199999999997,1.946632111376788e-06,0.0,2.8159188746915546e-06,0.0,-1.1096124457901872e-06
4.00097,3.7252005442367747e-06,0.0,4.1910459255188016e-06,0.0,-2.796562879940253e-06
4.00294,3.6012802495442385e-06,0.0,-1.7893527571801342e-07,0.0,-2.594734626826494e-06
4.00497,5.282989363922931e-06,0.0,-2.840593362636634e-07,0.0,-1.8821333716517518e-07
4.00697,6.135820346970462e-06,0.0,4.63538946884937e-06,0.0,-2.5281474115527823e-06
4.0090900000000005,5.1963966451173805e-06,0.0,3.8919376884439896e-06,0.0,-5.576205258448127e-06
4.01003,6.481991598445304e-06,0.0,1.146943579767495e-06,0.0,-7.480953039541206e-07
4.01507,6.06713302482789e-06,0.0,6.5662241388424e-06,0.0,-4.306079195349123e-06
4.0191099999999995,7.891395918220285e-06,0.0,2.2624297204116707e-06,0.0,-4.809509392196627e-06
4.01992,5.999120177655619e-06,0.0,1.7785647218166182e-06,0.0,-6.175094455916999e-07
4.02504,7.62421868608721e-06,0.0,5.82904925565191e-07,0.0,-5.722520762398346e-06
4.02998,7.015576632375024e-06,0.0,5.931259574793479e-06,0.0,-7.651942333509982e-06
4.03514,6.09581754413669e-06,0.0,2.9992241197218046e-06,0.0,-7.127272034171897e-08
4.26996,9.426058784546522e-06,0.0,1.279593870277019e-06,0.0,7.351199133393155e-08
4.29005,7.942832187202557e-06,0.0,1.8250966602465002e-06,0.0,-9.03012117743584e-07
4.291119999999999,7.226921895234246e-06,0.0,-6.09704141758242e-07,0.0,1.3017110075975404e-06
4.29319,7.829079641451109e-06,0.0,6.968827882289532e-07,0.0,-1.4003263511251593e-07
4.2942,6.7010829285284715e-06,0.0,5.953624042270074e-06,0.0,-4.223240700327972e-06
4.29515,8.148228453942586e-06,0.0,4.987726711270474e-07,0.0,-1.0507647178921455e-06
4.29615,7.212273989822053e-06,0.0,2.3807153972509074e-06,0.0,-1.141230370093194e-06
4.297219999999999,7.945064718235205e-06,0.0,6.253044292098428e-06,0.0,-3.452361551349015e-06
4.298080000000001,1.4315642386050726e-05,0.0,2.5578350787527263e-06,0.0,-4.831509481353209e-06
4.2990900000000005,1.4177512751144663e-05,0.0,1.0950881203835926e-06,0.0,8.061598019120522e-06
4.30105,3.002531184307962e-05,0.0,8.44134783566224e-06,0.0,-9.370339817868699e-06
4.3031,2.6337054600868015e-05,0.0,1.8346777015310474e-06,0.0,-7.009707126883547e-06
4.30523,2.856674915257733e-05,0.0,-1.513931947656389e-06,0.0,-6.764463213228289e-06
4.30725,2.8394201385907316e-05,0.0,3.0227289318156727e-06,0.0,-4.066920125757141e-06
4.3093,2.8932525992865857e-05,0.0,3.1923681558871187e-06,0.0,-1.824907558068289e-05
4.30996,2.949463522144902e-05,0.0,2.4861976996661938e-06,0.0,-2.3224301682319885e-06
4.31117,2.2975571676446578e-05,0.0,-3.168576685190764e-07,0.0,-1.0923964576207505e-05
