,a0,a2,a0_err,a2_err,Chi2,Pval,Chi2NDF
3.996,8.62294980887029e-13,4.482926262860919e-13,7.440083037453751e-14,1.2393410362483646e-13,8.606637561552436,0.12582071741903655,1.7213275123104872
4.001,6.997332980285686e-13,5.832026321116008e-13,9.681226393969453e-14,1.6816793303339233e-13,7.120192215473067,0.21185383803315064,1.4240384430946134
4.0029,6.69004014878054e-13,2.1270467495245435e-13,1.0590860061096839e-13,1.7675977158430121e-13,0.7748242173278641,0.9786112654661235,0.15496484346557282
4.007,7.68441496118634e-13,3.949839778586561e-13,1.1942238288490057e-13,1.840096586542828e-13,2.790357575077982,0.7322677209646646,0.5580715150155964
4.0091,9.401552255906352e-13,3.4555104201875286e-13,1.4345744275765215e-13,2.2674413288933062e-13,4.594444799885689,0.46734734183397963,0.9188889599771379
4.01,7.677731791858672e-13,2.1843191830694018e-13,1.4501881229462174e-13,2.469726543996812e-13,0.7995246071995664,0.9770636558989378,0.15990492143991328
4.0151,7.966282016066345e-13,4.741032890317739e-13,1.1578508904433767e-13,1.6967909121950597e-13,2.6558095747150356,0.7528684221918982,0.5311619149430071
4.0191,8.510525546923216e-13,8.2712330208806e-13,9.633152384736207e-14,1.7768096657479566e-13,7.161704729071104,0.20888923781229993,1.432340945814221
4.0199,1.0332703326054611e-12,3.181168987345438e-13,1.5374225032033917e-13,2.468430929747268e-13,0.7750173821139037,0.978599371386773,0.15500347642278073
4.025,1.0342125508526384e-12,4.089087882803048e-13,1.5175381556075003e-13,2.22096537172792e-13,1.2582908046775785,0.9391644326505159,0.2516581609355157
4.03,1.1694542183225959e-12,8.171682371616843e-13,1.222415150562187e-13,1.9884385492950152e-13,6.647432052755519,0.24820898816149678,1.329486410551104
4.0351,1.0791519745544255e-12,4.513641480284878e-13,1.159866607924353e-13,2.0332210959880223e-13,4.576738212735638,0.46968223997826297,0.9153476425471275
4.27,3.3544742420219604e-13,-7.777409373657661e-15,8.017143481674866e-14,1.5875025589266045e-13,0.2478707718072028,0.9695146177448547,0.08262359060240093
4.2901,3.0975546247421214e-13,-1.0496433363712747e-13,8.498752902842847e-14,1.2282597037601644e-13,1.2613864785171052,0.9388543725887342,0.25227729570342106
4.2911,2.5386296968701286e-13,2.5555902803459843e-15,7.897442336827287e-14,1.1732524745790262e-13,1.7872824969272059,0.8777253478496647,0.35745649938544116
4.2932,2.8096666534661713e-13,-5.084062997017764e-14,9.016758964755324e-14,1.2133688743338203e-13,2.4540718049271026,0.7833955022137113,0.49081436098542053
4.2942,4.12197449716557e-13,1.1348535164419797e-13,1.1050537827060212e-13,1.9952649012277695e-13,2.030083908204184,0.7302254637846888,0.507520977051046
4.2951,3.6264343253601445e-13,-1.0605846128191147e-13,9.736883357800497e-14,1.4065741400971506e-13,0.2367439588916065,0.9935231245622347,0.05918598972290162
4.2962,2.1521528332000547e-13,9.291821102903457e-15,8.04613138940936e-14,1.2037372486835527e-13,2.084693999869574,0.8373062767346848,0.4169387999739148
4.2972,4.480463464414512e-13,-2.537543752587284e-13,1.8105696392626405e-13,2.4156948537052783e-13,0.7401976031548925,0.9806899165385278,0.1480395206309785
4.2981,2.51794750635236e-13,-1.966690737545845e-14,1.0787792170439247e-13,1.62634236951525e-13,1.9015300549298018,0.8625955919462637,0.38030601098596034
4.2991,4.2982738020535197e-13,-2.5945322386276995e-13,4.054326318591335e-13,5.294913563045239e-13,1.0582056874369414,0.5891332772760458,0.5291028437184707
4.3011,4.1719666984384627e-13,1.4981936352804817e-13,2.0236838881777637e-13,6.969732046885149e-13,0.6567173165492056,0.720104701874249,0.3283586582746028
4.3031,2.7589317898828925e-13,3.667139781196707e-13,1.5550983047739762e-13,6.82659367107954e-13,1.2701375855917842,0.5298990338276023,0.6350687927958921
4.3052,3.532411847277258e-13,-5.645523885161915e-14,1.7278198928231667e-13,2.491799005320458e-13,0.9146561995708219,0.8218895675398293,0.30488539985694063
4.3072,7.070966054426036e-13,-5.826622036535171e-14,3.093944102723304e-13,4.735584246312266e-13,0.7044112209115119,0.9507838154659094,0.17610280522787797
4.3093,7.792059320149887e-13,-4.78852464702891e-13,4.5045067512276887e-13,7.035271793909956e-13,0.8326110963929527,0.8416520304687635,0.27753703213098424
4.31,5.179841825652513e-13,-9.884202768076652e-14,2.2476387162428148e-13,4.848639079417104e-13,0.8657007819353183,0.929429194850284,0.21642519548382957
4.3112,1.8708512430152602e-13,4.512253824561542e-14,8.788131639746709e-14,1.4735513296085072e-13,1.1843689633400154,0.7567556694004993,0.3947896544466718
4.3131,4.820279339276595e-13,3.473172866201414e-13,2.99721191984221e-13,8.876226140363177e-13,0.4360933717570055,0.5090140705214197,0.4360933717570055
4.3151,2.1026436241022172e-13,9.00252437793183e-14,1.1136000063669748e-13,1.7940257632942772e-13,0.6632631266107275,0.7177517202159733,0.33163156330536375
4.3192,2.616377162245523e-13,-1.2670854667316227e-13,1.3048662807195596e-13,1.5318235660833193e-13,1.1096225610257813,0.8927424895459772,0.2774056402564453
4.3212,4.3360216918098915e-13,-2.944033255423358e-13,2.0744636282791992e-13,3.568734367794741e-13,1.5973778380606298,0.8092633432948837,0.39934445951515746
4.323,3.8075596301500604e-13,2.327651870277973e-13,1.3449970893302932e-13,2.4334739629161086e-13,0.5183813109121014,0.9914347712867028,0.10367626218242028
4.3252,3.2072607890534226e-13,-1.2718243989061166e-13,1.5332810022428634e-13,1.985767077042236e-13,1.479697313198598,0.8302316455370327,0.3699243282996495
4.3271,1.5581030737358279e-13,2.210229796363392e-14,6.690726082776031e-14,1.0851636360880935e-13,2.5520453397680036,0.7686373505625572,0.5104090679536007
4.3291,2.795363407150911e-13,3.532204454628625e-13,1.3871591839240438e-13,3.4574496711701586e-13,1.469008749860543,0.8321166320732615,0.36725218746513577
4.3301,3.5932173096674624e-13,5.827863022261754e-15,1.7069683101463913e-13,3.064922729659474e-13,0.11293634702369494,0.9450965631210649,0.05646817351184747
4.3312,1.7163048804879723e-13,2.430048228043808e-14,7.278915686747553e-14,1.8812550016854336e-13,2.5035249280730074,0.6440047113758491,0.6258812320182519
4.3332,1.8620475841497514e-13,9.598720603899529e-14,6.828602185700748e-14,1.241545143229154e-13,0.8982952653329804,0.9703449331808008,0.17965905306659607
4.3352,3.278800500774254e-13,-3.741415709467249e-14,1.2016319809560901e-13,2.2116465535612119e-13,0.44682544437943394,0.978466767545711,0.11170636109485849
4.34,3.5402596813933755e-13,2.17730359593722e-13,1.0153093465463091e-13,1.5561972596720462e-13,0.7701057989063356,0.97890077619623,0.15402115978126713
4.3449,3.3630947204392474e-13,1.564033813986476e-14,9.611263251665699e-14,1.623922498729554e-13,1.1190896857753536,0.9524000783893225,0.22381793715507073
4.35,2.64595717859836e-13,9.551122233442603e-14,6.990901028172279e-14,1.1719211151041445e-13,2.6905091978332987,0.7475696265235389,0.5381018395666597
4.3701,3.0569486623344533e-13,1.0452063176492286e-13,9.087565592532213e-14,1.5735244340757558e-13,2.644972008198779,0.7545209925767005,0.5289944016397559
4.3901,2.961285972870706e-13,2.140294369502447e-14,9.032207396992916e-14,1.560991136257819e-13,1.2573910306826062,0.9392544288425945,0.2514782061365212
4.41,1.834768720489679e-13,6.410577297207631e-14,7.974649211353922e-14,1.1708539539416884e-13,1.7366610599398142,0.6288141954391833,0.5788870199799381
4.4202,1.6929412852139898e-13,7.91266868538601e-14,7.179603935207532e-14,1.3346261662259182e-13,0.2778131692529927,0.9912010208265251,0.06945329231324818
4.4302,2.6533941638302513e-13,1.3234004191453892e-13,9.70957981325377e-14,1.9123395198451273e-13,0.9108729155069771,0.969429487893132,0.18217458310139542
4.44,1.6865120638732946e-13,4.051886010809099e-14,7.690140049031447e-14,1.2723138219220842e-13,1.5323718480999364,0.8208921456455951,0.3830929620249841
4.4499,2.103918472567525e-13,1.9226022129000608e-13,8.719839164524448e-14,2.284108066210258e-13,1.5599405723757547,0.8159733244510498,0.38998514309393867
4.455,4.800866111558594e-13,-2.185702397022673e-13,2.4802440588848946e-13,3.906811329893852e-13,0.5974772297082516,0.8970096604009435,0.1991590765694172
4.4601,3.3868921324966665e-13,1.0011555116204457e-13,1.7844288647716396e-13,2.930851170187865e-13,0.9800481014047766,0.6126116602665155,0.4900240507023883
4.47,6.615902105773656e-13,-3.430599473620868e-13,4.4359030814031864e-13,5.613798263027866e-13,1.8446062582465659,0.6052765514015443,0.6148687527488553
4.478,2.8101883341717067e-13,-1.601867370523839e-15,2.0205562588992853e-13,3.0567539997765914e-13,1.3544054166937012,0.7162562736734366,0.4514684722312337
4.4861,3.6155103370704545e-13,-8.197645717392176e-14,1.6649758710343646e-13,2.1794311518732337e-13,0.2568579824295638,0.9924262275792796,0.06421449560739095
4.4882,1.6351506472822507e-13,9.072408218913709e-14,6.033751737060025e-14,1.2292836287579324e-13,1.1720893753362487,0.9475268217062501,0.23441787506724973
4.4901,3.866170836588308e-13,-1.2187507411482349e-13,1.7542840237712513e-13,2.549682517195682e-13,0.8007771356662509,0.849281143759747,0.2669257118887503
4.4922,1.7652151521506663e-13,3.840657786416e-14,6.979961106667494e-14,1.3068761563783868e-13,1.4240580003484906,0.9216636076558116,0.28481160006969813
4.495,2.908452059502203e-13,1.227995953043042e-13,1.0302176720849424e-13,1.9259699266371484e-13,0.0864253570561179,0.9990927988413487,0.021606339264029474
4.5,1.675952673234452e-13,4.196673755320008e-14,9.585222203150977e-14,1.9516992285876064e-13,1.5342251347756226,0.8205621123482332,0.38355628369390565
4.5102,1.8754697099247908e-13,-5.0406626071159064e-14,8.088923071008799e-14,1.196658686003633e-13,1.4895774180476773,0.8284860794618485,0.3723943545119193
4.5122,2.758604463258879e-13,-2.2879754151294566e-15,1.063865998375323e-13,1.660841869740576e-13,0.9721604049756978,0.9647798286208455,0.19443208099513956
4.5151,2.521613455710206e-13,-1.073915179066533e-13,1.239109047724696e-13,1.689551674764659e-13,1.7851279776557416,0.7752021295809328,0.4462819944139354
4.5201,2.0326038466200936e-13,3.472841721944628e-13,9.946721732289612e-14,3.5246261325533206e-13,3.621843148588551,0.45959519751454614,0.9054607871471377
4.5252,1.176701286511135e-12,-1.6336864401086474e-12,1.0628224446279923e-12,1.6946387208048572e-12,3.2310301389250022,0.35735789509054305,1.077010046308334
4.5294,2.505048795540112e-13,2.5015358866799574e-13,9.205997333368188e-14,1.7387027548036873e-13,1.162044857555036,0.7621211616667322,0.38734828585167863
4.5351,1.3027169877926677e-12,1.810702805420275e-12,7.355398958970777e-13,1.71180420969777e-12,0.7770126252753269,0.6780689414628345,0.38850631263766344
4.5402,1.1326396630398906e-12,-1.1686200157099119e-12,1.0299084508571751e-12,1.5530020066857454e-12,3.031702886280036,0.3867629960448991,1.010567628760012
4.5498,2.5692459448700733e-13,2.7575507105770826e-13,1.2992014339620802e-13,4.859615906366385e-13,2.2427743470863972,0.5235723718322254,0.747591449028799
