,a0,a0err,fitOrder,splineX,splineY
2.7424,8.852140156411973e-17,2.1402242340280127e-18,4,2.7424,8.852140156411973e-17
2.7428,9.919304892101583e-17,2.3957709345043244e-18,4,2.7428,9.919304892101583e-17
2.7432,1.0987098824822311e-16,2.6436514439865815e-18,4,2.7432,1.0987098824822311e-16
2.7436,1.1841677871615362e-16,2.8450384862112787e-18,4,2.7436,1.1841677871615362e-16
2.7441,1.2661183389427267e-16,3.0397235953306474e-18,4,2.7441,1.2661183389427267e-16
2.7445,1.3494385637398083e-16,3.238457649831913e-18,4,2.7445,1.3494385637398083e-16
2.7449,1.4359069970663856e-16,3.4450908192942192e-18,4,2.7449,1.4359069970663856e-16
2.7454,1.5263642793697533e-16,3.6615106159877146e-18,4,2.7454,1.5263642793697533e-16
2.7458,1.62140144320967e-16,3.889078810060657e-18,4,2.7458,1.62140144320967e-16
2.7462,1.72139627673269e-16,4.128609182491959e-18,4,2.7462,1.72139627673269e-16
2.7466,1.8266414136564162e-16,4.380806130524324e-18,4,2.7466,1.8266414136564162e-16
2.7471,1.93760281210624e-16,4.646755307883516e-18,4,2.7471,1.93760281210624e-16
2.7475,2.054532116037278e-16,4.927085928674704e-18,4,2.7475,2.054532116037278e-16
2.7479,2.1777600490876828e-16,5.222538803478231e-18,4,2.7479,2.1777600490876828e-16
2.7484,2.307633179791435e-16,5.533958003720649e-18,4,2.7484,2.307633179791435e-16
2.7488,2.4444694927877427e-16,5.862124496282112e-18,4,2.7488,2.4444694927877427e-16
2.7492,2.5886156756558545e-16,6.207836022718192e-18,4,2.7492,2.5886156756558545e-16
2.7496,2.7405028557639807e-16,6.572135151531947e-18,4,2.7496,2.7405028557639807e-16
2.7501,2.9004687470079745e-16,6.955874353536848e-18,4,2.7501,2.9004687470079745e-16
2.7505,3.068918585585073e-16,7.359967111816026e-18,4,2.7505,3.068918585585073e-16
2.7509,3.2462300497056123e-16,7.785340117042227e-18,4,2.7509,3.2462300497056123e-16
2.7514,3.4328951609014527e-16,8.23317612118549e-18,4,2.7514,3.4328951609014527e-16
2.7518,3.6293093188110607e-16,8.7043932692342e-18,4,2.7518,3.6293093188110607e-16
2.7522,3.835949525169555e-16,9.200207628495502e-18,4,2.7522,3.835949525169555e-16
2.7526,4.053305517526209e-16,9.721757950708378e-18,4,2.7526,4.053305517526209e-16
2.7531,4.28189305187764e-16,1.027017446505102e-17,4,2.7531,4.28189305187764e-16
2.7535,4.52225039990446e-16,1.0846908188831064e-17,4,2.7535,4.52225039990446e-16
2.7539,4.774934590404459e-16,1.1453194126023067e-17,4,2.7539,4.774934590404459e-16
2.7544,5.04048490492697e-16,1.209030586642316e-17,4,2.7544,5.04048490492697e-16
2.7548,5.319625468411254e-16,1.2759941828411366e-17,4,2.7548,5.319625468411254e-16
2.7552,5.612885140826548e-16,1.3463357007664287e-17,4,2.7552,5.612885140826548e-16
2.7556,5.921037261367116e-16,1.4202309009132967e-17,4,2.7556,5.921037261367116e-16
2.7561,6.244869462724871e-16,1.4978569118415374e-17,4,2.7561,6.244869462724871e-16
2.7565,6.585127783650758e-16,1.5793866233965737e-17,4,2.7565,6.585127783650758e-16
2.7569,6.942671485715649e-16,1.6650068176082404e-17,4,2.7569,6.942671485715649e-16
2.7574,7.318353532817329e-16,1.7549216598330243e-17,4,2.7574,7.318353532817329e-16
2.7578,7.713036536237894e-16,1.8493376867151936e-17,4,2.7578,7.713036536237894e-16
2.7582,8.127203339129747e-16,1.948397703126168e-17,4,2.7582,8.127203339129747e-16
2.7586,8.561510471236629e-16,2.0523067048838777e-17,4,2.7586,8.561510471236629e-16
2.7591,9.016435326236501e-16,2.1612272268767134e-17,4,2.7591,9.016435326236501e-16
2.7595,9.492539516410479e-16,2.2753136228975537e-17,4,2.7595,9.492539516410479e-16
2.7599,9.99074112128179e-16,2.3947942078213928e-17,4,2.7599,9.99074112128179e-16
2.7604,1.0512111545928298e-15,2.5198944649854855e-17,4,2.7604,1.0512111545928298e-15
2.7608,1.1057955013467944e-15,2.6509482776746388e-17,4,2.7608,1.1057955013467944e-15
2.7612,1.1628938080116242e-15,2.7880331234310695e-17,4,2.7612,1.1628938080116242e-15
2.7616,1.2227047349077359e-15,2.931683704574601e-17,4,2.7616,1.2227047349077359e-15
2.7621,1.2853083963380115e-15,3.082026548435698e-17,4,2.7621,1.2853083963380115e-15
2.7625,1.3508033650558915e-15,3.2393135910755246e-17,4,2.7625,1.3508033650558915e-15
2.7629,1.419385460406451e-15,3.4040210987515e-17,4,2.7629,1.419385460406451e-15
2.7634,1.49114651596021e-15,3.576352604076435e-17,4,2.7634,1.49114651596021e-15
2.7638,1.56618418947182e-15,3.7565721548385854e-17,4,2.7638,1.56618418947182e-15
2.7642,1.644712101594833e-15,3.945150128714714e-17,4,2.7642,1.644712101594833e-15
2.7646,1.7268073537067066e-15,4.142299913438669e-17,4,2.7646,1.7268073537067066e-15
2.7651,1.812642639047366e-15,4.34846201376415e-17,4,2.7651,1.812642639047366e-15
2.7655,1.902393860328339e-15,4.5639865868861693e-17,4,2.7655,1.902393860328339e-15
2.7659,1.996160553205184e-15,4.7891586645148086e-17,4,2.7659,1.996160553205184e-15
2.7664,2.0941753544681406e-15,5.0245697666512367e-17,4,2.7664,2.0941753544681406e-15
2.7668,2.1965812066712772e-15,5.27050379105788e-17,4,2.7668,2.1965812066712772e-15
2.7672,2.303554835200672e-15,5.5274072575154516e-17,4,2.7672,2.303554835200672e-15
2.7676,2.415240119657527e-15,5.795643387866876e-17,4,2.7676,2.415240119657527e-15
2.7681,2.531917027514083e-15,6.075859870581688e-17,4,2.7681,2.531917027514083e-15
2.7685,2.65366168674073e-15,6.368292938617578e-17,4,2.7685,2.65366168674073e-15
2.7689,2.7807943847160223e-15,6.673633898207023e-17,4,2.7689,2.7807943847160223e-15
2.7694,2.9134730008582916e-15,6.992296368261733e-17,4,2.7694,2.9134730008582916e-15
2.7698,3.0518798797690853e-15,7.324764048488571e-17,4,2.7698,3.0518798797690853e-15
2.7702,3.196269750866614e-15,7.6715991925798e-17,4,2.7702,3.196269750866614e-15
2.7706,3.3469170377744073e-15,8.033462980741368e-17,4,2.7706,3.3469170377744073e-15
2.7711,3.5039858464546902e-15,8.41076090494174e-17,4,2.7711,3.5039858464546902e-15
2.7715,3.667855152635329e-15,8.804397685054097e-17,4,2.7715,3.667855152635329e-15
2.7719,3.838595637305931e-15,9.214595708081234e-17,4,2.7719,3.838595637305931e-15
2.7724,4.016606167258014e-15,9.642218751533921e-17,4,2.7724,4.016606167258014e-15
2.7728,4.2021381757651844e-15,1.0087936616243007e-16,4,2.7728,4.2021381757651844e-15
2.7732,4.395463922469409e-15,1.0552391219893907e-16,4,2.7732,4.395463922469409e-15
2.7736,4.596858377289061e-15,1.1036230773441575e-16,4,2.7736,4.596858377289061e-15
2.7741,4.806665179064142e-15,1.1540310556791612e-16,4,2.7741,4.806665179064142e-15
2.7745,5.025183714291965e-15,1.206534023701357e-16,4,2.7745,5.025183714291965e-15
2.7749,5.252728501798129e-15,1.2612048042747685e-16,4,2.7749,5.252728501798129e-15
2.7754,5.489616784691002e-15,1.3181273752799228e-16,4,2.7754,5.489616784691002e-15
2.7758,5.7362755211128234e-15,1.3773927537309855e-16,4,2.7758,5.7362755211128234e-15
2.7762,5.992986253155737e-15,1.439077140347505e-16,4,2.7762,5.992986253155737e-15
2.7766,6.260134723736279e-15,1.503275640707459e-16,4,2.7766,6.260134723736279e-15
2.7771,6.538104389156772e-15,1.5700681029998245e-16,4,2.7771,6.538104389156772e-15
2.7775,6.827281992792047e-15,1.639560274118878e-16,4,2.7775,6.827281992792047e-15
2.7779,7.128143034316019e-15,1.711860706453146e-16,4,2.7779,7.128143034316019e-15
2.7784,7.440969690794414e-15,1.787039369782167e-16,4,2.7784,7.440969690794414e-15
2.7788,7.766268525721035e-15,1.8652132215530492e-16,4,2.7788,7.766268525721035e-15
2.7792,8.104671740535726e-15,1.9465556081112315e-16,4,2.7792,8.104671740535726e-15
2.7796,8.456215699339644e-15,2.0310336125607521e-16,4,2.7796,8.456215699339644e-15
2.7801,8.821803177725832e-15,2.1189085042954585e-16,4,2.7801,8.821803177725832e-15
2.7805,9.201582469127457e-15,2.2101795719992336e-16,4,2.7805,9.201582469127457e-15
2.7809,9.596490793483964e-15,2.3051066703266154e-16,4,2.7809,9.596490793483964e-15
2.7814,1.00065304183103e-14,2.403661122758042e-16,4,2.7814,1.00065304183103e-14
2.7818,1.0432475716191258e-14,2.5060470200823734e-16,4,2.7818,1.0432475716191258e-14
2.7822,1.0874909552710196e-14,2.6123917218205147e-16,4,2.7822,1.0874909552710196e-14
2.7826,1.1334523891056105e-14,2.7228733452990154e-16,4,2.7826,1.1334523891056105e-14
2.7831,1.1811505034478429e-14,2.8375222656367863e-16,4,2.7831,1.1811505034478429e-14
2.7835,1.2307236673962698e-14,2.956695435913571e-16,4,2.7835,1.2307236673962698e-14
2.7839,1.2821510232147403e-14,3.0803208372266106e-16,4,2.7839,1.2821510232147403e-14
2.7843,1.3355309018385795e-14,3.208654896022191e-16,4,2.7843,1.3355309018385795e-14
2.7848,1.390899388410278e-14,3.3417541803692444e-16,4,2.7848,1.390899388410278e-14
2.7852,1.448380887201025e-14,3.4799414836576725e-16,4,2.7852,1.448380887201025e-14
2.7856,1.508047743438583e-14,3.623391220226413e-16,4,2.7856,1.508047743438583e-14
2.7861,1.569878063672461e-14,3.7720376544693024e-16,4,2.7861,1.569878063672461e-14
2.7865,1.634066266251667e-14,3.926368851425257e-16,4,2.7865,1.634066266251667e-14
2.7869,1.7006128414451346e-14,4.0863609402147936e-16,4,2.7869,1.7006128414451346e-14
2.7873,1.7696271102448052e-14,4.2522961592150716e-16,4,2.7873,1.7696271102448052e-14
2.7878,1.841154486830641e-14,4.42428332899643e-16,4,2.7878,1.841154486830641e-14
2.7882,1.9153693769731274e-14,4.602707828404535e-16,4,2.7882,1.9153693769731274e-14
2.7886,1.9922412704642998e-14,4.787550802264165e-16,4,2.7886,1.9922412704642998e-14
2.7891,2.0719491635688817e-14,4.979194414858878e-16,4,2.7891,2.0719491635688817e-14
2.7895,2.1544932318605074e-14,5.177698450546848e-16,4,2.7895,2.1544932318605074e-14
2.7899,2.2400489777353187e-14,5.383400468587286e-16,4,2.7899,2.2400489777353187e-14
2.7903,2.3287358252732203e-14,5.596660356391687e-16,4,2.7903,2.3287358252732203e-14
2.7908,2.4205428751721395e-14,5.817430083079135e-16,4,2.7908,2.4205428751721395e-14
2.7912,2.5156537727773355e-14,6.046125538643547e-16,4,2.7912,2.5156537727773355e-14
2.7916,2.614155208335925e-14,6.282989701087726e-16,4,2.7916,2.614155208335925e-14
2.7921,2.7161429454860637e-14,6.528251089885914e-16,4,2.7921,2.7161429454860637e-14
2.7925,2.8217741576196083e-14,6.782255174132003e-16,4,2.7925,2.8217741576196083e-14
2.7929,2.931054499048016e-14,7.045047411028444e-16,4,2.7929,2.931054499048016e-14
2.7933,3.044272954007673e-14,7.317303214112571e-16,4,2.7933,3.044272954007673e-14
2.7938,3.161400346669171e-14,7.598965639217186e-16,4,2.7938,3.161400346669171e-14
2.7942,3.282596760895699e-14,7.890440052549609e-16,4,2.7942,3.282596760895699e-14
2.7946,3.408048090777883e-14,8.192119324930189e-16,4,2.7946,3.408048090777883e-14
2.7951,3.537784408493997e-14,8.504114915843077e-16,4,2.7951,3.537784408493997e-14
2.7955,3.6720853475765954e-14,8.827091668385974e-16,4,2.7955,3.6720853475765954e-14
2.7959,3.8109803659914956e-14,9.16108579744876e-16,4,2.7959,3.8109803659914956e-14
2.7963,3.954597576293999e-14,9.506466221773312e-16,4,2.7963,3.954597576293999e-14
2.7968,4.1031029897625854e-14,9.863620350243594e-16,4,2.7968,4.1031029897625854e-14
2.7972,4.2567043748393986e-14,1.0232998695394316e-15,4,2.7972,4.2567043748393986e-14
2.7976,4.4155425839649987e-14,1.0614986368065694e-15,4,2.7976,4.4155425839649987e-14
2.7981,4.579695076865623e-14,1.1009746815215977e-15,4,2.7981,4.579695076865623e-14
2.7985,4.749404920413661e-14,1.1417885819734435e-15,4,2.7985,4.749404920413661e-14
2.7989,4.9248530759304014e-14,1.183978967821238e-15,4,2.7989,4.9248530759304014e-14
2.7993,5.1061310448341986e-14,1.2275740725451404e-15,4,2.7993,5.1061310448341986e-14
2.7998,5.293436844597264e-14,1.2726155715730811e-15,4,2.7998,5.293436844597264e-14
2.8002,5.487020148087028e-14,1.3191694201386029e-15,4,2.8002,5.487020148087028e-14
2.8006,5.686977887255141e-14,1.3672532107818892e-15,4,2.8006,5.686977887255141e-14
2.8011,5.893584717816966e-14,1.4169338235650867e-15,4,2.8011,5.893584717816966e-14
2.8015,6.106960518307571e-14,1.4682424830011313e-15,4,2.8015,6.106960518307571e-14
2.8019,6.327319223418891e-14,1.521233246666013e-15,4,2.8019,6.327319223418891e-14
2.8023,6.554939805982735e-14,1.5759648969511889e-15,4,2.8023,6.554939805982735e-14
2.8028,6.789928155807167e-14,1.6324651782263119e-15,4,2.8028,6.789928155807167e-14
2.8032,7.032564082219701e-14,1.6908050784811746e-15,4,2.8032,7.032564082219701e-14
2.8036,7.283072900465556e-14,1.751037667533357e-15,4,2.8036,7.283072900465556e-14
2.8041,7.541664914422599e-14,1.8132084009925215e-15,4,2.8041,7.541664914422599e-14
2.8045,7.808621562713348e-14,1.877398652761592e-15,4,2.8045,7.808621562713348e-14
2.8049,8.084065981825505e-14,1.94361274520598e-15,4,2.8049,8.084065981825505e-14
2.8053,8.368228443020352e-14,2.0119152957055807e-15,4,2.8053,8.368228443020352e-14
2.8058,8.661687095142657e-14,2.082468928947961e-15,4,2.8058,8.661687095142657e-14
2.8062,8.964272891288395e-14,2.155195310656513e-15,4,2.8062,8.964272891288395e-14
2.8066,9.276548347510893e-14,2.2302531762615867e-15,4,2.8066,9.276548347510893e-14
2.8071,9.598678683191692e-14,2.307677708894151e-15,4,2.8071,9.598678683191692e-14
2.8075,9.931045911681093e-14,2.387563888669666e-15,4,2.8075,9.931045911681093e-14
