                  T9                Rate
               0.001                   0
               0.002                   0
               0.003                   0
               0.004                   0
               0.005                   0
               0.006                   0
               0.007                   0
               0.008                   0
               0.009                   0
                0.01                   0
               0.011                   0
               0.012                   0
               0.013                   0
               0.014                   0
               0.015                   0
               0.016                   0
               0.018                   0
                0.02                   0
               0.025                   0
                0.03                   0
                0.04                   0
                0.05                   0
                0.06        3.92858e-235
                0.07        1.78491e-202
                0.08        6.95998e-178
                0.09         1.1026e-158
                 0.1        2.88197e-143
                0.11        1.31929e-130
                0.12        5.12348e-120
                0.13        5.03842e-111
                0.14        2.74153e-103
                0.15          1.4646e-96
                0.16         1.18154e-90
                0.18          9.2034e-81
                 0.2         8.43389e-73
                0.25         2.49639e-58
                 0.3         1.52369e-48
                0.35         1.91296e-41
                 0.4         5.20397e-36
                0.45         1.14892e-31
                 0.5         4.29269e-28
                 0.6         1.37263e-22
                 0.7         1.39468e-18
                 0.8         1.51924e-15
                 0.9         3.67807e-13
                   1         3.09138e-11
                1.25         1.00304e-07
                 1.5         2.37404e-05
                1.75          0.00121106
                   2           0.0232779
                 2.5             1.45291
                   3             22.5249
                 3.5             157.181
                   4             666.083
                   5             4886.73
                   6             17947.8
                   7               44583
                   8             87030.6
                   9              145065
                  10              216938
