Run,Detector,Yield,Yield err,Fit Status
run0159,det_h0-0,0.0077944,0.00052281,0
run0159,det_h0-1,0.00904955,0.000628297,0
run0159,det_h0-2,0.00446703,0.000296664,0
run0159,det_h0-3,0.00610607,0.0007642,0
run0159,det_h0-4,0.00727481,0.000593145,0
run0159,det_h0-5,0.0082144,0.00099165,0
run0159,det_h0-6,0.00831615,0.000752674,0
run0159,det_h0-7,0.00592501,0.000780586,0
run0159,det_h1-0,0.00759333,0.000640767,0
run0159,det_h1-1,0.00643146,0.000472071,0
run0159,det_h1-2,0.00385239,0.000562915,0
run0159,det_h1-3,0.00703329,0.000522611,0
run0159,det_h1-4,0.00883856,0.000670211,0
run0160,det_h0-0,0.0088387,0.000480032,0
run0160,det_h0-1,0.00984067,0.000629001,0
run0160,det_h0-2,0.00466062,0.000508678,0
run0160,det_h0-3,0.00773591,0.000626792,0
run0160,det_h0-4,0.00820661,0.000636953,0
run0160,det_h0-5,0.00866259,0.000964909,0
run0160,det_h0-6,0.00814212,0.000634901,0
run0160,det_h0-7,0.00705606,0.000484308,0
run0160,det_h1-0,0.00673858,0.000572424,0
run0160,det_h1-1,0.00690912,0.000356195,0
run0160,det_h1-2,0.00443019,0.000212918,0
run0160,det_h1-3,0.00940228,0.000355916,0
run0160,det_h1-4,0.00997389,0.000511959,0
run0161,det_h0-0,0.00403995,0.000302912,0
run0161,det_h0-1,0.00509032,0.00059754,0
run0161,det_h0-2,0.00171089,0.000429538,0
run0161,det_h0-3,0.00482919,0.00059971,0
run0161,det_h0-4,0.00423389,0.00049427,0
run0161,det_h0-5,0.00311419,0.00123766,0
run0161,det_h0-6,0.00489724,0.000449943,0
run0161,det_h0-7,0.00423599,0.000694163,0
run0161,det_h1-0,0.00458501,0.000651279,0
run0161,det_h1-1,0.00326425,0.000253142,0
run0161,det_h1-2,0.00198199,0.000495166,0
run0161,det_h1-3,0.00457638,0.000442551,0
run0161,det_h1-4,0.00558384,0.000496721,0
run0162,det_h0-0,0.00293496,0.000310539,0
run0162,det_h0-1,0.00281474,0.000480949,0
run0162,det_h0-2,0.00199615,0.00040245,0
run0162,det_h0-3,0.00251275,0.000557977,0
run0162,det_h0-4,0.00298531,0.000619584,0
run0162,det_h0-5,0.00331251,0.000357057,0
run0162,det_h0-6,0.00255651,0.000381361,0
run0162,det_h0-7,0.00296423,0.000270325,0
run0162,det_h1-0,0.00273286,0.000413946,0
run0162,det_h1-1,0.00240692,0.000251229,0
run0162,det_h1-2,0.00163261,0.000420248,0
run0162,det_h1-3,0.00225752,0.000458391,0
run0162,det_h1-4,0.0027463,0.000391438,0
run0165,det_h0-0,0.0108288,0.000531712,0
run0165,det_h0-1,0.00602491,0.00104846,0
run0165,det_h0-2,0.00645006,0.000701477,0
run0165,det_h0-3,0.00968471,0.000743083,0
run0165,det_h0-4,0.00861003,0.00136188,0
run0165,det_h0-5,0.00954661,0.00087333,0
run0165,det_h0-6,0.00752011,0.000692178,0
run0165,det_h0-7,0.00721587,0.000623654,0
